Disciplina,Turma,Coleg.,Vagas Ofe,Dia,HorÃ¡rio,Docente
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
ADM605 - ORGANIZACOES CONTEMPORANEAS,10000.0,338.0,20.0,QUI,18:00 Ã s 20:00,Monica de Aguiar Mac Allister da Silva
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
ADM607 - MARKETING E COMUNICACAO,10000.0,338.0,20.0,QUI,20:00 Ã s 22:00,Rodrigo Ladeira
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
ADM624 - TECNOLOGIAS DE GESTAO PUBLICA,10000.0,338.0,20.0,SEX,18:00 Ã s 20:00,Roberto Brazileiro Paixao
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"ADM629 - ESTADO, GOVERNO E ADMINISTRACAO PUBLICA",10000.0,338.0,20.0,SEX,18:00 Ã s 19:00,Maria do Carmo Lessa Guimaraes
,,,,,19:00 Ã s 20:00,Maria do Carmo Lessa Guimaraes
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
ADM634 - INSTITUICOES E POLITICAS PUBLICAS,10000.0,334.0,15.0,QUI,09:00 Ã s 12:00,Paulo de Arruda Penteado Filho
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
ADM710 - TOPICOS ESPECIAIS EM ESTUDOS ORGANIZACIONAIS,10000.0,354.0,15.0,TER,17:00 Ã s 20:00,Monica de Aguiar Mac Allister da Silva
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
ADM711 - TOPICOS ESPECIAIS EM TECNOLOGIA E ORGANIZACOES,10000.0,354.0,15.0,QUA,09:00 Ã s 12:00,Rogerio Hermida Quintella
,,,,,,Ernani Marques dos Santos
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
ADM790 - PESQUISA ORIENTADA,10000.0,334.0,25.0,CMB,00:00 Ã s 23:00,Jose Celio Silveira Andrade
,20000.0,338.0,63.0,CMB,00:00 Ã s 23:00,Jose Celio Silveira Andrade
,30000.0,354.0,40.0,CMB,00:00 Ã s 23:00,Jose Celio Silveira Andrade
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
ADM799 - ESTAGIO DE PESQUISA,10000.0,354.0,5.0,CMB,00:00 Ã s 23:00,Jose Celio Silveira Andrade
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"ADMB20 - POLITICA, GOVERNO E SOCIEDADE",10000.0,347.0,50.0,QUA,18:00 Ã s 20:00,Jose Antonio Gomes de Pinho
,,,,CMB,00:00 Ã s 00:00,Maria Elisabete Pereira dos Santos
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
ADMB21 - ECONOMIA E DESENVOLVIMENTO,10000.0,347.0,50.0,QUI,14:00 Ã s 15:00,Genauto Carvalho de Franca Filho
,,,,CMB,00:00 Ã s 00:00,Genauto Carvalho de Franca Filho
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"ADMB23 - INSTITUICOES, INTERORGANIZACOES E GESTAO",10000.0,347.0,50.0,SAB,08:00 Ã s 10:00,Tania Maria Diederichs Fischer
