Disciplina,Turma,Coleg.,Vagas Ofe,Dia,Horário,Docente
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
ADM001 - INTRODUCÃO À ADMINISTRACAO,10000.0,207.0,55.0,SEG,07:00 às 08:50,Lindomar Pinto da Silva
,,,,QUA,07:00 às 08:50,Lindomar Pinto da Silva
,20000.0,111.0,5.0,SEG,07:00 às 08:50,Paulo Soares Figueiredo
,,308.0,3.0,,,Paulo Soares Figueiredo
,,113.0,5.0,,,Paulo Soares Figueiredo
,,116.0,2.0,,,Paulo Soares Figueiredo
,,305.0,15.0,,,Paulo Soares Figueiredo
,,313.0,3.0,,,Paulo Soares Figueiredo
,,515.0,5.0,,,Paulo Soares Figueiredo
,,327.0,5.0,,,Paulo Soares Figueiredo
,,226.0,5.0,,,Paulo Soares Figueiredo
,,308.0,3.0,QUA,07:00 às 08:50,Paulo Soares Figueiredo
,,116.0,2.0,,,Paulo Soares Figueiredo
,,111.0,5.0,,,Paulo Soares Figueiredo
,,515.0,5.0,,,Paulo Soares Figueiredo
,,113.0,5.0,,,Paulo Soares Figueiredo
,,313.0,3.0,,,Paulo Soares Figueiredo
,,327.0,5.0,,,Paulo Soares Figueiredo
,,305.0,15.0,,,Paulo Soares Figueiredo
,,226.0,5.0,,,Paulo Soares Figueiredo
,30000.0,305.0,15.0,SEG,08:50 às 10:40,Grace Kelly Marques Rodrigues
,,190.0,5.0,,,Grace Kelly Marques Rodrigues
,,226.0,5.0,,,Grace Kelly Marques Rodrigues
,,284.0,5.0,,,Grace Kelly Marques Rodrigues
,,113.0,5.0,,,Grace Kelly Marques Rodrigues
,,226.0,5.0,QUA,08:50 às 10:40,Grace Kelly Marques Rodrigues
,,113.0,5.0,,,Grace Kelly Marques Rodrigues
,,305.0,15.0,,,Grace Kelly Marques Rodrigues
,,190.0,5.0,,,Grace Kelly Marques Rodrigues
,,284.0,5.0,,,Grace Kelly Marques Rodrigues
,40000.0,113.0,5.0,SEG,20:20 às 22:10,Antonio Sergio Araujo Fernandes
,,380.0,45.0,,,Antonio Sergio Araujo Fernandes
,,304.0,5.0,,,Antonio Sergio Araujo Fernandes
,,,,QUA,20:20 às 22:10,Antonio Sergio Araujo Fernandes
,,380.0,45.0,,,Antonio Sergio Araujo Fernandes
,,113.0,5.0,,,Antonio Sergio Araujo Fernandes
,50000.0,112.0,15.0,SEX,18:30 às 22:10,Eduardo Paes Barreto Davel
,,195.0,30.0,,,Eduardo Paes Barreto Davel
,60000.0,304.0,40.0,TER,07:00 às 08:50,Joao Marcelo Pitia Barreto
,,116.0,2.0,,,Joao Marcelo Pitia Barreto
,,380.0,5.0,,,Joao Marcelo Pitia Barreto
,,,,QUI,07:00 às 08:50,Joao Marcelo Pitia Barreto
,,304.0,40.0,,,Joao Marcelo Pitia Barreto
,,116.0,2.0,,,Joao Marcelo Pitia Barreto
,70000.0,304.0,46.0,TER,08:50 às 10:40,Joao Marcelo Pitia Barreto
,,308.0,4.0,,,Joao Marcelo Pitia Barreto
,,,,QUI,08:50 às 10:40,Joao Marcelo Pitia Barreto
,,304.0,46.0,,,Joao Marcelo Pitia Barreto
