Disciplina,Turma,Coleg.,Vagas Ofe,Dia,Horário,Docente
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
ARQ003 - DESCRITIVA I,10100.0,513.0,10.0,SEG,10:40 às 12:30,Lucianne Fialho Batista
,,512.0,5.0,,,Lucianne Fialho Batista
,,501.0,6.0,,,Lucianne Fialho Batista
,,,,QUA,10:40 às 12:30,Lucianne Fialho Batista
,,512.0,5.0,,,Lucianne Fialho Batista
,,513.0,10.0,,,Lucianne Fialho Batista
,,,,SEX,10:40 às 12:30,Lucianne Fialho Batista
,,512.0,5.0,,,Lucianne Fialho Batista
,,501.0,6.0,,,Lucianne Fialho Batista
,20200.0,512.0,20.0,SEG,13:00 às 14:50,Lucianne Fialho Batista
,,,,QUA,13:00 às 14:50,Lucianne Fialho Batista
,,,,SEX,13:00 às 14:50,Lucianne Fialho Batista
,30300.0,513.0,20.0,SEG,13:00 às 14:50,Mariana Barbosa Sodre
,,,,QUA,13:00 às 14:50,Mariana Barbosa Sodre
,,,,SEX,13:00 às 14:50,Mariana Barbosa Sodre
,40400.0,501.0,10.0,SEG,10:40 às 12:30,Mariana Barbosa Sodre
,,505.0,10.0,,,Mariana Barbosa Sodre
,,,,QUA,10:40 às 12:30,Mariana Barbosa Sodre
,,501.0,10.0,,,Mariana Barbosa Sodre
,,,,SEX,10:40 às 12:30,Mariana Barbosa Sodre
,,505.0,10.0,,,Mariana Barbosa Sodre
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
ARQ004 - DESCRITIVA II,10100.0,512.0,10.0,SEG,13:00 às 14:50,Docente Substituto a Contratar
,,505.0,10.0,,,Docente Substituto a Contratar
,,512.0,10.0,QUA,13:00 às 14:50,Docente Substituto a Contratar
,,505.0,10.0,,,Docente Substituto a Contratar
,,,,SEX,13:00 às 14:50,Docente Substituto a Contratar
,,512.0,10.0,,,Docente Substituto a Contratar
,20200.0,505.0,10.0,SEG,14:50 às 16:40,Docente Substituto a Contratar
,,513.0,10.0,,,Docente Substituto a Contratar
,,,,QUA,14:50 às 16:40,Docente Substituto a Contratar
,,505.0,10.0,,,Docente Substituto a Contratar
,,,,SEX,14:50 às 16:40,Docente Substituto a Contratar
,,513.0,10.0,,,Docente Substituto a Contratar
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
ARQ005 - DESENHO GEOMETRICO I,10100.0,111.0,20.0,TER,07:00 às 08:50,Larissa Correa Acatauassu Nunes Santos
,,,,QUI,07:00 às 08:50,Larissa Correa Acatauassu Nunes Santos
,20200.0,111.0,20.0,TER,07:00 às 08:50,Docente Substituto a Contratar
,,,,QUI,07:00 às 08:50,Docente Substituto a Contratar
,30300.0,111.0,20.0,TER,07:00 às 08:50,Docente Concursado
,,,,QUI,07:00 às 08:50,Docente Concursado
,40400.0,505.0,20.0,TER,07:00 às 08:50,Docente Substituto a Contratar
,,,,QUI,07:00 às 08:50,Docente Substituto a Contratar
,50500.0,513.0,1.0,SEG,13:00 às 14:50,Maria Paula Dunel
,,512.0,1.0,,,Maria Paula Dunel
,,505.0,22.0,,,Maria Paula Dunel
