Disciplina,Turma,Coleg.,Vagas Ofe,Dia,Horário,Docente
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
COM507 - SEMINARIO MONOGRAFICO,10000.0,337.0,70.0,SEX,08:50 às 12:30,Edson Fernando Dalmonte
,,351.0,70.0,,,Edson Fernando Dalmonte
,20000.0,337.0,15.0,TER,13:55 às 17:35,Andre Luiz Martins Lemos
,30000.0,351.0,10.0,TER,18:30 às 22:10,Leonor Graciela Natansohn
,,337.0,15.0,,,Leonor Graciela Natansohn
,60000.0,351.0,10.0,QUA,13:55 às 17:35,Guilherme Maia de Jesus
,,337.0,15.0,,,Guilherme Maia de Jesus
,70000.0,351.0,10.0,QUI,13:55 às 17:35,Itania Maria Mota Gomes
,,337.0,15.0,,,Itania Maria Mota Gomes
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"COM536 - CONTEMPORANEIDADE, COMUNICACAO E CULTURA",10000.0,351.0,60.0,TER,13:55 às 17:35,Giovandro Marcus Ferreira
,,337.0,50.0,,,Giovandro Marcus Ferreira
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
COMA63 - TEORIAS E METODOLOGIAS DE ANÁLISE DA RECEPÇÃO,10000.0,351.0,60.0,SEX,13:55 às 17:35,Mahomed Bamba
,,337.0,50.0,,,Mahomed Bamba
,,351.0,60.0,,,Regina Lucia Gomes Souza e Silva
,,337.0,50.0,,,Regina Lucia Gomes Souza e Silva
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
COMA75 - TEMAS EM MEDIA E CIBERCULTURA,10000.0,351.0,60.0,QUI,13:55 às 17:35,Estagio Docente Pós-Graduação
,,337.0,50.0,,,Estagio Docente Pós-Graduação
,,351.0,60.0,,,Andre Luiz Martins Lemos
,,337.0,50.0,,,Andre Luiz Martins Lemos
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
COMA76 - COMUNICAÇÃO E POLÍTICA,10000.0,351.0,60.0,QUA,13:55 às 17:35,Fabio Almeida Ferreira
,,337.0,50.0,,,Fabio Almeida Ferreira
