Disciplina,Turma,Coleg.,Vagas Ofe,Dia,HorÃ¡rio,Docente
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
DAN001 - METODO DE TREINAMENTO INDIVIDUAL,10100.0,503.0,25.0,TER,07:00 Ã s 07:55,Jussara Sobreira Setenta
,,,,,07:55 Ã s 08:50,Jussara Sobreira Setenta
,,,,QUI,07:00 Ã s 07:55,Jussara Sobreira Setenta
,,,,,07:55 Ã s 08:50,Jussara Sobreira Setenta
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
DAN005 - ESTUDO MONOGRAFICO SOBRE TOPICOS EM DANCA,10000.0,503.0,25.0,TER,09:45 Ã s 10:40,Jussara Sobreira Setenta
,,,,,10:40 Ã s 11:35,Jussara Sobreira Setenta
,,,,QUI,09:45 Ã s 10:40,Jussara Sobreira Setenta
,,,,,10:40 Ã s 11:35,Jussara Sobreira Setenta
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
DAN007 - HISTORIA DA DANCA BRASILEIRA,10000.0,503.0,15.0,SEX,14:50 Ã s 15:45,Maria Aparecida Linhares dos Santos Silv
,,581.0,5.0,,,Maria Aparecida Linhares dos Santos Silv
,,,,,15:45 Ã s 16:40,Maria Aparecida Linhares dos Santos Silv
,,503.0,15.0,,,Maria Aparecida Linhares dos Santos Silv
,,581.0,5.0,,16:40 Ã s 17:35,Maria Aparecida Linhares dos Santos Silv
,,503.0,15.0,,,Maria Aparecida Linhares dos Santos Silv
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
DAN051 - PRÃTICA DA DANÃA,10000.0,190.0,4.0,QUA,14:50 Ã s 17:35,Clelia Ferraz Pereira de Queiroz
,,286.0,10.0,,,Clelia Ferraz Pereira de Queiroz
,,226.0,10.0,,,Clelia Ferraz Pereira de Queiroz
,20000.0,387.0,8.0,QUA,14:50 Ã s 17:35,Maria Aparecida Linhares dos Santos Silv
,,515.0,8.0,,,Maria Aparecida Linhares dos Santos Silv
,,327.0,8.0,,,Maria Aparecida Linhares dos Santos Silv
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
DAN062 - ELEMENTOS DA DANCA I,10000.0,315.0,25.0,QUA,13:00 Ã s 15:45,Luciane Sarmento Pugliese
,20000.0,581.0,25.0,SAB,08:50 Ã s 11:35,Vanilto Alves de Freitas
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
DAN068 - DANCA FOLCLORICA I,10000.0,515.0,2.0,QUI,14:50 Ã s 17:35,Neuza Maria Saad
,,286.0,2.0,,,Neuza Maria Saad
,,327.0,2.0,,,Neuza Maria Saad
,,387.0,2.0,,,Neuza Maria Saad
,,315.0,2.0,,,Neuza Maria Saad
,,226.0,2.0,,,Neuza Maria Saad
,20000.0,503.0,12.0,TER,14:50 Ã s 17:35,Neuza Maria Saad
,,226.0,6.0,,,Neuza Maria Saad
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
DAN084 - EXPRESSAO CORPORAL I,10100.0,226.0,4.0,TER,13:00 Ã s 14:50,Neuza Maria Saad
,,190.0,2.0,,,Neuza Maria Saad
