Disciplina,Turma,Coleg.,Vagas Ofe,Dia,Horário,Docente
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
DAN005 - ESTUDO MONOGRAFICO SOBRE TOPICOS EM DANCA,10000.0,581.0,2.0,QUI,07:55 às 09:45,Amelia Vitoria de Souza Conrado
,,503.0,13.0,,,Amelia Vitoria de Souza Conrado
,,,,,09:45 às 11:35,Amelia Vitoria de Souza Conrado
,,581.0,2.0,,,Amelia Vitoria de Souza Conrado
,20000.0,581.0,2.0,TER,15:45 às 18:30,Maria Sofia Villas Boas Guimaraes
,,503.0,13.0,,,Maria Sofia Villas Boas Guimaraes
,,,,CMB,00:00 às 00:00,Maria Sofia Villas Boas Guimaraes
,,581.0,2.0,,,Maria Sofia Villas Boas Guimaraes
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
DAN006 - SEMINARIO DE ATUALIZACAO EM DANCA,10000.0,503.0,45.0,QUA,07:00 às 09:45,Cecilia Bastos da Costa Accioly
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
DAN062 - ELEMENTOS DA DANCA I,10000.0,581.0,5.0,QUA,15:45 às 18:30,Maira Spanghero Ferreira
,,315.0,20.0,,,Maira Spanghero Ferreira
,,503.0,5.0,,,Maira Spanghero Ferreira
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
DAN163 - PRATICA EM GRUPO,100.0,581.0,5.0,TER,07:55 às 11:35,Isabelle Cordeiro Nogueira
,,503.0,25.0,,,Isabelle Cordeiro Nogueira
,,,,CMB,00:00 às 00:00,Isabelle Cordeiro Nogueira
,,581.0,5.0,,,Isabelle Cordeiro Nogueira
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
DAN263 - Cinesiologia na Dança II,10000.0,581.0,10.0,QUI,13:55 às 14:50,Cecilia Bastos da Costa Accioly
,,503.0,20.0,,,Cecilia Bastos da Costa Accioly
,,581.0,10.0,,14:50 às 15:45,Cecilia Bastos da Costa Accioly
,,503.0,20.0,,,Cecilia Bastos da Costa Accioly
,,581.0,10.0,,15:45 às 16:40,Cecilia Bastos da Costa Accioly
,,503.0,20.0,,,Cecilia Bastos da Costa Accioly
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
DANA02 - MID: ESTUDO DO CORPO II,10100.0,503.0,35.0,SEG,07:00 às 07:55,Beatriz Adeodato Alves de Souza
,,,,,07:55 às 08:50,Beatriz Adeodato Alves de Souza
,,,,,08:50 às 09:45,Beatriz Adeodato Alves de Souza
,,,,,09:45 às 10:40,Beatriz Adeodato Alves de Souza
,,,,,10:40 às 11:35,Beatriz Adeodato Alves de Souza
,,,,,11:35 às 12:30,Beatriz Adeodato Alves de Souza
,,,,QUA,07:00 às 07:55,Beatriz Adeodato Alves de Souza
,,,,,07:55 às 08:50,Beatriz Adeodato Alves de Souza
,,,,,08:50 às 09:45,Beatriz Adeodato Alves de Souza
,,,,,09:45 às 10:40,Beatriz Adeodato Alves de Souza
,,,,,10:40 às 11:35,Beatriz Adeodato Alves de Souza
,,,,,11:35 às 12:30,Beatriz Adeodato Alves de Souza
,,,,,,
,,,,,,
,,,,,,
