Disciplina,Turma,Coleg.,Vagas Ofe,Dia,Horário,Docente
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
DIR007 - DIREITOS FUNDAMENTAIS,10000.0,308.0,45.0,SEG,07:00 às 08:50,Andre Luiz Batista Neves
,,327.0,5.0,,,Andre Luiz Batista Neves
,,308.0,45.0,QUA,07:00 às 08:50,Andre Luiz Batista Neves
,,327.0,5.0,,,Andre Luiz Batista Neves
,20000.0,327.0,5.0,SEG,18:30 às 20:20,Fabio Periandro de Almeida Hirsch
,,382.0,45.0,,,Fabio Periandro de Almeida Hirsch
,,,,QUA,18:30 às 20:20,Fabio Periandro de Almeida Hirsch
,,327.0,5.0,,,Fabio Periandro de Almeida Hirsch
,30000.0,382.0,45.0,SEG,20:20 às 22:10,Fabio Periandro de Almeida Hirsch
,,226.0,5.0,,,Fabio Periandro de Almeida Hirsch
,,382.0,45.0,QUA,20:20 às 22:10,Fabio Periandro de Almeida Hirsch
,,226.0,5.0,,,Fabio Periandro de Almeida Hirsch
,40000.0,327.0,5.0,TER,08:50 às 10:40,Miguel Calmon Teixeira de Carvalho Danta
,,308.0,45.0,,,Miguel Calmon Teixeira de Carvalho Danta
,,,,QUI,08:50 às 10:40,Miguel Calmon Teixeira de Carvalho Danta
,,327.0,5.0,,,Miguel Calmon Teixeira de Carvalho Danta
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
DIR015 - DIREITO DE FAMíLIA,10000.0,308.0,45.0,SEG,08:50 às 10:40,Tecio Spinola Gomes
,,,,QUA,08:50 às 10:40,Tecio Spinola Gomes
,20000.0,308.0,45.0,SEG,10:40 às 12:30,Tecio Spinola Gomes
,,,,QUA,10:40 às 12:30,Tecio Spinola Gomes
,30000.0,382.0,45.0,SEG,18:30 às 20:20,Emanuel Lins Freire Vasconcellos
,,,,QUA,18:30 às 20:20,Emanuel Lins Freire Vasconcellos
,40000.0,382.0,45.0,SEG,20:20 às 22:10,Emanuel Lins Freire Vasconcellos
,,,,QUA,20:20 às 22:10,Emanuel Lins Freire Vasconcellos
,50000.0,327.0,45.0,TER,08:50 às 10:40,Iran Furtado de Souza Filho
,,,,QUI,08:50 às 10:40,Iran Furtado de Souza Filho
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
DIR016 - DIREITO DAS SUCESSÕES,10000.0,308.0,45.0,SEG,08:50 às 10:40,Joao Carlos Macedo Monteiro
,,,,QUA,08:50 às 10:40,Joao Carlos Macedo Monteiro
,20000.0,308.0,45.0,SEG,10:40 às 12:30,Emanuel Lins Freire Vasconcellos
,,,,QUA,10:40 às 12:30,Emanuel Lins Freire Vasconcellos
,30000.0,382.0,45.0,TER,18:30 às 20:20,Eugenio de Souza Kruschewsky
,,,,QUI,18:30 às 20:20,Eugenio de Souza Kruschewsky
,40000.0,382.0,45.0,TER,20:20 às 22:10,Eugenio de Souza Kruschewsky
,,,,QUI,20:20 às 22:10,Eugenio de Souza Kruschewsky
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
DIR023 - DIREITO PENAL V B,10000.0,308.0,25.0,TER,08:50 às 10:40,Sebastian Borges de Albuquerque Mello
