Disciplina,Turma,Coleg.,Vagas Ofe,Dia,HorÃ¡rio,Docente
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
EBA001 - HISTORIA DA ARTE I,10100.0,501.0,10.0,TER,07:00 Ã s 08:50,Maria Conceicao Barbosa da Costa e Silva
,,307.0,3.0,,,Maria Conceicao Barbosa da Costa e Silva
,,513.0,2.0,,,Maria Conceicao Barbosa da Costa e Silva
,,311.0,15.0,,,Maria Conceicao Barbosa da Costa e Silva
,,515.0,5.0,,,Maria Conceicao Barbosa da Costa e Silva
,,307.0,3.0,QUI,07:00 Ã s 08:50,Maria Conceicao Barbosa da Costa e Silva
,,311.0,15.0,,,Maria Conceicao Barbosa da Costa e Silva
,,515.0,5.0,,,Maria Conceicao Barbosa da Costa e Silva
,,501.0,10.0,,,Maria Conceicao Barbosa da Costa e Silva
,,513.0,2.0,,,Maria Conceicao Barbosa da Costa e Silva
,20200.0,387.0,2.0,SEG,10:40 Ã s 12:30,Maria Conceicao Barbosa da Costa e Silva
,,501.0,10.0,,,Maria Conceicao Barbosa da Costa e Silva
,,327.0,2.0,,,Maria Conceicao Barbosa da Costa e Silva
,,226.0,2.0,,,Maria Conceicao Barbosa da Costa e Silva
,,307.0,3.0,,,Maria Conceicao Barbosa da Costa e Silva
,,512.0,2.0,,,Maria Conceicao Barbosa da Costa e Silva
,,387.0,2.0,QUA,10:40 Ã s 12:30,Maria Conceicao Barbosa da Costa e Silva
,,226.0,2.0,,,Maria Conceicao Barbosa da Costa e Silva
,,512.0,2.0,,,Maria Conceicao Barbosa da Costa e Silva
,,307.0,3.0,,,Maria Conceicao Barbosa da Costa e Silva
,,501.0,10.0,,,Maria Conceicao Barbosa da Costa e Silva
,,327.0,2.0,,,Maria Conceicao Barbosa da Costa e Silva
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
EBA002 - HISTORIA DA ARTE II,10100.0,501.0,15.0,TER,07:00 Ã s 08:50,Mariela Brazon Hernandez
,,515.0,5.0,,,Mariela Brazon Hernandez
,,512.0,2.0,,,Mariela Brazon Hernandez
,,505.0,8.0,,,Mariela Brazon Hernandez
,,190.0,2.0,,,Mariela Brazon Hernandez
,,512.0,2.0,QUI,07:00 Ã s 08:50,Mariela Brazon Hernandez
,,505.0,8.0,,,Mariela Brazon Hernandez
,,190.0,2.0,,,Mariela Brazon Hernandez
,,501.0,15.0,,,Mariela Brazon Hernandez
,,515.0,5.0,,,Mariela Brazon Hernandez
,20200.0,311.0,25.0,TER,10:40 Ã s 12:30,Mariela Brazon Hernandez
,,501.0,5.0,,,Mariela Brazon Hernandez
,,,,QUI,10:40 Ã s 12:30,Mariela Brazon Hernandez
,,311.0,25.0,,,Mariela Brazon Hernandez
,30300.0,580.0,5.0,SEG,14:50 Ã s 16:40,Luiz Alberto Ribeiro Freire
,,501.0,10.0,,,Luiz Alberto Ribeiro Freire
,,311.0,10.0,,,Luiz Alberto Ribeiro Freire
,,505.0,8.0,,,Luiz Alberto Ribeiro Freire
,,,,QUA,14:50 Ã s 16:40,Luiz Alberto Ribeiro Freire
,,501.0,10.0,,,Luiz Alberto Ribeiro Freire
