Disciplina,Turma,Coleg.,Vagas Ofe,Dia,Horário,Docente
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
EBA001 - HISTORIA DA ARTE I,10100.0,501.0,30.0,SEG,07:00 às 08:50,Priscila Valente Lolata
,,311.0,5.0,,,Priscila Valente Lolata
,,,,QUA,07:00 às 08:50,Priscila Valente Lolata
,,501.0,30.0,,,Priscila Valente Lolata
,20200.0,311.0,5.0,SEG,08:50 às 10:40,Priscila Valente Lolata
,,505.0,30.0,,,Priscila Valente Lolata
,,311.0,5.0,QUA,08:50 às 10:40,Priscila Valente Lolata
,,505.0,30.0,,,Priscila Valente Lolata
,30300.0,311.0,5.0,SEG,10:40 às 12:30,Priscila Valente Lolata
,,501.0,30.0,,,Priscila Valente Lolata
,,311.0,5.0,QUA,10:40 às 12:30,Priscila Valente Lolata
,,501.0,30.0,,,Priscila Valente Lolata
,40400.0,311.0,35.0,SEG,13:00 às 14:50,Luiz Alberto Ribeiro Freire
,,,,QUA,13:00 às 14:50,Luiz Alberto Ribeiro Freire
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
EBA002 - HISTORIA DA ARTE II,10100.0,501.0,20.0,TER,07:00 às 08:50,Ines Karin Linke Ferreira
,,505.0,15.0,,,Ines Karin Linke Ferreira
,,501.0,20.0,QUI,07:00 às 08:50,Ines Karin Linke Ferreira
,,505.0,15.0,,,Ines Karin Linke Ferreira
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
EBA003 - HISTORIA DA ARTE III,10100.0,512.0,8.0,TER,09:45 às 12:30,Ludmila da Silva Ribeiro de Britto
,,386.0,5.0,,,Ludmila da Silva Ribeiro de Britto
,,310.0,7.0,,,Ludmila da Silva Ribeiro de Britto
,,513.0,15.0,,,Ludmila da Silva Ribeiro de Britto
,,386.0,5.0,QUI,09:45 às 12:30,Ludmila da Silva Ribeiro de Britto
,,513.0,15.0,,,Ludmila da Silva Ribeiro de Britto
,,512.0,8.0,,,Ludmila da Silva Ribeiro de Britto
,,310.0,7.0,,,Ludmila da Silva Ribeiro de Britto
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
EBA004 - DESENHO I,10100.0,505.0,20.0,SEG,13:00 às 15:45,Andre de Faria Brandao
,,,,QUA,13:00 às 15:45,Andre de Faria Brandao
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
EBA010 - HISTORIA DA ARTE BRASILEIRA,10100.0,505.0,8.0,TER,08:50 às 10:40,Ines Karin Linke Ferreira
,,501.0,12.0,,,Ines Karin Linke Ferreira
,,311.0,5.0,,,Ines Karin Linke Ferreira
,,513.0,8.0,,,Ines Karin Linke Ferreira
,,512.0,5.0,,,Ines Karin Linke Ferreira
,,513.0,8.0,QUI,08:50 às 10:40,Ines Karin Linke Ferreira
,,505.0,8.0,,,Ines Karin Linke Ferreira
,,512.0,5.0,,,Ines Karin Linke Ferreira
,,501.0,12.0,,,Ines Karin Linke Ferreira
,,311.0,5.0,,,Ines Karin Linke Ferreira
,20200.0,512.0,5.0,SEG,14:50 às 16:40,Luiz Alberto Ribeiro Freire
