Disciplina,Turma,Coleg.,Vagas Ofe,Dia,HorÃ¡rio,Docente
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
ECO001 - FUNDAMENTOS DE ECONOMIA,10000.0,387.0,5.0,QUI,07:00 Ã s 10:00,Fernando da Silva Sant Anna
,,327.0,5.0,,,Fernando da Silva Sant Anna
,,512.0,5.0,,,Fernando da Silva Sant Anna
,,286.0,5.0,,,Fernando da Silva Sant Anna
,20000.0,207.0,55.0,SEG,07:00 Ã s 10:00,Ieda Lisboa Dias
,30000.0,202.0,5.0,SEX,07:00 Ã s 10:00,Fernando da Silva Sant Anna
,,109.0,35.0,,,Fernando da Silva Sant Anna
,40000.0,306.0,5.0,QUA,09:00 Ã s 12:00,Carlos Alberto Gentil Marques
,,189.0,10.0,,,Carlos Alberto Gentil Marques
,,112.0,10.0,,,Carlos Alberto Gentil Marques
,,190.0,5.0,,,Carlos Alberto Gentil Marques
,,195.0,20.0,,,Carlos Alberto Gentil Marques
,,284.0,3.0,,,Carlos Alberto Gentil Marques
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
ECO134 - ECONOMIA RURAL,10000.0,182.0,2.0,SEG,17:00 Ã s 20:00,Jackson Ornelas Mendonca
,,109.0,2.0,,,Jackson Ornelas Mendonca
,,206.0,40.0,,,Jackson Ornelas Mendonca
,,207.0,3.0,,,Jackson Ornelas Mendonca
,20000.0,206.0,40.0,SEX,17:00 Ã s 20:00,Jackson Ornelas Mendonca
,,182.0,2.0,,,Jackson Ornelas Mendonca
,,109.0,2.0,,,Jackson Ornelas Mendonca
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
ECO142 - ECONOMIA BRASILEIRA,10000.0,301.0,50.0,SEG,09:00 Ã s 12:00,Paulo Raimundo Almeida Brito
,20000.0,327.0,5.0,QUI,09:00 Ã s 12:00,Celeste Maria Pedreira Philigret Baptist
,,387.0,5.0,,,Celeste Maria Pedreira Philigret Baptist
,,109.0,2.0,,,Celeste Maria Pedreira Philigret Baptist
,,304.0,35.0,,,Celeste Maria Pedreira Philigret Baptist
,30000.0,301.0,50.0,SEX,09:00 Ã s 12:00,Paulo Raimundo Almeida Brito
,40000.0,327.0,3.0,TER,07:00 Ã s 10:00,Paulo Raimundo Almeida Brito
,,207.0,3.0,,,Paulo Raimundo Almeida Brito
,,109.0,4.0,,,Paulo Raimundo Almeida Brito
,,304.0,40.0,,,Paulo Raimundo Almeida Brito
,,116.0,4.0,,,Paulo Raimundo Almeida Brito
,,387.0,2.0,,,Paulo Raimundo Almeida Brito
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
ECO145 - TOPICOS ESPECIAIS DA ECON. DOS RECURSOS DO MEIO AMBIENTE,10000.0,305.0,20.0,SEX,09:00 Ã s 12:00,Ihering Guedes Alcoforado de Carvalho
,,202.0,10.0,,,Ihering Guedes Alcoforado de Carvalho
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
ECO151 - ECONOMIA E FINANÃAS,10100.0,284.0,3.0,SEG,09:00 Ã s 11:00,Raymundo Jose Santos Garrido
,,190.0,5.0,,,Raymundo Jose Santos Garrido
