Disciplina,Turma,Coleg.,Vagas Ofe,Dia,Horário,Docente
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
ECO001 - FUNDAMENTOS DE ECONOMIA,10000.0,512.0,10.0,QUI,07:00 às 09:45,Fernando da Silva Sant Anna
,,387.0,2.0,,,Fernando da Silva Sant Anna
,,284.0,3.0,,,Fernando da Silva Sant Anna
,,189.0,3.0,,,Fernando da Silva Sant Anna
,,327.0,2.0,,,Fernando da Silva Sant Anna
,,226.0,5.0,,,Fernando da Silva Sant Anna
,20000.0,110.0,5.0,SEX,07:00 às 09:45,Fernando da Silva Sant Anna
,,190.0,3.0,,,Fernando da Silva Sant Anna
,,512.0,10.0,,,Fernando da Silva Sant Anna
,,387.0,2.0,,,Fernando da Silva Sant Anna
,30000.0,112.0,3.0,TER,07:55 às 10:40,Vinicius de Araujo Mendes
,,327.0,1.0,,,Vinicius de Araujo Mendes
,,387.0,1.0,,,Vinicius de Araujo Mendes
,,190.0,1.0,,,Vinicius de Araujo Mendes
,,207.0,50.0,,,Vinicius de Araujo Mendes
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
ECO142 - ECONOMIA BRASILEIRA,10000.0,387.0,3.0,SEG,08:50 às 11:35,Paulo Raimundo Almeida Brito
,,189.0,2.0,,,Paulo Raimundo Almeida Brito
,,327.0,2.0,,,Paulo Raimundo Almeida Brito
,,301.0,50.0,,,Paulo Raimundo Almeida Brito
,,308.0,3.0,,,Paulo Raimundo Almeida Brito
,20000.0,387.0,1.0,SEX,08:50 às 11:35,Paulo Raimundo Almeida Brito
,,327.0,2.0,,,Paulo Raimundo Almeida Brito
,,304.0,21.0,,,Paulo Raimundo Almeida Brito
,,380.0,3.0,,,Paulo Raimundo Almeida Brito
,,189.0,1.0,,,Paulo Raimundo Almeida Brito
,,301.0,32.0,,,Paulo Raimundo Almeida Brito
,30000.0,382.0,2.0,SEX,18:30 às 21:15,Arismar Cerqueira Sodre
,,380.0,40.0,,,Arismar Cerqueira Sodre
,,189.0,2.0,,,Arismar Cerqueira Sodre
,,387.0,2.0,,,Arismar Cerqueira Sodre
,,304.0,10.0,,,Arismar Cerqueira Sodre
,40000.0,327.0,2.0,TER,07:00 às 09:45,Paulo Raimundo Almeida Brito
,,380.0,5.0,,,Paulo Raimundo Almeida Brito
,,387.0,2.0,,,Paulo Raimundo Almeida Brito
,,207.0,10.0,,,Paulo Raimundo Almeida Brito
,,304.0,40.0,,,Paulo Raimundo Almeida Brito
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
ECO151 - ECONOMIA E FINANÇAS,10100.0,190.0,12.0,SEG,08:50 às 10:40,Raymundo Jose Santos Garrido
,,189.0,10.0,,,Raymundo Jose Santos Garrido
,,113.0,5.0,,,Raymundo Jose Santos Garrido
,,106.0,15.0,,,Raymundo Jose Santos Garrido
,,190.0,12.0,QUA,08:50 às 10:40,Raymundo Jose Santos Garrido
,,189.0,10.0,,,Raymundo Jose Santos Garrido
,,106.0,15.0,,,Raymundo Jose Santos Garrido
,,113.0,5.0,,,Raymundo Jose Santos Garrido
