Disciplina,Turma,Coleg.,Vagas Ofe,Dia,HorÃ¡rio,Docente
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
EDC515 - TRABALHO INDIVIDUAL ORIENTADO,10000.0,330.0,20.0,CMB,00:00 Ã s 23:00,Vera Lucia Bueno Fartes
,20000.0,350.0,30.0,CMB,00:00 Ã s 23:00,Rosileia Oliveira de Almeida
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
EDC790 - PESQUISA ORIENTADA,10000.0,330.0,60.0,CMB,00:00 Ã s 23:00,Teresinha Froes Burnham
,20000.0,350.0,150.0,CMB,00:00 Ã s 23:00,Miguel Angel Garcia Bordas
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
EDC791 - TIROCINIO DOCENTE ORIENTADO,10000.0,330.0,10.0,CMB,00:00 Ã s 23:00,Augusto Cesar Rios Leiro
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
EDC792 - PROJETO DE DISSERTACAO,10000.0,330.0,15.0,QUA,13:55 Ã s 17:35,Docente nÃ£o informado pelo Departamento
,20000.0,330.0,15.0,QUI,07:55 Ã s 11:35,Augusto Cesar Rios Leiro
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
EDC794 - EXAME DE QUALIFICACAO,10000.0,350.0,45.0,CMB,00:00 Ã s 23:00,Claudio de Lira Santos Junior
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
EDC795 - PARTICIPACAO EM PESQUISA DO CURSO,10000.0,330.0,10.0,CMB,00:00 Ã s 23:00,Docente nÃ£o informado pelo Departamento
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
EDC939 - ESTAGIO DOCENTE ORIENTADO/MESTRADO,1.0,330.0,20.0,CMB,00:00 Ã s 23:00,Maria Helena Silveira Bonilla
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
EDC940 - ESTAGIO DOCENTE ORIENTADO/DOUTORADO,1.0,350.0,10.0,CMB,00:00 Ã s 23:00,Maria Helena Silveira Bonilla
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"EDCA34 - TEORIA MARXISTA, PEDAGOGIA SOCIALISTA E CURRICULO",10000.0,350.0,10.0,QUI,07:55 Ã s 11:35,Celi Nelza Zulke Taffarel
,,330.0,15.0,,,Celi Nelza Zulke Taffarel
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
EDCA36 - CULTURA POPULAR E EDUCACAO,10000.0,350.0,10.0,TER,13:55 Ã s 17:35,Pedro Rodolpho Jungers Abib
,,330.0,15.0,,,Pedro Rodolpho Jungers Abib
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
EDCA38 - PROJETO DE TESE II,10000.0,350.0,20.0,TER,18:30 Ã s 22:10,Nelson de Luca Pretto
,20000.0,350.0,20.0,TER,13:55 Ã s 17:35,Maria Roseli Gomes Brito de Sa
,,,,,,Maria Inez da Silva de Souza Carvalho
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
