Disciplina,Turma,Coleg.,Vagas Ofe,Dia,Horário,Docente
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
ENF011 - ENFERMAGEM NO CUIDADO A SAUDE MENTAL,10100.0,203.0,6.0,SEX,07:00 às 07:55,Lais Chagas de Carvalho
,,,,,07:55 às 08:50,Lais Chagas de Carvalho
,,,,,08:50 às 09:45,Priscila Coimbra Rocha
,,,,,09:45 às 10:40,Priscila Coimbra Rocha
,,,,CMB,00:00 às 00:00,Docente Substituto a Contratar
,10200.0,203.0,6.0,SEX,07:00 às 07:55,Lais Chagas de Carvalho
,,,,,07:55 às 08:50,Lais Chagas de Carvalho
,,,,,08:50 às 09:45,Priscila Coimbra Rocha
,,,,,09:45 às 10:40,Priscila Coimbra Rocha
,,,,CMB,00:00 às 00:00,Priscila Coimbra Rocha
,10300.0,203.0,6.0,SEX,07:00 às 07:55,Lais Chagas de Carvalho
,,,,,07:55 às 08:50,Lais Chagas de Carvalho
,,,,,08:50 às 09:45,Priscila Coimbra Rocha
,,,,,09:45 às 10:40,Priscila Coimbra Rocha
,,,,CMB,00:00 às 00:00,Lais Chagas de Carvalho
,10400.0,203.0,6.0,SEX,07:00 às 07:55,Lais Chagas de Carvalho
,,,,,07:55 às 08:50,Lais Chagas de Carvalho
,,,,,08:50 às 09:45,Priscila Coimbra Rocha
,,,,,09:45 às 10:40,Priscila Coimbra Rocha
,,,,CMB,00:00 às 00:00,Docente Substituto a Contratar
,10500.0,203.0,6.0,SEX,07:00 às 07:55,Lais Chagas de Carvalho
,,,,,07:55 às 08:50,Lais Chagas de Carvalho
,,,,,08:50 às 09:45,Priscila Coimbra Rocha
,,,,,09:45 às 10:40,Priscila Coimbra Rocha
,,,,CMB,00:00 às 00:00,Priscila Coimbra Rocha
,10600.0,203.0,6.0,SEX,07:00 às 07:55,Lais Chagas de Carvalho
,,,,,07:55 às 08:50,Lais Chagas de Carvalho
,,,,,08:50 às 09:45,Priscila Coimbra Rocha
,,,,,09:45 às 10:40,Priscila Coimbra Rocha
,,,,CMB,00:00 às 00:00,Lais Chagas de Carvalho
,10700.0,203.0,6.0,SEX,07:00 às 07:55,Lais Chagas de Carvalho
,,,,,07:55 às 08:50,Lais Chagas de Carvalho
,,,,,08:50 às 09:45,Priscila Coimbra Rocha
,,,,,09:45 às 10:40,Priscila Coimbra Rocha
,,,,CMB,00:00 às 00:00,Docente Substituto a Contratar
,10800.0,203.0,6.0,SEX,07:00 às 07:55,Lais Chagas de Carvalho
,,,,,07:55 às 08:50,Lais Chagas de Carvalho
,,,,,08:50 às 09:45,Priscila Coimbra Rocha
,,,,,09:45 às 10:40,Priscila Coimbra Rocha
,,,,CMB,00:00 às 00:00,Docente Substituto a Contratar
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
ENFA79 - ACCS:ABORD INTERDISC E TRANSDISC PROBL SAUDE RELAC VIOLÊNCIA,100.0,327.0,1.0,QUI,13:55 às 17:35,Nadirlene Pereira Gomes
,,203.0,6.0,,,Nadirlene Pereira Gomes
,,286.0,1.0,,,Nadirlene Pereira Gomes
,,226.0,3.0,,,Nadirlene Pereira Gomes
