Disciplina,Turma,Coleg.,Vagas Ofe,Dia,Horário,Docente
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
FARA04 - TOPICOS EM CIENCIA DE ALIMENTOS,10000.0,258.0,10.0,CMB,00:00 às 23:00,Eliete da Silva Bispo
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
FARA06 - METODOLOGIA DA PESQUISA CIENTIFICA,10000.0,258.0,29.0,TER,10:40 às 12:30,Alaise Gil Guimaraes
,,,,,,Janice Izabel Druzian
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
FARA16 - PESQUISA ORIENTADA,10000.0,258.0,4.0,CMB,00:00 às 23:00,Alaise Gil Guimaraes
,20000.0,258.0,4.0,CMB,00:00 às 23:00,Cleber Alberto Schmidt
,30000.0,258.0,1.0,CMB,00:00 às 23:00,Ederlan de Souza Ferreira
,40000.0,258.0,3.0,CMB,00:00 às 23:00,Eliete da Silva Bispo
,50000.0,258.0,5.0,CMB,00:00 às 23:00,Janice Izabel Druzian
,60000.0,258.0,3.0,CMB,00:00 às 23:00,Jose Antonio Menezes Filho
,70000.0,258.0,5.0,CMB,00:00 às 23:00,Marcelo Andres Umsza Guez
,80000.0,258.0,4.0,CMB,00:00 às 23:00,Maria Eugenia de Oliveira Mamede
,90000.0,258.0,2.0,CMB,00:00 às 23:00,Maria da Pureza Spinola Miranda
,100000.0,258.0,5.0,CMB,00:00 às 23:00,Docente Convênio
,110000.0,258.0,4.0,CMB,00:00 às 23:00,Rogeria Comastri de Castro Almeida
,120000.0,258.0,3.0,CMB,00:00 às 23:00,Ryzia de Cassia Vieira Cardoso
,130000.0,258.0,5.0,CMB,00:00 às 23:00,Sergio Eduardo Soares
,140000.0,258.0,3.0,CMB,00:00 às 23:00,Itaciara Larroza Nunes
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
FARA18 - PROJETO DE DISSERTACAO,10000.0,258.0,1.0,CMB,00:00 às 23:00,Alaise Gil Guimaraes
,20000.0,258.0,1.0,CMB,00:00 às 23:00,Eliete da Silva Bispo
,30000.0,258.0,1.0,CMB,00:00 às 23:00,Itaciara Larroza Nunes
,40000.0,258.0,2.0,CMB,00:00 às 23:00,Janice Izabel Druzian
,50000.0,258.0,1.0,CMB,00:00 às 23:00,Jose Antonio Menezes Filho
,60000.0,258.0,1.0,CMB,00:00 às 23:00,Maria Eugenia de Oliveira Mamede
,70000.0,258.0,1.0,CMB,00:00 às 23:00,Maria da Pureza Spinola Miranda
,80000.0,258.0,2.0,CMB,00:00 às 23:00,Docente Convênio
,90000.0,258.0,2.0,CMB,00:00 às 23:00,Rogeria Comastri de Castro Almeida
,100000.0,258.0,1.0,CMB,00:00 às 23:00,Ryzia de Cassia Vieira Cardoso
,110000.0,258.0,1.0,CMB,00:00 às 23:00,Cleber Alberto Schmidt
,120000.0,258.0,2.0,CMB,00:00 às 23:00,Sergio Eduardo Soares
,130000.0,258.0,2.0,CMB,00:00 às 23:00,Marcelo Andres Umsza Guez
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
