Disciplina,Turma,Coleg.,Vagas Ofe,Dia,Horário,Docente
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
FARA04 - TOPICOS EM CIENCIA DE ALIMENTOS,10000.0,258.0,30.0,CMB,00:00 às 23:00,Docente Convênio
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
FARA06 - METODOLOGIA DA PESQUISA CIENTIFICA,10000.0,258.0,20.0,SEX,08:50 às 10:40,Alaise Gil Guimaraes
,,,,,,Janice Izabel Druzian
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
FARA12 - HIGIENE DE ALIMENTOS,10000.0,258.0,15.0,TER,13:00 às 14:50,Docente não informado pelo Departamento
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
FARA14 - TOPICOS EM CONTAMINANTES QUIMICOS DE ALIMENTOS,10000.0,258.0,15.0,TER,15:45 às 17:35,Docente não informado pelo Departamento
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
FARA16 - PESQUISA ORIENTADA,10000.0,258.0,5.0,CMB,00:00 às 23:00,Alaise Gil Guimaraes
,20000.0,258.0,3.0,CMB,00:00 às 23:00,Cleber Alberto Schmidt
,30000.0,258.0,4.0,CMB,00:00 às 23:00,Ederlan de Souza Ferreira
,40000.0,258.0,4.0,CMB,00:00 às 23:00,Eliete da Silva Bispo
,50000.0,258.0,4.0,CMB,00:00 às 23:00,Docente Convênio
,60000.0,258.0,5.0,CMB,00:00 às 23:00,Janice Izabel Druzian
,70000.0,258.0,4.0,CMB,00:00 às 23:00,Jose Antonio Menezes Filho
,80000.0,258.0,4.0,CMB,00:00 às 23:00,Docente não informado pelo Departamento
,90000.0,258.0,4.0,CMB,00:00 às 23:00,Maria Eugenia de Oliveira Mamede
,100000.0,258.0,3.0,CMB,00:00 às 23:00,Maria da Pureza Spinola Miranda
,110000.0,258.0,4.0,CMB,00:00 às 23:00,Docente Convênio
,120000.0,258.0,4.0,CMB,00:00 às 23:00,Docente não informado pelo Departamento
,130000.0,258.0,2.0,CMB,00:00 às 23:00,Docente não informado pelo Departamento
,140000.0,258.0,4.0,CMB,00:00 às 23:00,Docente não informado pelo Departamento
,150000.0,258.0,3.0,CMB,00:00 às 23:00,Sergio Eduardo Soares
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
FARA17 - TIROCINIO DOCENTE ORIENTADO,10000.0,258.0,1.0,CMB,00:00 às 23:00,Alaise Gil Guimaraes
,20000.0,258.0,1.0,CMB,00:00 às 23:00,Ederlan de Souza Ferreira
,30000.0,258.0,1.0,CMB,00:00 às 23:00,Eliete da Silva Bispo
,40000.0,258.0,1.0,CMB,00:00 às 23:00,Janice Izabel Druzian
,50000.0,258.0,1.0,CMB,00:00 às 23:00,Jose Antonio Menezes Filho
,60000.0,258.0,1.0,CMB,00:00 às 23:00,Maria Eugenia de Oliveira Mamede
,70000.0,258.0,1.0,CMB,00:00 às 23:00,Maria da Pureza Spinola Miranda
,80000.0,258.0,1.0,CMB,00:00 às 23:00,Docente Convênio
,90000.0,258.0,1.0,CMB,00:00 às 23:00,Docente não informado pelo Departamento
,,,,,,
,,,,,,
