Disciplina,Turma,Coleg.,Vagas Ofe,Dia,HorÃ¡rio,Docente
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
FCC001 - CONTABILIDADE GERAL I,10000.0,116.0,4.0,TER,08:50 Ã s 10:40,Sonia Maria da Silva Gomes
,,112.0,15.0,,,Sonia Maria da Silva Gomes
,,308.0,3.0,,,Sonia Maria da Silva Gomes
,,327.0,5.0,,,Sonia Maria da Silva Gomes
,,226.0,5.0,,,Sonia Maria da Silva Gomes
,,,,QUI,08:50 Ã s 10:40,Sonia Maria da Silva Gomes
,,116.0,4.0,,,Sonia Maria da Silva Gomes
,,112.0,15.0,,,Sonia Maria da Silva Gomes
,,308.0,3.0,,,Sonia Maria da Silva Gomes
,,327.0,5.0,,,Sonia Maria da Silva Gomes
,20000.0,189.0,5.0,TER,18:30 Ã s 20:20,Docente Concursado
,,286.0,5.0,,,Docente Concursado
,,382.0,5.0,,,Docente Concursado
,,387.0,5.0,,,Docente Concursado
,,116.0,5.0,,,Docente Concursado
,,,,QUI,18:30 Ã s 20:20,Docente Concursado
,,387.0,5.0,,,Docente Concursado
,,189.0,5.0,,,Docente Concursado
,,286.0,5.0,,,Docente Concursado
,,382.0,5.0,,,Docente Concursado
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
FCC009 - AUDITORIA I,10000.0,301.0,15.0,TER,07:00 Ã s 08:50,Eduardo Tadeu Santana
,,304.0,35.0,,,Eduardo Tadeu Santana
,,301.0,15.0,QUI,07:00 Ã s 08:50,Eduardo Tadeu Santana
,,304.0,35.0,,,Eduardo Tadeu Santana
,20000.0,304.0,35.0,SEG,08:50 Ã s 10:40,Eduardo Tadeu Santana
,,301.0,15.0,,,Eduardo Tadeu Santana
,,304.0,35.0,QUA,08:50 Ã s 10:40,Eduardo Tadeu Santana
,,301.0,15.0,,,Eduardo Tadeu Santana
,30000.0,380.0,40.0,TER,20:20 Ã s 22:10,Henrique Fonseca de Cabirta
,,301.0,10.0,,,Henrique Fonseca de Cabirta
,,,,QUI,20:20 Ã s 22:10,Henrique Fonseca de Cabirta
,,380.0,40.0,,,Henrique Fonseca de Cabirta
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
FCC010 - AUDITORIA II,10000.0,304.0,40.0,TER,08:50 Ã s 10:40,Eduardo Tadeu Santana
,,305.0,5.0,,,Eduardo Tadeu Santana
,,304.0,40.0,QUI,08:50 Ã s 10:40,Eduardo Tadeu Santana
,,305.0,5.0,,,Eduardo Tadeu Santana
,20000.0,380.0,15.0,TER,18:30 Ã s 20:20,Henrique Fonseca de Cabirta
,,304.0,10.0,,,Henrique Fonseca de Cabirta
,,380.0,15.0,QUI,18:30 Ã s 20:20,Henrique Fonseca de Cabirta
,,304.0,10.0,,,Henrique Fonseca de Cabirta
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
FCC017 - ESTAGIO EM CONTABILIDADE,10.0,304.0,10.0,CMB,00:00 Ã s 23:00,Audrey Jones de Souza
,20.0,304.0,10.0,CMB,00:00 Ã s 23:00,Josemar Oliveira Lopes de Jesus
