Disciplina,Turma,Coleg.,Vagas Ofe,Dia,Horário,Docente
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
FCC001 - CONTABILIDADE GERAL I,10000.0,515.0,10.0,SEG,08:50 às 10:40,Antonio Carlos Ribeiro da Silva
,,308.0,5.0,,,Antonio Carlos Ribeiro da Silva
,,116.0,5.0,,,Antonio Carlos Ribeiro da Silva
,,226.0,5.0,,,Antonio Carlos Ribeiro da Silva
,,112.0,5.0,,,Antonio Carlos Ribeiro da Silva
,,190.0,5.0,,,Antonio Carlos Ribeiro da Silva
,,327.0,10.0,,,Antonio Carlos Ribeiro da Silva
,,226.0,5.0,QUA,08:50 às 10:40,Antonio Carlos Ribeiro da Silva
,,327.0,10.0,,,Antonio Carlos Ribeiro da Silva
,,308.0,5.0,,,Antonio Carlos Ribeiro da Silva
,,190.0,5.0,,,Antonio Carlos Ribeiro da Silva
,,116.0,5.0,,,Antonio Carlos Ribeiro da Silva
,,112.0,5.0,,,Antonio Carlos Ribeiro da Silva
,,515.0,10.0,,,Antonio Carlos Ribeiro da Silva
,20000.0,112.0,5.0,TER,18:30 às 20:20,Docente não informado pelo Departamento
,,189.0,5.0,,,Docente não informado pelo Departamento
,,286.0,5.0,,,Docente não informado pelo Departamento
,,185.0,5.0,,,Docente não informado pelo Departamento
,,387.0,5.0,,,Docente não informado pelo Departamento
,,195.0,5.0,,,Docente não informado pelo Departamento
,,116.0,5.0,,,Docente não informado pelo Departamento
,,189.0,5.0,QUI,18:30 às 20:20,Docente não informado pelo Departamento
,,195.0,5.0,,,Docente não informado pelo Departamento
,,286.0,5.0,,,Docente não informado pelo Departamento
,,387.0,5.0,,,Docente não informado pelo Departamento
,,185.0,5.0,,,Docente não informado pelo Departamento
,,116.0,5.0,,,Docente não informado pelo Departamento
,,112.0,5.0,,,Docente não informado pelo Departamento
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
FCC009 - AUDITORIA I,10000.0,304.0,30.0,SEG,08:50 às 10:40,Eduardo Tadeu Santana
,,301.0,15.0,,,Eduardo Tadeu Santana
,,,,QUA,08:50 às 10:40,Eduardo Tadeu Santana
,,304.0,30.0,,,Eduardo Tadeu Santana
,20000.0,304.0,30.0,TER,07:00 às 08:50,Eduardo Tadeu Santana
,,301.0,15.0,,,Eduardo Tadeu Santana
,,304.0,30.0,QUI,07:00 às 08:50,Eduardo Tadeu Santana
,,301.0,15.0,,,Eduardo Tadeu Santana
,30000.0,380.0,30.0,TER,20:20 às 22:10,Henrique Fonseca de Cabirta
,,301.0,5.0,,,Henrique Fonseca de Cabirta
,,304.0,15.0,,,Henrique Fonseca de Cabirta
,,301.0,5.0,QUI,20:20 às 22:10,Henrique Fonseca de Cabirta
,,304.0,15.0,,,Henrique Fonseca de Cabirta
,,380.0,30.0,,,Henrique Fonseca de Cabirta
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
FCC010 - AUDITORIA II,10000.0,304.0,30.0,TER,08:50 às 10:40,Eduardo Tadeu Santana
,,,,QUI,08:50 às 10:40,Eduardo Tadeu Santana
,20000.0,380.0,30.0,TER,18:30 às 20:20,Henrique Fonseca de Cabirta
