Disciplina,Turma,Coleg.,Vagas Ofe,Dia,HorÃ¡rio,Docente
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
FCH505 - METODOLOGIA DA PESQUISA,10000.0,357.0,15.0,CMB,00:00 Ã s 23:00,Antonio Luigi Negro
,,335.0,10.0,,,Antonio Luigi Negro
,20000.0,357.0,15.0,QUA,13:00 Ã s 14:50,Gabriela dos Reis Sampaio
,,335.0,10.0,,,Gabriela dos Reis Sampaio
,,,,,14:50 Ã s 16:40,Gabriela dos Reis Sampaio
,,357.0,15.0,,,Gabriela dos Reis Sampaio
,30000.0,335.0,10.0,QUA,13:00 Ã s 14:50,Lina Maria Brandao de Aras
,,357.0,15.0,,,Lina Maria Brandao de Aras
,,,,,14:50 Ã s 16:40,Lina Maria Brandao de Aras
,,335.0,10.0,,,Lina Maria Brandao de Aras
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
FCH526 - HISTORIA SOCIAL,10000.0,335.0,35.0,TER,13:55 Ã s 17:35,Milton Araujo Moura
,20000.0,357.0,20.0,TER,13:55 Ã s 17:35,Maria de Fatima Novaes Pires
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"FCH600 - CULTURA, MODERNIDADE E A CIDADE",10000.0,336.0,15.0,CMB,00:00 Ã s 23:00,Maria Gabriela Hita
,,356.0,10.0,,,Maria Gabriela Hita
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
FCH635 - SEMINARIO DE PESQUISA I,10000.0,340.0,20.0,CMB,00:00 Ã s 23:00,Rafael Lopes Azize
,,364.0,20.0,,,Rafael Lopes Azize
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
FCH646 - PROBLEMAS FENOMENOLOGICOS E HERMENEUTICOS,10000.0,340.0,10.0,SEG,13:00 Ã s 14:50,Nancy Mangabeira Unger
,,364.0,10.0,,,Nancy Mangabeira Unger
,,,,,14:50 Ã s 16:40,Nancy Mangabeira Unger
,,340.0,10.0,,,Nancy Mangabeira Unger
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
FCH649 - PROBLEMAS DE FILOSOFIA CONTEMPORANEA,10000.0,340.0,10.0,QUA,13:00 Ã s 14:50,Silvia Faustino de Assis Saes
,,,,,14:50 Ã s 16:40,Silvia Faustino de Assis Saes
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
FCH652 - AFRICA: CIENCIA E COLONIALISMO - QUESTOES TEORICAS,10000.0,357.0,5.0,CMB,00:00 Ã s 23:00,Claudio Alves Furtado
,,335.0,15.0,,,Claudio Alves Furtado
,20000.0,310.0,20.0,QUA,13:55 Ã s 15:45,Claudio Alves Furtado
,,,,,15:45 Ã s 17:35,Claudio Alves Furtado
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
FCH660 - HISTORIA E ANTROPOLOGIA: EM BUSCA NOVAS FRONTEIRAS REFLEXAO,10000.0,357.0,5.0,CMB,00:00 Ã s 23:00,Maria Hilda Baqueiro Paraiso
,,335.0,15.0,,,Maria Hilda Baqueiro Paraiso
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
