Disciplina,Turma,Coleg.,Vagas Ofe,Dia,Horário,Docente
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
FIS115 - TÓPICOS DE ENSINO DE FÍSICA,10100.0,108.0,12.0,SEG,14:50 às 15:45,Katemari Diogo da Rosa
,,113.0,1.0,,,Katemari Diogo da Rosa
,,280.0,1.0,,,Katemari Diogo da Rosa
,,202.0,1.0,,,Katemari Diogo da Rosa
,,190.0,1.0,,,Katemari Diogo da Rosa
,,181.0,8.0,,,Katemari Diogo da Rosa
,,183.0,1.0,,,Katemari Diogo da Rosa
,,209.0,2.0,,,Katemari Diogo da Rosa
,,111.0,1.0,,,Katemari Diogo da Rosa
,,189.0,1.0,,,Katemari Diogo da Rosa
,,184.0,1.0,,,Katemari Diogo da Rosa
,,181.0,8.0,,15:45 às 16:40,Katemari Diogo da Rosa
,,111.0,1.0,,,Katemari Diogo da Rosa
,,113.0,1.0,,,Katemari Diogo da Rosa
,,280.0,1.0,,,Katemari Diogo da Rosa
,,108.0,12.0,,,Katemari Diogo da Rosa
,,189.0,1.0,,,Katemari Diogo da Rosa
,,190.0,1.0,,,Katemari Diogo da Rosa
,,183.0,1.0,,,Katemari Diogo da Rosa
,,209.0,2.0,,,Katemari Diogo da Rosa
,,202.0,1.0,,,Katemari Diogo da Rosa
,,184.0,1.0,,,Katemari Diogo da Rosa
,,181.0,8.0,CMB,00:00 às 00:00,Katemari Diogo da Rosa
,,190.0,1.0,,,Katemari Diogo da Rosa
,,113.0,1.0,,,Katemari Diogo da Rosa
,,183.0,1.0,,,Katemari Diogo da Rosa
,,184.0,1.0,,,Katemari Diogo da Rosa
,,202.0,1.0,,,Katemari Diogo da Rosa
,,189.0,1.0,,,Katemari Diogo da Rosa
,,108.0,12.0,,,Katemari Diogo da Rosa
,,209.0,2.0,,,Katemari Diogo da Rosa
,,111.0,1.0,,,Katemari Diogo da Rosa
,,280.0,1.0,,,Katemari Diogo da Rosa
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
FIS130 - FISICA GERAL I-B,10000.0,387.0,5.0,SEG,07:00 às 08:50,Edvaldo Suzarthe de Araujo
,,190.0,1.0,,,Edvaldo Suzarthe de Araujo
,,327.0,5.0,,,Edvaldo Suzarthe de Araujo
,,189.0,1.0,,,Edvaldo Suzarthe de Araujo
,,101.0,30.0,,,Edvaldo Suzarthe de Araujo
,,189.0,1.0,CMB,00:00 às 00:00,Edvaldo Suzarthe de Araujo
,,387.0,5.0,,,Edvaldo Suzarthe de Araujo
,,327.0,5.0,,,Edvaldo Suzarthe de Araujo
,,190.0,1.0,,,Edvaldo Suzarthe de Araujo
,,101.0,30.0,,,Edvaldo Suzarthe de Araujo
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
FIS132 - MÉTODOS EM GEOFÍSICA NUCLEAR,10100.0,118.0,20.0,CMB,00:00 às 23:00,Alexandre Barreto Costa
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
FIS133 - FÍSICA DO MEIO AMBIENTE,10100.0,119.0,11.0,SEG,10:40 às 12:30,Edson Pereira Marques Filho
,,118.0,7.0,,,Edson Pereira Marques Filho
