Disciplina,Turma,Coleg.,Vagas Ofe,Dia,HorÃ¡rio,Docente
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
FOF790 - PESQUISA ORIENTADA,10000.0,800.0,30.0,CMB,00:00 Ã s 23:00,Luciana Maria Pedreira Ramalho
,,290.0,20.0,,,Luciana Maria Pedreira Ramalho
,,,,,,Viviane Almeida Sarmento
,,800.0,30.0,,,Viviane Almeida Sarmento
,,,,,,Jean Nunes dos Santos
,,290.0,20.0,,,Jean Nunes dos Santos
,,,,,,Patricia Ramos Cury
,,800.0,30.0,,,Patricia Ramos Cury
,,,,,,Flavia Calo de Aquino Xavier
,,290.0,20.0,,,Flavia Calo de Aquino Xavier
,,800.0,30.0,,,Ieda Margarida Crusoe Rocha Rebello
,,290.0,20.0,,,Ieda Margarida Crusoe Rocha Rebello
,,800.0,30.0,,,Clarissa Araujo Gurgel Rocha
,,290.0,20.0,,,Clarissa Araujo Gurgel Rocha
,,,,,,Paulo Sergio Flores Campos
,,800.0,30.0,,,Paulo Sergio Flores Campos
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
FOFA70 - DEFESA DE TESE,10000.0,800.0,10.0,CMB,00:00 Ã s 23:00,Jean Nunes dos Santos
,,,,,,Paulo Sergio Flores Campos
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
FOFB35 - PRINCÃPIOS DE BIOFOTÃNICA,10000.0,800.0,15.0,CMB,00:00 Ã s 23:00,Jean Nunes dos Santos
,,290.0,20.0,,,Jean Nunes dos Santos
,,800.0,15.0,,,Marcio Vieira Lisboa
,,290.0,20.0,,,Marcio Vieira Lisboa
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
FOFB36 - TÃCNICAS LABORATORIAIS,10000.0,800.0,15.0,CMB,00:00 Ã s 23:00,Jean Nunes dos Santos
,,,,,,Deise Souza Vilas Boas
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
FOFB42 - CICATRIZAÃÃO E REPARO,10000.0,800.0,15.0,CMB,00:00 Ã s 23:00,Luciana Maria Pedreira Ramalho
,,290.0,20.0,,,Luciana Maria Pedreira Ramalho
,,800.0,15.0,,,Jean Nunes dos Santos
,,290.0,20.0,,,Jean Nunes dos Santos
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
FOFB44 - PRINCIPIOS E APLICAÃÃES DA ESPECTROSCOPIA RAMAN,10000.0,800.0,15.0,CMB,00:00 Ã s 23:00,Luciana Maria Pedreira Ramalho
,,290.0,20.0,,,Luciana Maria Pedreira Ramalho
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
FOFB52 - EPIDEMIOLOGIA,10000.0,290.0,20.0,CMB,00:00 Ã s 23:00,Maria Isabel Pereira Vianna
,,800.0,15.0,,,Maria Isabel Pereira Vianna
,,,,,,Maria Cristina Teixeira Cangussu
,,290.0,20.0,,,Maria Cristina Teixeira Cangussu
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
FOFB57 - ESTÃGIO DOCÃNCIA,10000.0,800.0,15.0,CMB,00:00 Ã s 23:00,Luciana Maria Pedreira Ramalho
,,290.0,20.0,,,Luciana Maria Pedreira Ramalho
,,800.0,15.0,,,Viviane Almeida Sarmento
,,290.0,20.0,,,Viviane Almeida Sarmento
,,800.0,15.0,,,Jean Nunes dos Santos
,,290.0,20.0,,,Jean Nunes dos Santos
,,800.0,15.0,,,Patricia Ramos Cury
,,290.0,20.0,,,Patricia Ramos Cury
,,800.0,15.0,,,Flavia Calo de Aquino Xavier
,,290.0,20.0,,,Flavia Calo de Aquino Xavier
,,800.0,15.0,,,Ieda Margarida Crusoe Rocha Rebello
,,290.0,20.0,,,Ieda Margarida Crusoe Rocha Rebello
,,800.0,15.0,,,Clarissa Araujo Gurgel Rocha
,,290.0,20.0,,,Clarissa Araujo Gurgel Rocha
,,800.0,15.0,,,Paulo Sergio Flores Campos
,,290.0,20.0,,,Paulo Sergio Flores Campos
