Disciplina,Turma,Coleg.,Vagas Ofe,Dia,Horário,Docente
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
FOF564 - CIRURGIA EXPERIMENTAL,10100.0,800.0,20.0,CMB,00:00 às 23:00,Docente não informado pelo Departamento
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
FOF790 - PESQUISA ORIENTADA,10000.0,800.0,47.0,CMB,00:00 às 23:00,Maria Isabel Pereira Vianna
,,290.0,20.0,,,Maria Isabel Pereira Vianna
,,800.0,47.0,,,Viviane Almeida Sarmento
,,290.0,20.0,,,Viviane Almeida Sarmento
,,800.0,47.0,,,Maria Cristina Teixeira Cangussu
,,290.0,20.0,,,Maria Cristina Teixeira Cangussu
,,800.0,47.0,,,Jean Nunes dos Santos
,,290.0,20.0,,,Jean Nunes dos Santos
,,800.0,47.0,,,Aguida Cristina Gomes Henriques Leitao
,,290.0,20.0,,,Aguida Cristina Gomes Henriques Leitao
,,,,,,Patricia Ramos Cury
,,800.0,47.0,,,Patricia Ramos Cury
,,,,,,Flavia Calo de Aquino Xavier
,,290.0,20.0,,,Flavia Calo de Aquino Xavier
,,800.0,47.0,,,Johelle de Santana Passos Soares
,,290.0,20.0,,,Johelle de Santana Passos Soares
,,800.0,47.0,,,Andreia Cristina Leal Figueiredo
,,290.0,20.0,,,Andreia Cristina Leal Figueiredo
,,800.0,47.0,,,Ieda Margarida Crusoe Rocha Rebello
,,290.0,20.0,,,Ieda Margarida Crusoe Rocha Rebello
,,800.0,47.0,,,Frederico Sampaio Neves
,,290.0,20.0,,,Frederico Sampaio Neves
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
FOFA69 - EXAME DE QUALIFICAÇÃO,10000.0,800.0,15.0,CMB,00:00 às 23:00,Maria Isabel Pereira Vianna
,,290.0,20.0,,,Maria Isabel Pereira Vianna
,,800.0,15.0,,,Viviane Almeida Sarmento
,,290.0,20.0,,,Viviane Almeida Sarmento
,,800.0,15.0,,,Maria Cristina Teixeira Cangussu
,,290.0,20.0,,,Maria Cristina Teixeira Cangussu
,,800.0,15.0,,,Jean Nunes dos Santos
,,290.0,20.0,,,Jean Nunes dos Santos
,,800.0,15.0,,,Aguida Cristina Gomes Henriques Leitao
,,290.0,20.0,,,Aguida Cristina Gomes Henriques Leitao
,,800.0,15.0,,,Patricia Ramos Cury
,,290.0,20.0,,,Patricia Ramos Cury
,,800.0,15.0,,,Flavia Calo de Aquino Xavier
,,290.0,20.0,,,Flavia Calo de Aquino Xavier
,,800.0,15.0,,,Johelle de Santana Passos Soares
,,290.0,20.0,,,Johelle de Santana Passos Soares
,,800.0,15.0,,,Andreia Cristina Leal Figueiredo
,,290.0,20.0,,,Andreia Cristina Leal Figueiredo
,,800.0,15.0,,,Ieda Margarida Crusoe Rocha Rebello
,,290.0,20.0,,,Ieda Margarida Crusoe Rocha Rebello
,,800.0,15.0,,,Frederico Sampaio Neves
,,290.0,20.0,,,Frederico Sampaio Neves
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
FOFB36 - TÉCNICAS LABORATORIAIS,10000.0,800.0,30.0,CMB,00:00 às 23:00,Jean Nunes dos Santos
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
FOFB38 - TÓPICOS EM ESTOMATOPATOLOGIA,10000.0,290.0,20.0,CMB,00:00 às 23:00,Flavia Calo de Aquino Xavier
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
FOFB53 - LABORATÓRIOS DE ANATOMIA PATOLÓGICA,10000.0,800.0,16.0,CMB,00:00 às 23:00,Aguida Cristina Gomes Henriques Leitao
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
FOFB57 - ESTÁGIO DOCÊNCIA,10000.0,800.0,10.0,CMB,00:00 às 23:00,Luciana Maria Pedreira Ramalho
,,,,,,Viviane Almeida Sarmento
,,,,,,Maria Cristina Teixeira Cangussu
,,,,,,Jean Nunes dos Santos
,,,,,,Aguida Cristina Gomes Henriques Leitao
,,,,,,Patricia Ramos Cury
,,,,,,Andreia Cristina Leal Figueiredo
,,,,,,Ieda Margarida Crusoe Rocha Rebello
,,,,,,Clarissa Araujo Gurgel Rocha
,,,,,,Paulo Sergio Flores Campos
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
FOFB59 - Seminários em Crurgia Buco-Maxilo-Facial,10000.0,800.0,30.0,CMB,00:00 às 23:00,Roberto Almeida de Azevedo
