Disciplina,Turma,Coleg.,Vagas Ofe,Dia,Horário,Docente
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
FOF527 - BIOESTATISTICA,10000.0,800.0,30.0,CMB,00:00 às 23:00,Andreia Cristina Leal Figueiredo
,,290.0,25.0,,,Andreia Cristina Leal Figueiredo
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
FOF528 - BIOETICA,10100.0,800.0,10.0,CMB,00:00 às 23:00,Maria Cristina Teixeira Cangussu
,,290.0,25.0,,,Maria Cristina Teixeira Cangussu
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
FOF790 - PESQUISA ORIENTADA,10000.0,800.0,50.0,CMB,00:00 às 23:00,Maria Isabel Pereira Vianna
,,290.0,25.0,,,Maria Isabel Pereira Vianna
,,,,,,Luciana Maria Pedreira Ramalho
,,800.0,50.0,,,Luciana Maria Pedreira Ramalho
,,,,,,Viviane Almeida Sarmento
,,290.0,25.0,,,Viviane Almeida Sarmento
,,800.0,50.0,,,Maria Cristina Teixeira Cangussu
,,290.0,25.0,,,Maria Cristina Teixeira Cangussu
,,800.0,50.0,,,Jean Nunes dos Santos
,,290.0,25.0,,,Jean Nunes dos Santos
,,,,,,Aguida Cristina Gomes Henriques Leitao
,,800.0,50.0,,,Aguida Cristina Gomes Henriques Leitao
,,290.0,25.0,,,Fabiola Bastos de Carvalho
,,800.0,50.0,,,Fabiola Bastos de Carvalho
,,,,,,Patricia Ramos Cury
,,290.0,25.0,,,Patricia Ramos Cury
,,800.0,50.0,,,Flavia Calo de Aquino Xavier
,,290.0,25.0,,,Flavia Calo de Aquino Xavier
,,800.0,50.0,,,Johelle de Santana Passos Soares
,,290.0,25.0,,,Johelle de Santana Passos Soares
,,800.0,50.0,,,Andreia Cristina Leal Figueiredo
,,290.0,25.0,,,Andreia Cristina Leal Figueiredo
,,800.0,50.0,,,Marcos Alan Vieira Bittencourt
,,290.0,25.0,,,Marcos Alan Vieira Bittencourt
,,800.0,50.0,,,Ieda Margarida Crusoe Rocha Rebello
,,290.0,25.0,,,Ieda Margarida Crusoe Rocha Rebello
,,,,,,Frederico Sampaio Neves
,,800.0,50.0,,,Frederico Sampaio Neves
,,,,,,Clarissa Araujo Gurgel Rocha
,,290.0,25.0,,,Clarissa Araujo Gurgel Rocha
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
FOFA54 - PLANEJAMENTO EXPERIMENTAL E METODOLOGIA,10100.0,800.0,30.0,CMB,00:00 às 23:00,Patricia Ramos Cury
,,290.0,25.0,,,Patricia Ramos Cury
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
FOFA70 - DEFESA DE TESE,10000.0,800.0,5.0,CMB,00:00 às 23:00,Jean Nunes dos Santos
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
FOFB35 - PRINCÍPIOS DE BIOFOTÔNICA,10000.0,800.0,30.0,CMB,00:00 às 23:00,Fabiola Bastos de Carvalho
,,290.0,25.0,,,Fabiola Bastos de Carvalho
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
