Disciplina,Turma,Coleg.,Vagas Ofe,Dia,Horário,Docente
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
GEO004 - GEOLOGIA GERAL I,10100.0,107.0,15.0,SEG,08:50 às 11:35,Daniel Mendonca Rodrigues
,,,,QUA,08:50 às 11:35,Ronaldo Montenegro Barbosa
,10300.0,107.0,15.0,SEG,08:50 às 11:35,Daniel Mendonca Rodrigues
,,,,SEX,08:50 às 11:35,Daniel Mendonca Rodrigues
,10400.0,107.0,15.0,SEG,08:50 às 11:35,Daniel Mendonca Rodrigues
,,,,TER,13:00 às 15:45,Daniel Mendonca Rodrigues
,20200.0,107.0,2.0,TER,13:00 às 15:45,Ronaldo Montenegro Barbosa
,,103.0,17.0,,,Ronaldo Montenegro Barbosa
,,107.0,2.0,QUI,13:00 às 15:45,Ronaldo Montenegro Barbosa
,,103.0,17.0,,,Ronaldo Montenegro Barbosa
,20500.0,103.0,16.0,TER,13:00 às 15:45,Ronaldo Montenegro Barbosa
,,,,SEX,13:00 às 15:45,Daniel Mendonca Rodrigues
,20600.0,103.0,17.0,TER,13:00 às 15:45,Ronaldo Montenegro Barbosa
,,,,QUA,13:00 às 15:45,Daniel Mendonca Rodrigues
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
GEO005 - GEOLOGIA GERAL II,10100.0,103.0,10.0,QUA,13:00 às 15:45,Henrique Cesar Pereira Assumpcao
,,190.0,5.0,,,Henrique Cesar Pereira Assumpcao
,,189.0,5.0,,,Henrique Cesar Pereira Assumpcao
,,103.0,10.0,SEX,13:00 às 15:45,Henrique Cesar Pereira Assumpcao
,,190.0,5.0,,,Henrique Cesar Pereira Assumpcao
,,189.0,5.0,,,Henrique Cesar Pereira Assumpcao
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
GEO012 - MINERAIS E ROCHAS INDUSTRIAIS,10100.0,110.0,20.0,QUA,14:50 às 16:40,Reinaldo Santana Correia de Brito
,,,,QUI,14:50 às 16:40,Reinaldo Santana Correia de Brito
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
GEO024 - PALEONTOLOGIA,10100.0,202.0,15.0,QUA,07:00 às 08:50,Simone Souza de Moraes
,,189.0,5.0,,,Simone Souza de Moraes
,,,,,08:50 às 10:40,Simone Souza de Moraes
,,202.0,15.0,,,Simone Souza de Moraes
,10200.0,189.0,5.0,QUA,07:00 às 08:50,Simone Souza de Moraes
,,202.0,15.0,,,Simone Souza de Moraes
,,,,,10:40 às 12:30,Simone Souza de Moraes
,,189.0,5.0,,,Simone Souza de Moraes
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
GEO035 - TEORIA DA GEOGRAFIA,10000.0,109.0,30.0,TER,07:55 às 09:45,Antonio Angelo Martins da Fonseca
,,,,QUI,07:55 às 09:45,Antonio Angelo Martins da Fonseca
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
GEO037 - GEOGRAFIA DA CIDADE DO SALVADOR,10000.0,109.0,20.0,QUA,13:55 às 15:45,Climaco Cesar Siqueira Dias
,,189.0,1.0,,,Climaco Cesar Siqueira Dias
