Disciplina,Turma,Coleg.,Vagas Ofe,Dia,Horário,Docente
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
HACA01 - ESTUDOS SOBRE A CONTEMPORANEIDADE I,10000.0,190.0,5.0,SEG,13:00 às 17:00,Gilmaro Nogueira
,,515.0,5.0,,,Gilmaro Nogueira
,,327.0,25.0,,,Gilmaro Nogueira
,,226.0,25.0,,,Gilmaro Nogueira
,20000.0,515.0,50.0,QUA,13:00 às 17:00,Haenz Gutierrez Quintana
,,506.0,2.0,,,Haenz Gutierrez Quintana
,,226.0,5.0,,,Haenz Gutierrez Quintana
,,327.0,5.0,,,Haenz Gutierrez Quintana
,30000.0,515.0,50.0,QUA,13:00 às 17:00,Andre Luis Mattedi Dias
,,226.0,5.0,,,Andre Luis Mattedi Dias
,,327.0,5.0,,,Andre Luis Mattedi Dias
,40000.0,190.0,5.0,SEG,13:00 às 17:00,Anamelia Lins e Silva Franco
,,226.0,25.0,,,Anamelia Lins e Silva Franco
,,327.0,25.0,,,Anamelia Lins e Silva Franco
,,515.0,5.0,,,Anamelia Lins e Silva Franco
,50000.0,226.0,12.0,SEX,13:00 às 17:00,Leonardo Vincenzo Boccia
,,327.0,13.0,,,Leonardo Vincenzo Boccia
,,515.0,5.0,,,Leonardo Vincenzo Boccia
,,190.0,25.0,,,Leonardo Vincenzo Boccia
,,380.0,5.0,,,Leonardo Vincenzo Boccia
,60000.0,226.0,13.0,SEX,13:00 às 17:00,Ana Lucia Lage Pereira
,,190.0,25.0,,,Ana Lucia Lage Pereira
,,327.0,19.0,,,Ana Lucia Lage Pereira
,,515.0,3.0,,,Ana Lucia Lage Pereira
,70000.0,190.0,25.0,SEX,13:00 às 17:00,Brian Teles Fonseca de Macedo
,,515.0,4.0,,,Brian Teles Fonseca de Macedo
,,327.0,18.0,,,Brian Teles Fonseca de Macedo
,,226.0,13.0,,,Brian Teles Fonseca de Macedo
,80000.0,327.0,12.0,SEX,13:00 às 17:00,Gilmaro Nogueira
,,226.0,18.0,,,Gilmaro Nogueira
,,190.0,25.0,,,Gilmaro Nogueira
,,515.0,5.0,,,Gilmaro Nogueira
,90000.0,580.0,9.0,SEG,18:30 às 22:30,Rita de Cassia Aragao Matos
,,112.0,5.0,,,Rita de Cassia Aragao Matos
,,286.0,11.0,,,Rita de Cassia Aragao Matos
,,387.0,20.0,,,Rita de Cassia Aragao Matos
,,189.0,15.0,,,Rita de Cassia Aragao Matos
,100000.0,189.0,15.0,SEG,18:30 às 22:30,Docente Concursado
,,286.0,13.0,,,Docente Concursado
,,580.0,7.0,,,Docente Concursado
,,387.0,25.0,,,Docente Concursado
,110000.0,580.0,12.0,SEG,18:30 às 22:30,Sonia Maria Rocha Sampaio
,,387.0,20.0,,,Sonia Maria Rocha Sampaio
,,189.0,15.0,,,Sonia Maria Rocha Sampaio
,,286.0,13.0,,,Sonia Maria Rocha Sampaio
,120000.0,580.0,8.0,SEG,18:30 às 22:30,Ana Lucia Lage Pereira
,,387.0,30.0,,,Ana Lucia Lage Pereira
,,189.0,15.0,,,Ana Lucia Lage Pereira
,,286.0,7.0,,,Ana Lucia Lage Pereira
