Disciplina,Turma,Coleg.,Vagas Ofe,Dia,Horário,Docente
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
ICS001 - BIOFÍSICA I,10100.0,202.0,15.0,TER,14:50 às 16:40,Victor Diogenes Amaral da Silva
,,206.0,5.0,,,Victor Diogenes Amaral da Silva
,,286.0,2.0,,,Victor Diogenes Amaral da Silva
,,206.0,5.0,QUI,13:00 às 14:50,Adriana Martins da Rocha Maues Alves
,,286.0,2.0,,,Adriana Martins da Rocha Maues Alves
,,202.0,15.0,,,Adriana Martins da Rocha Maues Alves
,10200.0,202.0,15.0,TER,14:50 às 16:40,Victor Diogenes Amaral da Silva
,,209.0,5.0,,,Victor Diogenes Amaral da Silva
,,286.0,2.0,,,Victor Diogenes Amaral da Silva
,,209.0,5.0,QUI,14:50 às 16:40,Adriana Martins da Rocha Maues Alves
,,202.0,15.0,,,Adriana Martins da Rocha Maues Alves
,,286.0,2.0,,,Adriana Martins da Rocha Maues Alves
,10300.0,202.0,15.0,TER,14:50 às 16:40,Victor Diogenes Amaral da Silva
,,206.0,5.0,,,Victor Diogenes Amaral da Silva
,,286.0,2.0,,,Victor Diogenes Amaral da Silva
,,,,QUI,16:40 às 18:30,Adriana Martins da Rocha Maues Alves
,,206.0,5.0,,,Adriana Martins da Rocha Maues Alves
,,202.0,15.0,,,Adriana Martins da Rocha Maues Alves
,20400.0,280.0,20.0,SEX,18:30 às 20:20,Victor Diogenes Amaral da Silva
,,286.0,2.0,,,Victor Diogenes Amaral da Silva
,,280.0,20.0,,20:20 às 22:10,Victor Diogenes Amaral da Silva
,,286.0,2.0,,,Victor Diogenes Amaral da Silva
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
ICS002 - BIOFISICA II,10100.0,226.0,2.0,SEG,08:50 às 10:40,Vilma Gomes Barreto de Melo
,,206.0,18.0,,,Vilma Gomes Barreto de Melo
,,226.0,2.0,TER,13:00 às 14:50,Vilma Gomes Barreto de Melo
,,206.0,18.0,,,Vilma Gomes Barreto de Melo
,10200.0,206.0,18.0,SEG,08:50 às 10:40,Vilma Gomes Barreto de Melo
,,226.0,1.0,,,Vilma Gomes Barreto de Melo
,,206.0,18.0,QUA,13:00 às 14:50,Vilma Gomes Barreto de Melo
,,226.0,1.0,,,Vilma Gomes Barreto de Melo
,10300.0,206.0,17.0,SEG,08:50 às 10:40,Vilma Gomes Barreto de Melo
,,226.0,2.0,,,Vilma Gomes Barreto de Melo
,,,,QUI,13:00 às 14:50,Vilma Gomes Barreto de Melo
,,206.0,17.0,,,Vilma Gomes Barreto de Melo
,10400.0,226.0,2.0,SEG,08:50 às 10:40,Vilma Gomes Barreto de Melo
,,206.0,17.0,,,Vilma Gomes Barreto de Melo
,,,,QUI,14:50 às 16:40,Vilma Gomes Barreto de Melo
,,226.0,2.0,,,Vilma Gomes Barreto de Melo
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
ICS004 - BIOQUÍMICA BÁSICA,10100.0,209.0,12.0,SEX,13:00 às 15:45,Rosangela Gomes de Lima
,,226.0,2.0,,,Rosangela Gomes de Lima
