Disciplina,Turma,Coleg.,Vagas Ofe,Dia,Horário,Docente
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
IMSA52 - SEMINÁRIOS DE PESQUISA I,10000.0,244.0,15.0,TER,08:50 às 09:45,Gilvaneia Silva Santos
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
IMSA59 - FUNDAMENTOS EM FISIOLOGIA,10000.0,244.0,15.0,SEG,07:00 às 08:50,Telma de Jesus Soares
,,,,TER,07:00 às 08:50,Telma de Jesus Soares
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
IMSA61 - ESTÁGIO DOCENTE DOUTORADO,1000.0,256.0,1.0,SEG,10:40 às 12:30,Regiane Yatsuda
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
IMSA65 - TREINAMENTO EM ORIENTAÇÃO CIENTÍFICA,1000.0,256.0,1.0,QUA,07:00 às 08:50,Lucas Miranda Marques
,2000.0,256.0,1.0,QUA,08:50 às 10:40,Regiane Yatsuda
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
IMSA68 - PESQUISA ORIENTADA,10000.0,244.0,3.0,CMB,00:00 às 23:00,Telma de Jesus Soares
,20000.0,244.0,6.0,CMB,00:00 às 23:00,Regiane Yatsuda
,30000.0,244.0,1.0,CMB,00:00 às 23:00,Gilvaneia Silva Santos
,40000.0,244.0,1.0,CMB,00:00 às 23:00,Docente Convenio
,50000.0,244.0,3.0,CMB,00:00 às 23:00,Robson Amaro Augusto da Silva
,60000.0,244.0,2.0,CMB,00:00 às 23:00,Amelia Cristina Mendes de Magalhaes Gusm
,70000.0,244.0,2.0,CMB,00:00 às 23:00,Lucas Miranda Marques
,80000.0,256.0,2.0,CMB,00:00 às 23:00,Telma de Jesus Soares
,90000.0,256.0,2.0,CMB,00:00 às 23:00,Amelia Cristina Mendes de Magalhaes Gusm
,110000.0,256.0,3.0,CMB,00:00 às 23:00,Regiane Yatsuda
,120000.0,256.0,1.0,CMB,00:00 às 23:00,Lucas Miranda Marques
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
IMSA69 - PROJETO DE DISSERTAÇÃO,10000.0,244.0,1.0,CMB,00:00 às 23:00,Regiane Yatsuda
,20000.0,244.0,1.0,CMB,00:00 às 23:00,Robson Amaro Augusto da Silva
,30000.0,244.0,1.0,CMB,00:00 às 23:00,Telma de Jesus Soares
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
IMSB43 - SEMINÁRIOS DE PESQUISA,10000.0,224.0,12.0,QUI,07:00 às 08:50,Tiana Baqueiro Figueiredo
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
IMSB44 - PESQUISA ORIENTADA,10000.0,224.0,2.0,CMB,00:00 às 23:00,Lucas Miranda Marques
,20000.0,224.0,4.0,CMB,00:00 às 23:00,Anderson Santos Souza
,30000.0,224.0,3.0,CMB,00:00 às 23:00,Tiana Baqueiro Figueiredo
,40000.0,224.0,7.0,CMB,00:00 às 23:00,Regiane Yatsuda
,50000.0,224.0,4.0,CMB,00:00 às 23:00,Mateus Freire Leite
