Disciplina,Turma,Coleg.,Vagas Ofe,Dia,Horário,Docente
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
IMS001 - ANATOMIA HUMANA,10100.0,221.0,20.0,TER,13:00 às 14:50,Maise Mendonca Amorim
,,220.0,2.0,,,Maise Mendonca Amorim
,,221.0,20.0,QUI,16:40 às 18:30,Maise Mendonca Amorim
,,220.0,2.0,,,Maise Mendonca Amorim
,10200.0,218.0,2.0,TER,14:50 às 16:40,Maise Mendonca Amorim
,,221.0,20.0,,,Maise Mendonca Amorim
,,220.0,2.0,,,Maise Mendonca Amorim
,,,,QUI,16:40 às 18:30,Maise Mendonca Amorim
,,218.0,2.0,,,Maise Mendonca Amorim
,,221.0,20.0,,,Maise Mendonca Amorim
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
IMS002 - PATOLOGIA,10100.0,217.0,20.0,SEG,07:00 às 08:50,Gilvaneia Silva Santos
,,,,QUI,08:50 às 10:40,Gilvaneia Silva Santos
,10200.0,217.0,20.0,SEG,07:00 às 08:50,Gilvaneia Silva Santos
,,,,QUI,10:40 às 12:30,Gilvaneia Silva Santos
,20300.0,220.0,2.0,SEG,08:50 às 10:40,Gilvaneia Silva Santos
,,221.0,2.0,,,Gilvaneia Silva Santos
,,218.0,20.0,,,Gilvaneia Silva Santos
,,221.0,2.0,TER,10:40 às 12:30,Gilvaneia Silva Santos
,,218.0,20.0,,,Gilvaneia Silva Santos
,,220.0,2.0,,,Gilvaneia Silva Santos
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
IMS003 - FISIOLOGIA HUMANA,10000.0,226.0,4.0,SEG,14:50 às 16:40,Telma de Jesus Soares
,,218.0,45.0,,,Telma de Jesus Soares
,,847.0,1.0,,,Telma de Jesus Soares
,,218.0,45.0,TER,14:50 às 16:40,Telma de Jesus Soares
,,847.0,1.0,,,Telma de Jesus Soares
,,226.0,4.0,,,Telma de Jesus Soares
,20000.0,847.0,2.0,SEG,16:40 às 18:30,Telma de Jesus Soares
,,220.0,37.0,,,Telma de Jesus Soares
,,216.0,6.0,,,Telma de Jesus Soares
,,286.0,4.0,,,Telma de Jesus Soares
,,216.0,6.0,QUA,16:40 às 18:30,Telma de Jesus Soares
,,847.0,2.0,,,Telma de Jesus Soares
,,286.0,4.0,,,Telma de Jesus Soares
,,220.0,37.0,,,Telma de Jesus Soares
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
IMS005 - EPIDEMIOLOGIA,10100.0,218.0,18.0,QUA,10:40 às 12:30,Danielle Souto de Medeiros
,,216.0,6.0,,,Danielle Souto de Medeiros
,,,,QUI,10:40 às 12:30,Danielle Souto de Medeiros
,,218.0,18.0,,,Danielle Souto de Medeiros
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
IMS006 - BIOESTATÍSTICA,10000.0,218.0,2.0,SEG,13:00 às 14:50,Antonio Carlos Ricardo Braga Junior
,,217.0,45.0,,,Antonio Carlos Ricardo Braga Junior
,,218.0,2.0,QUI,13:00 às 14:50,Antonio Carlos Ricardo Braga Junior
,,217.0,45.0,,,Antonio Carlos Ricardo Braga Junior
