Disciplina,Turma,Coleg.,Vagas Ofe,Dia,HorÃ¡rio,Docente
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
IPSA01 - PSICOLOGIA I,10000.0,301.0,50.0,SEG,08:50 Ã s 10:40,Fabio Jose Rios da Costa
,,,,QUA,08:50 Ã s 10:40,Fabio Jose Rios da Costa
,20000.0,301.0,50.0,TER,08:50 Ã s 10:40,Fabio Jose Rios da Costa
,,,,QUI,08:50 Ã s 10:40,Fabio Jose Rios da Costa
,30000.0,308.0,50.0,SEG,07:00 Ã s 08:50,Docente Substituto a Contratar
,,,,QUA,07:00 Ã s 08:50,Docente Substituto a Contratar
,40000.0,308.0,50.0,SEG,10:40 Ã s 12:30,Fabio Jose Rios da Costa
,,,,QUA,10:40 Ã s 12:30,Fabio Jose Rios da Costa
,50000.0,304.0,10.0,TER,16:40 Ã s 18:30,Docente Substituto Mantido
,,210.0,31.0,,,Docente Substituto Mantido
,,209.0,3.0,,,Docente Substituto Mantido
,,387.0,5.0,,,Docente Substituto Mantido
,,226.0,2.0,,,Docente Substituto Mantido
,,209.0,3.0,QUI,16:40 Ã s 18:30,Docente Substituto Mantido
,,210.0,31.0,,,Docente Substituto Mantido
,,304.0,10.0,,,Docente Substituto Mantido
,,387.0,5.0,,,Docente Substituto Mantido
,,226.0,2.0,,,Docente Substituto Mantido
,60000.0,387.0,15.0,TER,18:30 Ã s 20:20,Docente Substituto a Contratar
,,208.0,15.0,,,Docente Substituto a Contratar
,,380.0,20.0,,,Docente Substituto a Contratar
,,387.0,15.0,QUI,18:30 Ã s 20:20,Docente Substituto a Contratar
,,208.0,15.0,,,Docente Substituto a Contratar
,,380.0,20.0,,,Docente Substituto a Contratar
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
IPSA08 - TEORIAS E SISTEMAS PSICOLOGICOS I,10000.0,313.0,45.0,SEG,10:40 Ã s 12:30,Maria Angelia Teixeira
,,387.0,2.0,,,Maria Angelia Teixeira
,,327.0,3.0,,,Maria Angelia Teixeira
,,387.0,2.0,SEX,08:50 Ã s 10:40,Maria Angelia Teixeira
,,313.0,45.0,,,Maria Angelia Teixeira
,,327.0,3.0,,,Maria Angelia Teixeira
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
IPSA09 - TEORIAS E SISTEMAS PSICOLOGICOS II,10000.0,226.0,2.0,SEG,08:50 Ã s 10:40,Maria Alice Queiroz de Brito
,,313.0,41.0,,,Maria Alice Queiroz de Brito
,,387.0,3.0,,,Maria Alice Queiroz de Brito
,,327.0,5.0,,,Maria Alice Queiroz de Brito
,,,,QUA,08:50 Ã s 10:40,Maria Alice Queiroz de Brito
,,313.0,41.0,,,Maria Alice Queiroz de Brito
,,387.0,3.0,,,Maria Alice Queiroz de Brito
,,226.0,2.0,,,Maria Alice Queiroz de Brito
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
IPSA10 - TEORIAS E SISTEMAS PSICOLOGICOS III,10000.0,327.0,3.0,QUA,10:40 Ã s 12:30,Fabricio de Souza
,,313.0,45.0,,,Fabricio de Souza
,,387.0,2.0,,,Fabricio de Souza
