Disciplina,Turma,Coleg.,Vagas Ofe,Dia,Horário,Docente
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
IPSA01 - PSICOLOGIA I,10000.0,327.0,10.0,SEG,08:50 às 10:40,Docente Substituto a Contratar
,,301.0,30.0,,,Docente Substituto a Contratar
,,387.0,5.0,,,Docente Substituto a Contratar
,,,,QUA,08:50 às 10:40,Docente Substituto a Contratar
,,301.0,30.0,,,Docente Substituto a Contratar
,,327.0,10.0,,,Docente Substituto a Contratar
,20000.0,301.0,50.0,TER,08:50 às 10:40,Daniela Batista Santos
,,387.0,8.0,,,Daniela Batista Santos
,,327.0,3.0,,,Daniela Batista Santos
,,387.0,8.0,QUI,08:50 às 10:40,Daniela Batista Santos
,,301.0,50.0,,,Daniela Batista Santos
,,327.0,3.0,,,Daniela Batista Santos
,30000.0,226.0,2.0,SEG,10:40 às 12:30,Docente Substituto a Contratar
,,387.0,1.0,,,Docente Substituto a Contratar
,,308.0,60.0,,,Docente Substituto a Contratar
,,327.0,1.0,,,Docente Substituto a Contratar
,,308.0,60.0,QUA,10:40 às 12:30,Docente Substituto a Contratar
,,226.0,2.0,,,Docente Substituto a Contratar
,,327.0,1.0,,,Docente Substituto a Contratar
,,387.0,1.0,,,Docente Substituto a Contratar
,40000.0,308.0,60.0,TER,07:00 às 08:50,Yasmin Cunha de Oliveira
,,,,QUI,07:00 às 08:50,Yasmin Cunha de Oliveira
,50000.0,210.0,55.0,TER,16:40 às 18:30,Yasmin Cunha de Oliveira
,,,,QUI,16:40 às 18:30,Yasmin Cunha de Oliveira
,60000.0,387.0,10.0,TER,18:30 às 20:20,Daniela Batista Santos
,,380.0,10.0,,,Daniela Batista Santos
,,286.0,5.0,,,Daniela Batista Santos
,,327.0,6.0,,,Daniela Batista Santos
,,208.0,10.0,,,Daniela Batista Santos
,,,,QUI,18:30 às 20:20,Daniela Batista Santos
,,286.0,5.0,,,Daniela Batista Santos
,,380.0,10.0,,,Daniela Batista Santos
,,387.0,10.0,,,Daniela Batista Santos
,,327.0,6.0,,,Daniela Batista Santos
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
IPSA08 - TEORIAS E SISTEMAS PSICOLOGICOS I,10000.0,327.0,2.0,SEG,10:40 às 12:30,Denise Maria Barreto Coutinho
,,515.0,1.0,,,Denise Maria Barreto Coutinho
,,313.0,50.0,,,Denise Maria Barreto Coutinho
,,387.0,2.0,,,Denise Maria Barreto Coutinho
,,,,SEX,08:50 às 10:40,Denise Maria Barreto Coutinho
,,515.0,1.0,,,Denise Maria Barreto Coutinho
,,313.0,50.0,,,Denise Maria Barreto Coutinho
,,327.0,2.0,,,Denise Maria Barreto Coutinho
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
IPSA09 - TEORIAS E SISTEMAS PSICOLOGICOS II,10000.0,515.0,1.0,SEG,08:50 às 10:40,Maria Alice Queiroz de Brito
,,313.0,50.0,,,Maria Alice Queiroz de Brito
,,286.0,2.0,,,Maria Alice Queiroz de Brito
,,387.0,5.0,,,Maria Alice Queiroz de Brito
,,226.0,3.0,,,Maria Alice Queiroz de Brito
