Disciplina,Turma,Coleg.,Vagas Ofe,Dia,HorÃ¡rio,Docente
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
ISC501 - ESTATISTICA DE SAUDE,10100.0,251.0,30.0,SEG,08:50 Ã s 10:40,Guilherme de Sousa Ribeiro
,,233.0,20.0,,,Guilherme de Sousa Ribeiro
,,,,,10:40 Ã s 11:35,Guilherme de Sousa Ribeiro
,,251.0,30.0,,,Guilherme de Sousa Ribeiro
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
ISC504 - METODOS E TECNICAS DE ANALISE EPIDEMIOLOGICA II,10100.0,251.0,20.0,TER,08:50 Ã s 10:40,Susan Martins Pereira
,,233.0,15.0,,,Susan Martins Pereira
,,,,,10:40 Ã s 11:35,Susan Martins Pereira
,,251.0,20.0,,,Susan Martins Pereira
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
ISC510 - EPIDEMIOLOGIA EM SAUDE COLETIVA,10100.0,251.0,25.0,SEG,13:55 Ã s 15:45,Florisneide Rodrigues Barreto
,,233.0,20.0,,,Florisneide Rodrigues Barreto
,,251.0,25.0,,15:45 Ã s 16:40,Florisneide Rodrigues Barreto
,,233.0,20.0,,,Florisneide Rodrigues Barreto
,20200.0,249.0,20.0,CMB,00:00 Ã s 23:00,Guilherme de Sousa Ribeiro
,30300.0,249.0,20.0,CMB,00:00 Ã s 23:00,Eduardo Luiz Andrade Mota
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
ISC535 - AVALIACAO DE SISTEMAS E SERVICOS DE SAUDE,10100.0,249.0,17.0,CMB,00:00 Ã s 23:00,Alcione Brasileiro Oliveira Cunha
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
ISC540 - EPISTEMOLOGIA E METODOLOGIA EM SAUDE,10000.0,233.0,10.0,QUA,08:50 Ã s 10:40,Estela Maria Motta Lima Leao de Aquino
,,251.0,10.0,,,Estela Maria Motta Lima Leao de Aquino
,,,,CMB,00:00 Ã s 00:00,Estela Maria Motta Lima Leao de Aquino
,,233.0,10.0,,,Estela Maria Motta Lima Leao de Aquino
,20000.0,251.0,10.0,QUA,08:50 Ã s 10:40,Monica de Oliveira Nunes De Torrente
,,233.0,10.0,,,Monica de Oliveira Nunes De Torrente
,,,,CMB,00:00 Ã s 00:00,Monica de Oliveira Nunes De Torrente
,,251.0,10.0,,,Monica de Oliveira Nunes De Torrente
,30000.0,233.0,10.0,QUA,08:50 Ã s 10:40,Docente nÃ£o informado pelo Departamento
,,251.0,10.0,,,Docente nÃ£o informado pelo Departamento
,,,,CMB,00:00 Ã s 00:00,Docente nÃ£o informado pelo Departamento
,,233.0,10.0,,,Docente nÃ£o informado pelo Departamento
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"ISC541 - SAUDE, CULTURA E SOCIEDADE",10000.0,251.0,10.0,QUI,08:50 Ã s 10:40,Clarice Santos Mota
,,233.0,10.0,,,Clarice Santos Mota
,20000.0,233.0,10.0,QUI,08:50 Ã s 10:40,Litza Andrade Cunha
,,251.0,10.0,,,Litza Andrade Cunha
,,,,,,
,,,,,,
,,,,,,
