Disciplina,Turma,Coleg.,Vagas Ofe,Dia,Horário,Docente
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
ISC001 - INTRODUÇÃO À SAÚDE COLETIVA,10100.0,283.0,25.0,TER,18:30 às 20:20,Helena Cristina Alves Vieira Lima
,,,,,20:20 às 22:10,Helena Cristina Alves Vieira Lima
,20200.0,283.0,26.0,TER,18:30 às 20:20,Maísa Mônica Flores Martins
,,,,,20:20 às 22:10,Maísa Mônica Flores Martins
,30300.0,210.0,20.0,QUA,16:40 às 18:30,Helena Cristina Alves Vieira Lima
,,,,SEX,16:40 às 18:30,Helena Cristina Alves Vieira Lima
,40400.0,210.0,20.0,QUA,16:40 às 18:30,Alcione Brasileiro Oliveira
,,,,SEX,16:40 às 18:30,Alcione Brasileiro Oliveira
,50500.0,222.0,15.0,QUA,13:00 às 14:50,Ana Paula dos Reis
,,883.0,10.0,,,Ana Paula dos Reis
,,286.0,3.0,,,Ana Paula dos Reis
,,,,,14:50 às 16:40,Ana Paula dos Reis
,,883.0,10.0,,,Ana Paula dos Reis
,,222.0,15.0,,,Ana Paula dos Reis
,60600.0,286.0,3.0,QUA,13:00 às 14:50,Leny Alves Bomfim Trad
,,222.0,15.0,,,Leny Alves Bomfim Trad
,,883.0,10.0,,,Leny Alves Bomfim Trad
,,286.0,3.0,,14:50 às 16:40,Leny Alves Bomfim Trad
,,222.0,15.0,,,Leny Alves Bomfim Trad
,,883.0,10.0,,,Leny Alves Bomfim Trad
,70700.0,222.0,15.0,QUA,13:00 às 14:50,Yeimi Alexandra Alzate Lopez
,,883.0,13.0,,,Yeimi Alexandra Alzate Lopez
,,,,,14:50 às 16:40,Yeimi Alexandra Alzate Lopez
,,222.0,15.0,,,Yeimi Alexandra Alzate Lopez
,80800.0,210.0,3.0,QUI,08:50 às 10:40,Jorge Alberto Bernstein Iriart
,,208.0,20.0,,,Jorge Alberto Bernstein Iriart
,,210.0,3.0,,10:40 às 12:30,Jorge Alberto Bernstein Iriart
,,208.0,20.0,,,Jorge Alberto Bernstein Iriart
,90900.0,286.0,3.0,QUI,08:50 às 10:40,Monica de Oliveira Nunes De Torrente
,,208.0,20.0,,,Monica de Oliveira Nunes De Torrente
,,,,,10:40 às 12:30,Monica de Oliveira Nunes De Torrente
,,286.0,3.0,,,Monica de Oliveira Nunes De Torrente
,101000.0,208.0,20.0,QUI,08:50 às 10:40,Litza Andrade Cunha
,,325.0,2.0,,,Litza Andrade Cunha
,,286.0,3.0,,,Litza Andrade Cunha
,,325.0,2.0,,10:40 às 12:30,Litza Andrade Cunha
,,286.0,3.0,,,Litza Andrade Cunha
,,208.0,20.0,,,Litza Andrade Cunha
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
ISC002 - EPIDEMIOLOGIA,10101.0,226.0,2.0,TER,13:00 às 13:55,Sheila Maria Alvim de Matos
,,207.0,20.0,,,Sheila Maria Alvim de Matos
,,226.0,2.0,,13:55 às 15:45,Sheila Maria Alvim de Matos
,,207.0,20.0,,,Sheila Maria Alvim de Matos
,,226.0,2.0,QUI,13:00 às 15:45,Sheila Maria Alvim de Matos
