Disciplina,Turma,Coleg.,Vagas Ofe,Dia,HorÃ¡rio,Docente
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
LET577 - CONTATO DE LINGUAS E MUDANCAS LINGUISTICAS NA ROMANIA,10000.0,431.0,20.0,SEX,14:00 Ã s 18:00,Carlos Felipe da Conceicao Pinto
,,451.0,5.0,,,Carlos Felipe da Conceicao Pinto
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
LET579 - PROBLEMAS DE LEXICOL E SEMANTICA AFETOS AS LINGUAS ROMANICAS,10000.0,451.0,5.0,QUA,14:00 Ã s 18:00,Docente Visitante
,,431.0,20.0,,,Docente Visitante
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
LET584 - A EDICAO CRITICA DE TEXTOS MODERNOS,10000.0,432.0,15.0,TER,09:00 Ã s 11:00,Rosa Borges dos Santos
,,452.0,10.0,,,Rosa Borges dos Santos
,,432.0,15.0,,11:00 Ã s 13:00,Silvia Maria Guerra Anastacio
,,452.0,10.0,,,Silvia Maria Guerra Anastacio
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
LET607 - TOPICOS EM SINTAXE,10000.0,431.0,20.0,SEX,14:00 Ã s 18:00,Maria Cristina Vieira de Figueiredo Silv
,,451.0,5.0,,,Maria Cristina Vieira de Figueiredo Silv
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
LET623 - LITERATURA POPULAR,10000.0,432.0,15.0,SEG,09:00 Ã s 13:00,Alvanita Almeida Santos
,,452.0,10.0,,,Alvanita Almeida Santos
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
LET647 - TEORIA DA LIRICA,10000.0,452.0,10.0,TER,14:00 Ã s 16:00,Antonia Torreao Herrera
,,432.0,15.0,,,Antonia Torreao Herrera
,,452.0,10.0,,16:00 Ã s 18:00,Sandro Santos Ornellas
,,432.0,15.0,,,Sandro Santos Ornellas
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
LET648 - TEORIA DA NARRATIVA,10000.0,432.0,15.0,SEG,14:00 Ã s 18:00,Noelia Borges de Araujo
,,452.0,10.0,,,Noelia Borges de Araujo
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
LET649 - TEORIA DO DRAMA,10000.0,452.0,10.0,SEG,14:00 Ã s 18:00,Marcio Ricardo Coelho Muniz
,,432.0,15.0,,,Marcio Ricardo Coelho Muniz
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
LET661 - TOPICOS EM LINGUISTICA APLICADA I,10000.0,431.0,20.0,QUI,14:00 Ã s 18:00,Denise Maria Oliveira Zoghbi
,,451.0,5.0,,,Denise Maria Oliveira Zoghbi
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
LET667 - A VARIACAO ESPACIAL DO PORTUGUES DO BRASIL,10000.0,451.0,5.0,SEX,09:00 Ã s 13:00,Marcela Moura Torres Paim
,,431.0,20.0,,,Marcela Moura Torres Paim
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
