Disciplina,Turma,Coleg.,Vagas Ofe,Dia,Horário,Docente
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
MAT502 - ALGEBRA LINEAR,10100.0,133.0,15.0,CMB,00:00 às 23:00,Carlos Alberto Siqueira Lima
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
MAT506 - TEORIA DOS GRUPOS E ANEIS,10100.0,133.0,15.0,SEG,10:40 às 12:30,Manuela da Silva Souza
,,,,QUA,10:40 às 12:30,Manuela da Silva Souza
,,,,SEX,10:40 às 12:30,Manuela da Silva Souza
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
MAT507 - TOPOLOGIA GERAL,10100.0,133.0,15.0,CMB,00:00 às 23:00,Samuel Gomes da Silva
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
MAT508 - ANALISE NO RN,10100.0,133.0,15.0,TER,07:55 às 10:40,Jerome Francois Alain Jean Rousseau
,,,,QUI,07:55 às 10:40,Jerome Francois Alain Jean Rousseau
,,,,CMB,00:00 às 00:00,Jerome Francois Alain Jean Rousseau
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
MAT510 - EQUACOES DIFERENCIAIS ORDINARIAS,10100.0,133.0,15.0,SEG,08:50 às 10:40,Henrique Barbosa da Costa
,,,,QUA,08:50 às 10:40,Henrique Barbosa da Costa
,,,,SEX,08:50 às 10:40,Henrique Barbosa da Costa
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
MAT518 - TÓPICOS DE ANÁLISE,10100.0,133.0,15.0,SEG,16:40 às 18:30,Joilson Oliveira Ribeiro
,,,,QUA,16:40 às 18:30,Joilson Oliveira Ribeiro
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
MAT519 - TÓPICOS DE TOPOLOGIA,10100.0,133.0,15.0,SEG,16:40 às 18:30,Samuel Gomes da Silva
,,,,QUA,16:40 às 18:30,Samuel Gomes da Silva
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
MAT532 - INTRODUCAO Á TOPOLOGIA ALGÉBRICA,10100.0,133.0,15.0,SEG,14:50 às 16:40,Vinicius Casteluber Laass
,,,,QUA,14:50 às 16:40,Vinicius Casteluber Laass
,,,,SEX,14:50 às 16:40,Vinicius Casteluber Laass
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
MAT549 - BIOESTATISTICA,10000.0,257.0,22.0,QUA,13:55 às 16:40,Rosemeire Leovigildo Fiaccone
,20000.0,251.0,20.0,QUA,13:55 às 16:40,Leila Denise Alves Ferreira Amorim
,,233.0,20.0,,,Leila Denise Alves Ferreira Amorim
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
MAT562 - PROBABILIDADE,10100.0,133.0,15.0,QUA,07:00 às 08:50,Dirk Erhard
,,,,SEX,07:00 às 08:50,Dirk Erhard
,,,,CMB,00:00 às 00:00,Dirk Erhard
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
MAT569 - FUNDAMENTOS DE TOLERANCIA A FALHAS,10000.0,153.0,30.0,SEG,16:40 às 18:30,Sergio Gorender
