Disciplina,Turma,Coleg.,Vagas Ofe,Dia,Horário,Docente
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
MED500 - SEMINARIOS DE SAUDE PUBLICA,10000.0,232.0,60.0,CMB,00:00 às 23:00,Luiz Antonio Rodrigues de Freitas
,,,,,,Claudia Ida Brodskyn
,,,,,,Ramon dos Santos El Bacha
,,,,,,Mitermayer Galvao dos Reis
,,,,,,Washington Luis Conrado dos Santos
,,,,,,Antonio Ricardo Khouri Cunha
,,,,,,Jaqueline Franca Costa
,,,,,,Deborah Bittencourt Mothe Fraga
,,,,,,Daniel Abensur Athanazio
,,,,,,Clarissa Araujo Gurgel Rocha
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
MED504 - BIOESTATISTICA,10000.0,253.0,50.0,CMB,00:00 às 23:00,Docente não informado pelo Departamento
,,231.0,50.0,,,Docente não informado pelo Departamento
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
MED512 - PATOLOGIA EXPERIMENTAL II,10101.0,250.0,45.0,CMB,00:00 às 23:00,Luiz Antonio Rodrigues de Freitas
,,,,,,Washington Luis Conrado dos Santos
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
MED563 - METODOLOGIA DA PESQUISA E BIOESTATISTICA,10000.0,232.0,60.0,CMB,00:00 às 23:00,Ramon dos Santos El Bacha
,,,,,,Clarissa Araujo Gurgel Rocha
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
MED566 - DIDATICA ESPECIAL,10000.0,232.0,40.0,CMB,00:00 às 23:00,Claudia Ida Brodskyn
,,250.0,20.0,,,Claudia Ida Brodskyn
,,232.0,40.0,,,Jaqueline Franca Costa
,,250.0,20.0,,,Jaqueline Franca Costa
,20000.0,250.0,20.0,CMB,00:00 às 23:00,Claudia Ida Brodskyn
,,,,,,Jaqueline Franca Costa
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
MED574 - PSICOLOGIA MÉDICA,10000.0,253.0,50.0,CMB,00:00 às 23:00,Docente não informado pelo Departamento
,20000.0,231.0,50.0,CMB,00:00 às 23:00,Docente não informado pelo Departamento
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
MED580 - PATOLOGIA ESPECIAL III,10101.0,250.0,32.0,CMB,00:00 às 23:00,Luiz Antonio Rodrigues de Freitas
,,,,,,Mitermayer Galvao dos Reis
,,,,,,Washington Luis Conrado dos Santos
,,,,,,Daniel Abensur Athanazio
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
MED626 - PEDAGOGIA E DIDÁTICA ESPECIAL,10100.0,253.0,50.0,CMB,00:00 às 23:00,Andre Luiz Peixinho
,20200.0,231.0,50.0,CMB,00:00 às 23:00,Andre Luiz Peixinho
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
MED627 - METODOLOGIA DA PESQUISA,10100.0,253.0,100.0,CMB,00:00 às 23:00,Docente não informado pelo Departamento
,,,,,,Argemiro D Oliveira Junior
,,,,,,Andre Rodrigues Duraes
,20200.0,231.0,50.0,CMB,00:00 às 23:00,Docente não informado pelo Departamento
