Disciplina,Turma,Coleg.,Vagas Ofe,Dia,HorÃ¡rio,Docente
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
MEV526 - TOPICOS EM SAUDE ANIMAL,10000.0,247.0,20.0,QUA,13:00 Ã s 15:45,Arianne Pontes Oria
,,265.0,20.0,,,Arianne Pontes Oria
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
MEV527 - SEMINARIO DE PESQUISA I,10000.0,247.0,20.0,SEX,09:45 Ã s 10:40,Carlos Roberto Franke
,,265.0,30.0,,,Carlos Roberto Franke
,,,,,10:40 Ã s 11:35,Carlos Roberto Franke
,,247.0,20.0,,,Carlos Roberto Franke
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
MEV538 - TOPICOS EM TOXICOLOGIA APLICADA A MEDICINA VETERINARIA,10000.0,247.0,20.0,TER,13:00 Ã s 13:55,Maria Jose Moreira Batatinha
,,265.0,20.0,,,Maria Jose Moreira Batatinha
,,247.0,20.0,QUI,13:00 Ã s 13:55,Maria Jose Moreira Batatinha
,,265.0,20.0,,,Maria Jose Moreira Batatinha
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
MEV540 - FISIOLOGIA DA REPRODUCAO DA FEMEA,10000.0,265.0,20.0,SEG,09:45 Ã s 10:40,Alberto Lopes Gusmao
,,247.0,20.0,,,Alberto Lopes Gusmao
,,265.0,20.0,,10:40 Ã s 11:35,Alberto Lopes Gusmao
,,247.0,20.0,,,Alberto Lopes Gusmao
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
MEV700 - TOPICOS EM HEMATOLOGIA VETERINARIA,10100.0,247.0,20.0,SEG,13:55 Ã s 15:45,Maria Consuelo Caribe Ayres
,,265.0,20.0,,,Maria Consuelo Caribe Ayres
,,,,,15:45 Ã s 16:40,Maria Consuelo Caribe Ayres
,,247.0,20.0,,,Maria Consuelo Caribe Ayres
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
MEV790 - PESQUISA ORIENTADA,10000.0,265.0,6.0,CMB,00:00 Ã s 23:00,Alessandra Estrela da Silva Lima
,,247.0,8.0,,,Alessandra Estrela da Silva Lima
,20000.0,265.0,6.0,CMB,00:00 Ã s 23:00,Antonio de Lisboa Ribeiro Filho
,,247.0,2.0,,,Antonio de Lisboa Ribeiro Filho
,30000.0,265.0,6.0,CMB,00:00 Ã s 23:00,Arianne Pontes Oria
,,247.0,8.0,,,Arianne Pontes Oria
,40000.0,265.0,3.0,CMB,00:00 Ã s 23:00,Alessandra Estrela da Silva Lima
,,247.0,4.0,,,Alessandra Estrela da Silva Lima
,50000.0,265.0,10.0,CMB,00:00 Ã s 23:00,Carlos Roberto Franke
,,247.0,6.0,,,Carlos Roberto Franke
,60000.0,265.0,3.0,CMB,00:00 Ã s 23:00,Claudio Vaz Di Mambro Ribeiro
,,247.0,2.0,,,Claudio Vaz Di Mambro Ribeiro
,70000.0,247.0,2.0,CMB,00:00 Ã s 23:00,Alessandra Estrela da Silva Lima
,,265.0,4.0,,,Alessandra Estrela da Silva Lima
