Disciplina,Turma,Coleg.,Vagas Ofe,Dia,Horário,Docente
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
NUT530 - TEMAS CONTEMPORANEOS EM ALIMENTOS,10000.0,229.0,5.0,SEX,08:50 às 10:40,Docente Visitante
,,257.0,4.0,,,Docente Visitante
,,229.0,5.0,,,Itaciara Larroza Nunes
,,257.0,4.0,,,Itaciara Larroza Nunes
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
NUT790 - PESQUISA ORIENTADA,10000.0,257.0,1.0,CMB,00:00 às 23:00,Ana Marlucia de Oliveira
,20000.0,257.0,1.0,CMB,00:00 às 23:00,Deusdelia Teixeira de Almeida
,30000.0,257.0,1.0,CMB,00:00 às 23:00,Deusdelia Teixeira de Almeida
,40000.0,257.0,1.0,CMB,00:00 às 23:00,Jairza Maria Barreto Medeiros
,50000.0,257.0,1.0,CMB,00:00 às 23:00,Ligia Amparo da Silva Santos
,60000.0,257.0,1.0,CMB,00:00 às 23:00,Ligia Amparo da Silva Santos
,70000.0,257.0,1.0,CMB,00:00 às 23:00,Ligia Amparo da Silva Santos
,80000.0,257.0,1.0,CMB,00:00 às 23:00,Lucivalda Pereira Magalhaes de Oliveira
,90000.0,257.0,1.0,CMB,00:00 às 23:00,Monica Leila Portela de Santana
,100000.0,257.0,1.0,CMB,00:00 às 23:00,Raquel Rocha dos Santos
,110000.0,257.0,1.0,CMB,00:00 às 23:00,Docente Visitante
,120000.0,257.0,1.0,CMB,00:00 às 23:00,Rita de Cassia Ribeiro Silva
,130000.0,257.0,1.0,CMB,00:00 às 23:00,Ryzia de Cassia Vieira Cardoso
,140000.0,257.0,1.0,CMB,00:00 às 23:00,Ryzia de Cassia Vieira Cardoso
,150000.0,257.0,1.0,CMB,00:00 às 23:00,Ryzia de Cassia Vieira Cardoso
,160000.0,257.0,1.0,CMB,00:00 às 23:00,Sandra Maria Chaves dos Santos
,170000.0,257.0,1.0,CMB,00:00 às 23:00,Sandra Santos Valois
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
NUT792 - TRABALHO DE CONCLUSAO,10000.0,257.0,1.0,CMB,00:00 às 23:00,Ana Marlucia de Oliveira
,20000.0,257.0,1.0,CMB,00:00 às 23:00,Ana Marlucia de Oliveira
,30000.0,257.0,1.0,CMB,00:00 às 23:00,Carla Hilario da Cunha Daltro
,40000.0,257.0,1.0,CMB,00:00 às 23:00,Deusdelia Teixeira de Almeida
,50000.0,257.0,1.0,CMB,00:00 às 23:00,Itaciara Larroza Nunes
,60000.0,257.0,1.0,CMB,00:00 às 23:00,Ligia Amparo da Silva Santos
,70000.0,257.0,1.0,CMB,00:00 às 23:00,Ligia Amparo da Silva Santos
,80000.0,257.0,1.0,CMB,00:00 às 23:00,Lilian Barbosa Ramos
,90000.0,257.0,1.0,CMB,00:00 às 23:00,Lilian Barbosa Ramos
,100000.0,257.0,1.0,CMB,00:00 às 23:00,Lilian Barbosa Ramos
,110000.0,257.0,1.0,CMB,00:00 às 23:00,Monica Leila Portela de Santana
,120000.0,257.0,1.0,CMB,00:00 às 23:00,Monica Leila Portela de Santana
