Disciplina,Turma,Coleg.,Vagas Ofe,Dia,Horário,Docente
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
NUT123 - TECNOLOGIA DOS ALIMENTOS II,10100.0,207.0,10.0,SEX,07:00 às 08:50,Deborah Murowaniecki Otero
,,,,,08:50 às 10:40,Deborah Murowaniecki Otero
,10200.0,207.0,10.0,SEX,07:00 às 08:50,Deborah Murowaniecki Otero
,,,,,10:40 às 12:30,Deborah Murowaniecki Otero
,10300.0,207.0,10.0,SEX,07:00 às 08:50,Deborah Murowaniecki Otero
,,,,,13:00 às 14:50,Renata Quartieri Nascimento
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
NUT124 - HIGIENE E INSP DOS ALIMENTOS I,10100.0,207.0,8.0,TER,08:50 às 10:40,Rogeria Comastri de Castro Almeida
,,,,SEX,10:40 às 12:30,Rogeria Comastri de Castro Almeida
,10200.0,207.0,8.0,TER,10:40 às 12:30,Rogeria Comastri de Castro Almeida
,,,,SEX,10:40 às 12:30,Rogeria Comastri de Castro Almeida
,10300.0,207.0,8.0,QUA,10:40 às 12:30,Rogeria Comastri de Castro Almeida
,,,,SEX,10:40 às 12:30,Rogeria Comastri de Castro Almeida
,10400.0,207.0,8.0,QUA,13:00 às 14:50,Fernanda Doring Krumreich
,,,,SEX,10:40 às 12:30,Rogeria Comastri de Castro Almeida
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
NUT129 - TOXICOLOGIA DOS ALIMENTOS,10100.0,207.0,11.0,QUA,08:50 às 10:40,Neuza Maria Miranda dos Santos
,,,,QUI,08:50 às 10:40,Neuza Maria Miranda dos Santos
,10200.0,207.0,11.0,QUA,10:40 às 12:30,Neuza Maria Miranda dos Santos
,,,,QUI,08:50 às 10:40,Neuza Maria Miranda dos Santos
,10300.0,207.0,11.0,QUI,08:50 às 10:40,Neuza Maria Miranda dos Santos
,,,,,10:40 às 12:30,Neuza Maria Miranda dos Santos
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
NUT132 - TECN ESP CONSERV DOS ALIMENTOS,10100.0,207.0,10.0,QUI,07:00 às 08:50,Laise Cedraz Pinto Matos
,,,,,08:50 às 10:40,Laise Cedraz Pinto Matos
,10200.0,207.0,10.0,QUI,07:00 às 08:50,Laise Cedraz Pinto Matos
,,,,,10:40 às 12:30,Laise Cedraz Pinto Matos
,10300.0,207.0,10.0,TER,10:40 às 12:30,Laise Cedraz Pinto Matos
,,,,QUI,07:00 às 08:50,Laise Cedraz Pinto Matos
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
NUT133 - EST EXPERIMENTAL DOS ALIMENTOS,10100.0,106.0,2.0,QUA,14:50 às 16:40,Fernanda Doring Krumreich
,,282.0,10.0,,,Fernanda Doring Krumreich
,,,,QUI,13:00 às 14:50,Fernanda Doring Krumreich
,,106.0,2.0,,,Fernanda Doring Krumreich
,10200.0,106.0,2.0,QUI,13:00 às 14:50,Fernanda Doring Krumreich
,,207.0,10.0,,,Fernanda Doring Krumreich
,,106.0,2.0,,14:50 às 16:40,Fernanda Doring Krumreich
,,207.0,10.0,,,Fernanda Doring Krumreich
