Disciplina,Turma,Coleg.,Vagas Ofe,Dia,Horário,Docente
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
QUI001 - COMPLEMENTOS DE QUIMICA I,10000.0,207.0,50.0,SEG,13:00 às 14:50,Maria Lucia da Silva Marques
,,,,QUA,13:00 às 14:50,Maria Lucia da Silva Marques
,20000.0,209.0,20.0,QUI,08:50 às 10:40,Maria Lucia da Silva Marques
,,,,,10:40 às 12:30,Maria Lucia da Silva Marques
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
QUI003 - QUÍMICA,10100.0,108.0,15.0,TER,13:00 às 14:50,Caroindes Julia Correa Gomes
,,,,QUI,13:00 às 14:50,Caroindes Julia Correa Gomes
,20200.0,108.0,10.0,TER,07:00 às 08:50,Paloma Nascimento dos Santos
,,118.0,34.0,,,Paloma Nascimento dos Santos
,,108.0,10.0,QUI,07:00 às 08:50,Paloma Nascimento dos Santos
,,118.0,34.0,,,Paloma Nascimento dos Santos
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
QUI012 - FUNDAMENTOS DE FÍSICO-QUÍMICA,10000.0,204.0,20.0,TER,13:00 às 14:50,Maria Luiza Andrade da Silva
,20000.0,204.0,20.0,QUI,13:00 às 14:50,Valeria Cristina Fernandes
,30000.0,204.0,20.0,TER,13:00 às 14:50,Humberto Polli
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
QUI028 - FISICO QUIMICA V,10100.0,110.0,15.0,TER,13:00 às 15:45,Rosangela Regia Lima Vidal
,,,,QUI,13:00 às 15:45,Rosangela Regia Lima Vidal
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
QUI029 - QUIMICA GERAL,20200.0,102.0,10.0,TER,08:50 às 10:40,Tamires Mariel Muniz Milhazes
,,104.0,33.0,,,Tamires Mariel Muniz Milhazes
,,190.0,4.0,,,Tamires Mariel Muniz Milhazes
,,,,QUI,08:50 às 10:40,Tamires Mariel Muniz Milhazes
,,104.0,33.0,,,Tamires Mariel Muniz Milhazes
,,102.0,10.0,,,Tamires Mariel Muniz Milhazes
,30300.0,102.0,30.0,TER,08:50 às 10:40,Kleber Queiroz Ferreira
,,,,QUI,08:50 às 10:40,Kleber Queiroz Ferreira
,40400.0,105.0,40.0,TER,10:40 às 12:30,Tamires Mariel Muniz Milhazes
,,,,QUI,10:40 às 12:30,Tamires Mariel Muniz Milhazes
,50500.0,102.0,20.0,TER,14:50 às 16:40,Tamires Mariel Muniz Milhazes
,,104.0,20.0,,,Tamires Mariel Muniz Milhazes
,,190.0,5.0,,,Tamires Mariel Muniz Milhazes
,,,,QUI,14:50 às 16:40,Tamires Mariel Muniz Milhazes
,,104.0,20.0,,,Tamires Mariel Muniz Milhazes
,,102.0,20.0,,,Tamires Mariel Muniz Milhazes
,60600.0,105.0,15.0,TER,16:40 às 18:30,Tamires Mariel Muniz Milhazes
,,102.0,30.0,,,Tamires Mariel Muniz Milhazes
,,105.0,15.0,QUI,16:40 às 18:30,Tamires Mariel Muniz Milhazes
,,102.0,30.0,,,Tamires Mariel Muniz Milhazes
