Disciplina,Turma,Coleg.,Vagas Ofe,Dia,HorÃ¡rio,Docente
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
TEA502 - ETNOCENOLOGIA,10000.0,551.0,8.0,QUI,14:00 Ã s 17:00,Daniela Maria Amoroso
,,532.0,8.0,,,Daniela Maria Amoroso
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
TEA503 - TEORIAS DO ESPETACULO,10000.0,532.0,8.0,SEX,09:00 Ã s 12:00,Deolinda Catarina Franca de Vilhena
,,551.0,8.0,,,Deolinda Catarina Franca de Vilhena
,20000.0,551.0,8.0,QUA,09:00 Ã s 12:00,Eduardo Augusto da Silva Tudella
,,532.0,8.0,,,Eduardo Augusto da Silva Tudella
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
TEA504 - TRADICAO E CONTEMPORANEIDADE NA DRAMATURGIA,10000.0,532.0,8.0,QUI,10:00 Ã s 13:00,Cleise Furtado Mendes
,,551.0,8.0,,,Cleise Furtado Mendes
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
TEA509 - ARTE E EDUCACAO,10000.0,551.0,8.0,QUI,14:00 Ã s 17:00,Fabio Dal Gallo
,,532.0,8.0,,,Fabio Dal Gallo
,,551.0,8.0,,,Celida Salume Mendonca
,,532.0,8.0,,,Celida Salume Mendonca
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
TEA513 - FORMAS DE ESPETACULO,10000.0,551.0,25.0,QUA,14:00 Ã s 18:00,Maria Albertina Silva Grebler
,,,,,,Glaucio Machado Santos
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
TEA514 - TRABALHO INDIVIDUAL ORIENTADO,10000.0,532.0,1.0,CMB,00:00 Ã s 23:00,Antonia Pereira Bezerra
,,551.0,1.0,,,Antonia Pereira Bezerra
,20000.0,551.0,1.0,CMB,00:00 Ã s 23:00,Cassia Dolores Costa Lopes
,30000.0,532.0,1.0,CMB,00:00 Ã s 23:00,Catarina Santanna
,,551.0,1.0,,,Catarina Santanna
,40000.0,532.0,1.0,CMB,00:00 Ã s 23:00,Celida Salume Mendonca
,,551.0,1.0,,,Celida Salume Mendonca
,50000.0,532.0,1.0,CMB,00:00 Ã s 23:00,Ciane Fernandes
,60000.0,551.0,1.0,CMB,00:00 Ã s 23:00,Cleise Furtado Mendes
,,532.0,1.0,,,Cleise Furtado Mendes
,70000.0,532.0,1.0,CMB,00:00 Ã s 23:00,Deolinda Catarina Franca de Vilhena
,,551.0,1.0,,,Deolinda Catarina Franca de Vilhena
,80000.0,532.0,2.0,CMB,00:00 Ã s 23:00,Erico Jose Souza de Oliveira
,90000.0,551.0,2.0,CMB,00:00 Ã s 23:00,Glaucio Machado Santos
,,532.0,2.0,,,Glaucio Machado Santos
,100000.0,532.0,1.0,CMB,00:00 Ã s 23:00,Ivani Lucia Oliveira de Santana
,110000.0,532.0,1.0,CMB,00:00 Ã s 23:00,Jacyan Castilho de Oliveira
,,551.0,1.0,,,Jacyan Castilho de Oliveira
,120000.0,551.0,1.0,CMB,00:00 Ã s 23:00,Luiz Claudio Cajaiba Soares
