"Disciplina","Turma","Coleg.","Vagas Ofe","Dia","Horário","Docente"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"ADM607 - MARKETING E COMUNICACAO","010000","338","42","SAB","07:00 às 08:50","Rodrigo Ladeira"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"ADM609 - TECNOLOGIA E COMPETITIVIDADE","010000","338","32","SAB","09:45 às 11:35","Horacio Nelson Hastenreiter Filho"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"ADM623 - POLITICAS PUBLICAS E PLANEJAMENTO GOVERNAMENTAL","010000","338","30","QUA","20:20 às 22:10","Elizabeth Matos Ribeiro"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"ADM630 - FINANÇAS PUBLICAS","010000","338","30","QUI","20:20 às 22:10","Docente não informado pelo Departamento"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"ADM711 - TOPICOS ESPECIAIS EM TECNOLOGIA E ORGANIZACOES","010000","354","12","QUA","08:50 às 11:35","Ernani Marques dos Santos"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"ADM790 - PESQUISA ORIENTADA","270000","338","1","CMB","00:00 às 23:00","Docente não informado pelo Departamento"
NA,"280000","338","1","CMB","00:00 às 23:00","Docente não informado pelo Departamento"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"ADMB89 - PODERES LOCAIS, ORGANIZACOES E GESTAO","010000","334","7","SEG","08:50 às 11:35","Maria Elisabete Pereira dos Santos"
NA,NA,"354","8",NA,NA,"Maria Elisabete Pereira dos Santos"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"ADMB91 - TECNOLOGIA, INOVACAO E COMPETITIVIDADE","010000","354","8","QUI","14:50 às 17:35","Paulo Soares Figueiredo"
NA,NA,"334","7",NA,NA,"Paulo Soares Figueiredo"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"ADMB94 - TOPICOS ESPECIAIS EM DESENVOLVIMENTO E SOCIEDADE","010000","354","15","QUI","08:50 às 11:35","Maria Teresa Franco Ribeiro"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"ADMF74 - POLÍTICAS E GESTÃO EM SEGURANÇA PÚBLICA","010000","366","75","QUI","13:55 às 16:40","Docente não informado pelo Departamento"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"ADMG16 - MÉTODOS QUANTITATIVOS","010000","354","20","TER","09:45 às 11:35","Jair Sampaio Soares Junior"
NA,NA,"334","11",NA,NA,"Jair Sampaio Soares Junior"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"ADMG18 - ESTADO E SOCIEDADE","010000","354","8","TER","14:50 às 17:35","Jose Antonio Gomes de Pinho"
NA,NA,"334","7",NA,NA,"Jose Antonio Gomes de Pinho"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"ADMG21 - TÓPICOS ESPECIAIS EM TEORIA E ADMINISTRAÇÃO POLÍTICA","010000","354","15","QUA","13:55 às 16:40","Maria Teresa Franco Ribeiro"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"ADMG27 - GESTÃO DE TECNOLOGIA DA INFORMAÇÃO","010000","338","42","QUA","20:20 às 22:10","Ernani Marques dos Santos"
