"Disciplina","Turma","Coleg.","Vagas Ofe","Dia","Horário","Docente"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"ARQ003 - DESCRITIVA I","010100","515","10","SEG","07:00 às 09:00","Angela Maria Grossi"
NA,NA,"505","10",NA,NA,"Angela Maria Grossi"
NA,NA,"515","10","QUA","07:00 às 09:00","Angela Maria Grossi"
NA,NA,"505","10",NA,NA,"Angela Maria Grossi"
NA,NA,NA,NA,"SEX","07:00 às 09:00","Angela Maria Grossi"
NA,NA,"515","10",NA,NA,"Angela Maria Grossi"
NA,"020200","501","22","SEG","11:00 às 13:00","Maria Campos Romero"
NA,NA,NA,NA,"QUA","11:00 às 13:00","Maria Campos Romero"
NA,NA,NA,NA,"SEX","11:00 às 13:00","Maria Campos Romero"
NA,"030300","505","8","SEG","13:00 às 15:00","Izarosara Borges Rahy"
NA,NA,"501","14",NA,NA,"Izarosara Borges Rahy"
NA,NA,"505","8","QUA","13:00 às 15:00","Izarosara Borges Rahy"
NA,NA,"501","14",NA,NA,"Izarosara Borges Rahy"
NA,NA,NA,NA,"SEX","13:00 às 15:00","Izarosara Borges Rahy"
NA,NA,"505","8",NA,NA,"Izarosara Borges Rahy"
NA,"040400","512","16","SEG","13:00 às 15:00","Maria Campos Romero"
NA,NA,"513","6",NA,NA,"Maria Campos Romero"
NA,NA,"512","16","QUA","13:00 às 15:00","Maria Campos Romero"
NA,NA,"513","6",NA,NA,"Maria Campos Romero"
NA,NA,NA,NA,"SEX","13:00 às 15:00","Maria Campos Romero"
NA,NA,"512","16",NA,NA,"Maria Campos Romero"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"ARQ004 - DESCRITIVA II","010100","515","5","SEG","09:00 às 11:00","Angela Maria Grossi"
NA,NA,"505","10",NA,NA,"Angela Maria Grossi"
NA,NA,"512","10",NA,NA,"Angela Maria Grossi"
NA,NA,"505","10","QUA","09:00 às 11:00","Angela Maria Grossi"
NA,NA,"515","5",NA,NA,"Angela Maria Grossi"
NA,NA,"512","10",NA,NA,"Angela Maria Grossi"
NA,NA,"515","5","SEX","09:00 às 11:00","Angela Maria Grossi"
NA,NA,"505","10",NA,NA,"Angela Maria Grossi"
NA,NA,"512","10",NA,NA,"Angela Maria Grossi"
NA,"020200","505","10","SEG","15:00 às 17:00","Manoel Humberto Silva Santos"
NA,NA,"513","12",NA,NA,"Manoel Humberto Silva Santos"
NA,NA,"505","10","QUA","15:00 às 17:00","Manoel Humberto Silva Santos"
NA,NA,"513","12",NA,NA,"Manoel Humberto Silva Santos"
NA,NA,NA,NA,"SEX","15:00 às 17:00","Manoel Humberto Silva Santos"
NA,NA,"505","10",NA,NA,"Manoel Humberto Silva Santos"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"ARQ005 - DESENHO GEOMETRICO I","010100","505","20","SEG","11:00 às 13:00","Jailson Cesar Borges dos Santos"
NA,NA,NA,NA,"QUA","11:00 às 13:00","Jailson Cesar Borges dos Santos"
NA,"020200","190","5","SEG","15:00 às 17:00","Elenice Carmo de Abreu Apolinario"
NA,NA,"512","10",NA,NA,"Elenice Carmo de Abreu Apolinario"
NA,NA,"189","5",NA,NA,"Elenice Carmo de Abreu Apolinario"
NA,NA,"512","10","QUA","15:00 às 17:00","Elenice Carmo de Abreu Apolinario"
NA,NA,"189","5",NA,NA,"Elenice Carmo de Abreu Apolinario"
NA,NA,"190","5",NA,NA,"Elenice Carmo de Abreu Apolinario"
NA,"030300","513","8","TER","07:00 às 09:00","Marcelo Raimundo Pinheiro da Silva"
NA,NA,"111","16",NA,NA,"Marcelo Raimundo Pinheiro da Silva"
NA,NA,"513","8","QUI","07:00 às 09:00","Marcelo Raimundo Pinheiro da Silva"
NA,NA,"111","16",NA,NA,"Marcelo Raimundo Pinheiro da Silva"
NA,"040400","189","7","TER","18:30 às 20:30","Jailson Cesar Borges dos Santos"
NA,NA,"580","4",NA,NA,"Jailson Cesar Borges dos Santos"
NA,NA,"183","14",NA,NA,"Jailson Cesar Borges dos Santos"
NA,NA,"580","4","QUI","18:30 às 20:30","Jailson Cesar Borges dos Santos"
NA,NA,"183","14",NA,NA,"Jailson Cesar Borges dos Santos"
NA,NA,"189","7",NA,NA,"Jailson Cesar Borges dos Santos"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"ARQ006 - DESENHO GEOMETRICO II","010100","513","10","SEG","13:00 às 15:00","Jailson Cesar Borges dos Santos"
NA,NA,"505","10",NA,NA,"Jailson Cesar Borges dos Santos"
NA,NA,NA,NA,"QUA","13:00 às 15:00","Jailson Cesar Borges dos Santos"
NA,NA,"513","10",NA,NA,"Jailson Cesar Borges dos Santos"
NA,"020200","505","15","TER","11:00 às 13:00","Neila Lima Branco"
