"Disciplina","Turma","Coleg.","Vagas Ofe","Dia","Horário","Docente"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"BIO007 - INTRODUÇÃO A BIOLOGIA","010000","202","25","TER","07:00 às 08:50","Iara Sordi Joachim Bravo"
NA,NA,NA,NA,"QUI","07:00 às 08:50","Iara Sordi Joachim Bravo"
NA,"020000","202","30","TER","08:50 às 10:40","Iara Sordi Joachim Bravo"
NA,NA,NA,NA,"QUI","08:50 às 10:40","Iara Sordi Joachim Bravo"
NA,"030000","280","50","SEG","20:20 às 22:10","Alessandra Selbach Schnadelbach"
NA,NA,NA,NA,"QUA","20:20 às 22:10","Alessandra Selbach Schnadelbach"
NA,"040000","207","30","SEG","14:50 às 16:40","Claudia Dias de Santana"
NA,NA,NA,NA,"QUA","14:50 às 16:40","Claudia Dias de Santana"
NA,"050000","207","30","SEG","13:00 às 14:50","Claudia Dias de Santana"
NA,NA,NA,NA,"QUA","13:00 às 14:50","Claudia Dias de Santana"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"BIO009 - BIOLOGIA SANITARIA","010100","107","12","SEG","13:00 às 14:50","Debora de Lucca Chaves Preza"
NA,NA,"286","1",NA,NA,"Debora de Lucca Chaves Preza"
NA,NA,"226","2",NA,NA,"Debora de Lucca Chaves Preza"
NA,NA,NA,NA,NA,NA,"Pedro Milet Meirelles"
NA,NA,"286","1",NA,NA,"Pedro Milet Meirelles"
NA,NA,"107","12",NA,NA,"Pedro Milet Meirelles"
NA,NA,NA,NA,"QUI","07:00 às 09:45","Dayane Sampaio Duarte Guimaraes"
NA,NA,"226","2",NA,NA,"Dayane Sampaio Duarte Guimaraes"
NA,NA,"286","1",NA,NA,"Dayane Sampaio Duarte Guimaraes"
NA,NA,"107","12",NA,NA,"Pedro Milet Meirelles"
NA,NA,"286","1",NA,NA,"Pedro Milet Meirelles"
NA,NA,"226","2",NA,NA,"Pedro Milet Meirelles"
NA,"010200","189","1","SEG","13:00 às 14:50","Debora de Lucca Chaves Preza"
NA,NA,"190","2",NA,NA,"Debora de Lucca Chaves Preza"
NA,NA,"107","12",NA,NA,"Debora de Lucca Chaves Preza"
NA,NA,NA,NA,NA,NA,"Pedro Milet Meirelles"
NA,NA,"189","1",NA,NA,"Pedro Milet Meirelles"
NA,NA,"190","2",NA,NA,"Pedro Milet Meirelles"
NA,NA,"107","12","QUI","09:45 às 12:30","Debora de Lucca Chaves Preza"
NA,NA,"190","2",NA,NA,"Debora de Lucca Chaves Preza"
NA,NA,"189","1",NA,NA,"Debora de Lucca Chaves Preza"
NA,NA,NA,NA,NA,NA,"Dayane Sampaio Duarte Guimaraes"
NA,NA,"107","12",NA,NA,"Dayane Sampaio Duarte Guimaraes"
NA,NA,"190","2",NA,NA,"Dayane Sampaio Duarte Guimaraes"
NA,"010300","226","1","SEG","13:00 às 14:50","Debora de Lucca Chaves Preza"
NA,NA,"107","12",NA,NA,"Debora de Lucca Chaves Preza"
NA,NA,"189","1",NA,NA,"Debora de Lucca Chaves Preza"
NA,NA,"226","1",NA,NA,"Pedro Milet Meirelles"
NA,NA,"107","12",NA,NA,"Pedro Milet Meirelles"
NA,NA,"189","1",NA,NA,"Pedro Milet Meirelles"
NA,NA,"226","1","QUI","14:50 às 17:35","Debora de Lucca Chaves Preza"
NA,NA,"107","12",NA,NA,"Debora de Lucca Chaves Preza"
NA,NA,"189","1",NA,NA,"Debora de Lucca Chaves Preza"
NA,NA,NA,NA,NA,NA,"Bianca Denise Barbosa da Silva"
NA,NA,"226","1",NA,NA,"Bianca Denise Barbosa da Silva"
NA,NA,"107","12",NA,NA,"Bianca Denise Barbosa da Silva"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"BIO010 - BIOLOGIA CELULAR E MOLECULAR","010100","226","2","TER","08:50 às 10:40","Nora Ney Alves Santos"
NA,NA,"280","2",NA,NA,"Nora Ney Alves Santos"
NA,NA,"202","11",NA,NA,"Nora Ney Alves Santos"
NA,NA,"226","2","QUI","08:50 às 10:40","Nora Ney Alves Santos"
NA,NA,"202","11",NA,NA,"Nora Ney Alves Santos"
NA,NA,"280","2",NA,NA,"Nora Ney Alves Santos"
NA,"010200","280","2","TER","08:50 às 10:40","Nora Ney Alves Santos"
NA,NA,"190","1",NA,NA,"Nora Ney Alves Santos"
NA,NA,"226","1",NA,NA,"Nora Ney Alves Santos"
NA,NA,"202","11",NA,NA,"Nora Ney Alves Santos"
NA,NA,"280","2","QUI","10:40 às 12:30","Nora Ney Alves Santos"
NA,NA,"226","1",NA,NA,"Nora Ney Alves Santos"
NA,NA,"202","11",NA,NA,"Nora Ney Alves Santos"
NA,NA,"190","1",NA,NA,"Nora Ney Alves Santos"
NA,"020300","202","15","TER","13:00 às 14:50","Nora Ney Alves Santos"
NA,NA,NA,NA,"QUI","14:50 às 16:40","Nora Ney Alves Santos"
