"Disciplina","Turma","Coleg.","Vagas Ofe","Dia","Horário","Docente"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"CTIA01 - INTRODUÇÃO À COMPUTAÇÃO","010100","881","25","SEG","07:00 às 08:50","Andre Luis Sousa Sena"
NA,NA,NA,NA,"QUA","07:00 às 08:50","Andre Luis Sousa Sena"
NA,"010200","881","25","SEG","07:00 às 08:50","Andre Luis Sousa Sena"
NA,NA,NA,NA,"QUA","08:50 às 10:40","Andre Luis Sousa Sena"
NA,"020300","891","25","QUA","13:00 às 14:50","Vitor Pinheiro Ferreira"
NA,NA,NA,NA,"SEX","13:00 às 14:50","Vitor Pinheiro Ferreira"
NA,"020400","891","25","QUA","14:50 às 16:40","Vitor Pinheiro Ferreira"
NA,NA,NA,NA,"SEX","13:00 às 14:50","Vitor Pinheiro Ferreira"
NA,"030500","881","25","SEG","10:40 às 12:30","Docente não informado pelo Departamento"
NA,NA,NA,NA,"QUA","13:00 às 14:50","Docente não informado pelo Departamento"
NA,"030600","881","25","SEG","10:40 às 12:30","Docente não informado pelo Departamento"
NA,NA,NA,NA,"QUA","14:50 às 16:40","Docente não informado pelo Departamento"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"CTIA02 - BASES EPISTEMOLÓGICAS DA CIÊNCIA","010000","881","50","SEG","10:40 às 12:30","Cristiano Cassiano de Araujo"
NA,"020000","891","50","SEG","16:40 às 18:30","Cristiano Cassiano de Araujo"
NA,"030000","881","50","SEX","14:50 às 16:40","Cristiano Cassiano de Araujo"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"CTIA03 - BASES MATEMÁTICAS PARA CIÊNCIA, TECNOLOGIA E INOVAÇÃO","010000","881","50","TER","07:00 às 08:50","Docente não informado pelo Departamento"
NA,NA,NA,NA,"QUI","07:00 às 08:50","Docente não informado pelo Departamento"
NA,"020000","891","50","TER","14:50 às 16:40","Docente não informado pelo Departamento"
NA,NA,NA,NA,"QUI","14:50 às 16:40","Docente não informado pelo Departamento"
NA,"030000","881","50","TER","13:00 às 14:50","Mariana Tavares de Aguiar"
NA,NA,NA,NA,"QUI","13:00 às 14:50","Mariana Tavares de Aguiar"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"CTIA04 - ELEMENTOS ACADÊMICOS E PROFISSIONAIS  EM C, T E I","010000","881","50","SEG","08:50 às 10:40","Cristiano Cassiano de Araujo"
NA,"020000","891","50","SEG","14:50 às 16:40","Cristiano Cassiano de Araujo"
NA,"030000","881","50","SEG","07:00 às 08:50","Cristiano Cassiano de Araujo"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"CTIA05 - LÍNGUA PORTUGUESA, PODER E DIVERSIDADE CULTURAL","010000","881","50","QUA","10:40 às 12:30","Geisa Borges da Costa"
NA,NA,NA,NA,"SEX","10:40 às 12:30","Geisa Borges da Costa"
NA,"020000","891","50","QUA","16:40 às 18:30","Docente não informado pelo Departamento"
NA,NA,NA,NA,"SEX","16:40 às 18:30","Docente não informado pelo Departamento"
NA,"030000","881","50","QUA","08:50 às 10:40","Geisa Borges da Costa"
NA,NA,NA,NA,"SEX","08:50 às 10:40","Geisa Borges da Costa"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"CTIA07 - CIÊNCIA, TECNOLOGIA, INOVAÇÃO E SOCIEDADE","010000","881","50","SEG","13:00 às 14:50","Cristiano Cassiano de Araujo"
NA,NA,"891","25",NA,NA,"Cristiano Cassiano de Araujo"
NA,NA,NA,NA,"SEX","13:00 às 14:50","Cristiano Cassiano de Araujo"
NA,NA,"881","50",NA,NA,"Cristiano Cassiano de Araujo"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"CTIA08 - PROJETO INTEGRADO EM CIÊNCIA, TECNOLOGIA E INOVAÇÃO I","000100","891","25","SEG","08:50 às 10:40","Andre Luis Sousa Sena"
NA,NA,"881","50",NA,NA,"Andre Luis Sousa Sena"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
