"Disciplina","Turma","Coleg.","Vagas Ofe","Dia","Horário","Docente"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"DAN001 - METODO DE TREINAMENTO  INDIVIDUAL","010100","503","11","TER","07:00 às 07:55","Docente Substituto a Contratar"
NA,NA,"327","5",NA,NA,"Docente Substituto a Contratar"
NA,NA,NA,NA,NA,"07:55 às 08:50","Docente Substituto a Contratar"
NA,NA,"503","11",NA,NA,"Docente Substituto a Contratar"
NA,NA,"327","5","QUI","07:00 às 07:55","Docente Substituto a Contratar"
NA,NA,"503","11",NA,NA,"Docente Substituto a Contratar"
NA,NA,NA,NA,NA,"07:55 às 08:50","Docente Substituto a Contratar"
NA,NA,"327","5",NA,NA,"Docente Substituto a Contratar"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"DAN005 - ESTUDO MONOGRAFICO SOBRE TOPICOS EM DANCA","010000","515","1","QUA","18:30 às 22:10","Docente Concursado"
NA,NA,"581","10",NA,NA,"Docente Concursado"
NA,NA,"580","1",NA,NA,"Docente Concursado"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"DAN007 - HISTORIA DA DANCA BRASILEIRA","010000","515","5","QUA","13:00 às 15:45","Maira Spanghero Ferreira"
NA,NA,"581","5",NA,NA,"Maira Spanghero Ferreira"
NA,NA,"387","5",NA,NA,"Maira Spanghero Ferreira"
NA,NA,"580","2",NA,NA,"Maira Spanghero Ferreira"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"DAN051 - PRÁTICA DA DANÇA","010000","503","3","TER","13:00 às 15:45","Mirella de Medeiros Misi"
NA,NA,"581","2",NA,NA,"Mirella de Medeiros Misi"
NA,NA,"515","5",NA,NA,"Mirella de Medeiros Misi"
NA,NA,"190","2",NA,NA,"Mirella de Medeiros Misi"
NA,NA,"383","3",NA,NA,"Mirella de Medeiros Misi"
NA,NA,"327","5",NA,NA,"Mirella de Medeiros Misi"
NA,NA,"387","5",NA,NA,"Mirella de Medeiros Misi"
NA,NA,"506","5",NA,NA,"Mirella de Medeiros Misi"
NA,NA,"286","5",NA,NA,"Mirella de Medeiros Misi"
NA,NA,"226","5",NA,NA,"Mirella de Medeiros Misi"
NA,NA,"312","3",NA,NA,"Mirella de Medeiros Misi"
NA,NA,"189","1",NA,NA,"Mirella de Medeiros Misi"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"DAN062 - ELEMENTOS DA DANCA I","010000","315","40","QUA","15:45 às 18:30","Maira Spanghero Ferreira"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"DAN068 - DANÇA FOLCLÓRICA I","010000","312","6","TER","14:50 às 17:35","Neuza Maria Saad"
NA,NA,"387","10",NA,NA,"Neuza Maria Saad"
NA,NA,"226","1",NA,NA,"Neuza Maria Saad"
NA,"020000","189","1","QUI","14:50 às 17:35","Neuza Maria Saad"
NA,NA,"515","5",NA,NA,"Neuza Maria Saad"
NA,NA,"387","5",NA,NA,"Neuza Maria Saad"
NA,NA,"190","1",NA,NA,"Neuza Maria Saad"
NA,NA,"327","5",NA,NA,"Neuza Maria Saad"
NA,NA,"315","5",NA,NA,"Neuza Maria Saad"
NA,NA,"286","5",NA,NA,"Neuza Maria Saad"
NA,"030000","581","10","QUA","18:30 às 21:15","Amelia Vitoria de Souza Conrado"
NA,NA,"580","3",NA,NA,"Amelia Vitoria de Souza Conrado"
NA,NA,"515","1",NA,NA,"Amelia Vitoria de Souza Conrado"
NA,"040000","581","10","QUA","18:30 às 21:15","Marcos dos Santos Santos"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"DAN084 - EXPRESSAO CORPORAL I","010100","509","2","TER","13:00 às 14:50","Neuza Maria Saad"
NA,NA,"508","2",NA,NA,"Neuza Maria Saad"
NA,NA,"507","2",NA,NA,"Neuza Maria Saad"
NA,NA,"315","4",NA,NA,"Neuza Maria Saad"
NA,NA,"286","4",NA,NA,"Neuza Maria Saad"
NA,NA,"190","1",NA,NA,"Neuza Maria Saad"
NA,NA,"509","2","QUI","13:00 às 14:50","Neuza Maria Saad"
NA,NA,"507","2",NA,NA,"Neuza Maria Saad"
NA,NA,"315","4",NA,NA,"Neuza Maria Saad"
NA,NA,"508","2",NA,NA,"Neuza Maria Saad"
