"Disciplina","Turma","Coleg.","Vagas Ofe","Dia","Horário","Docente"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"DIR007 - DIREITOS FUNDAMENTAIS","010000","327","5","QUI","13:00 às 16:40","Geovane de Mori Peixoto"
NA,NA,"308","45",NA,NA,"Geovane de Mori Peixoto"
NA,"020000","308","40","SEX","08:50 às 10:40","Andre Luiz Batista Neves"
NA,NA,"327","5",NA,NA,"Andre Luiz Batista Neves"
NA,NA,"308","40","SAB","08:50 às 10:40","Andre Luiz Batista Neves"
NA,NA,"327","5",NA,NA,"Andre Luiz Batista Neves"
NA,"030000","382","40","SEG","18:30 às 20:20","Fabio Periandro de Almeida Hirsch"
NA,NA,"387","5",NA,NA,"Fabio Periandro de Almeida Hirsch"
NA,NA,NA,NA,"QUA","18:30 às 20:20","Fabio Periandro de Almeida Hirsch"
NA,NA,"382","40",NA,NA,"Fabio Periandro de Almeida Hirsch"
NA,"040000","387","5","SEG","20:20 às 22:10","Carlos Eduardo Behrmann Ratis Martins"
NA,NA,"382","40",NA,NA,"Carlos Eduardo Behrmann Ratis Martins"
NA,NA,NA,NA,"QUA","20:20 às 22:10","Carlos Eduardo Behrmann Ratis Martins"
NA,NA,"387","5",NA,NA,"Carlos Eduardo Behrmann Ratis Martins"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"DIR015 - DIREITO DE FAMíLIA","010000","308","45","SEG","08:50 às 10:40","Nilza Maria Costa dos Reis"
NA,NA,"327","5",NA,NA,"Nilza Maria Costa dos Reis"
NA,NA,NA,NA,"QUA","08:50 às 10:40","Nilza Maria Costa dos Reis"
NA,NA,"308","45",NA,NA,"Nilza Maria Costa dos Reis"
NA,"020000","327","2","TER","13:00 às 14:50","Antonio Lago Junior"
NA,NA,"387","3",NA,NA,"Antonio Lago Junior"
NA,NA,"308","45",NA,NA,"Antonio Lago Junior"
NA,NA,"387","3","QUI","13:00 às 14:50","Antonio Lago Junior"
NA,NA,"308","45",NA,NA,"Antonio Lago Junior"
NA,NA,"327","2",NA,NA,"Antonio Lago Junior"
NA,"030000","382","45","TER","18:30 às 20:20","Docente Substituto a Contratar"
NA,NA,"387","5",NA,NA,"Docente Substituto a Contratar"
NA,NA,NA,NA,"QUI","18:30 às 20:20","Docente Substituto a Contratar"
NA,NA,"382","45",NA,NA,"Docente Substituto a Contratar"
NA,"040000","387","5","TER","20:20 às 22:10","Docente Substituto a Contratar"
NA,NA,"382","45",NA,NA,"Docente Substituto a Contratar"
NA,NA,NA,NA,"QUI","20:20 às 22:10","Docente Substituto a Contratar"
NA,NA,"387","5",NA,NA,"Docente Substituto a Contratar"
NA,"050000","327","25","TER","08:50 às 10:40","Antonio Lago Junior"
NA,NA,"387","25",NA,NA,"Antonio Lago Junior"
NA,NA,"327","25","QUI","08:50 às 10:40","Antonio Lago Junior"
NA,NA,"387","25",NA,NA,"Antonio Lago Junior"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"DIR016 - DIREITO DAS SUCESSÕES","010000","308","45","SEG","08:50 às 10:40","Joao Carlos Macedo Monteiro"
NA,NA,NA,NA,"QUA","08:50 às 10:40","Joao Carlos Macedo Monteiro"
NA,"020000","308","45","SEG","10:40 às 12:30","Nilza Maria Costa dos Reis"
NA,NA,NA,NA,"QUA","10:40 às 12:30","Nilza Maria Costa dos Reis"
NA,"030000","382","45","TER","18:30 às 20:20","Leandro Reinaldo da Cunha"
NA,NA,NA,NA,"QUI","18:30 às 20:20","Leandro Reinaldo da Cunha"
NA,"040000","382","45","TER","20:20 às 22:10","Leandro Reinaldo da Cunha"
NA,NA,NA,NA,"QUI","20:20 às 22:10","Leandro Reinaldo da Cunha"
NA,"050000","308","20","TER","13:55 às 17:35","Rodolfo Mario Veiga Pamplona Filho"
NA,NA,"382","20",NA,NA,"Rodolfo Mario Veiga Pamplona Filho"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"DIR025 - TEMAS APROFUNDADOS DIR PENAL","010000","327","4","SEG","08:50 às 10:40","Alessandra Rapacci Mascarenhas Prado"
NA,NA,NA,NA,"QUA","08:50 às 10:40","Alessandra Rapacci Mascarenhas Prado"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"DIR030 - TEORIA GERAL DO PROCESSO","010000","387","15","SEG","16:40 às 18:30","Bernardo Silva de Lima"
NA,NA,"327","15",NA,NA,"Bernardo Silva de Lima"
NA,NA,"308","5",NA,NA,"Bernardo Silva de Lima"
NA,NA,NA,NA,"QUA","16:40 às 18:30","Bernardo Silva de Lima"
