"Disciplina","Turma","Coleg.","Vagas Ofe","Dia","Horário","Docente"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"EBA001 - HISTORIA DA ARTE I","010100","501","12","SEG","08:50 às 10:40","Priscila Valente Lolata"
NA,NA,"505","12",NA,NA,"Priscila Valente Lolata"
NA,NA,"512","3",NA,NA,"Priscila Valente Lolata"
NA,NA,"311","6",NA,NA,"Priscila Valente Lolata"
NA,NA,"515","3",NA,NA,"Priscila Valente Lolata"
NA,NA,"505","12","QUA","08:50 às 10:40","Priscila Valente Lolata"
NA,NA,"311","6",NA,NA,"Priscila Valente Lolata"
NA,NA,"512","3",NA,NA,"Priscila Valente Lolata"
NA,NA,"515","3",NA,NA,"Priscila Valente Lolata"
NA,NA,"501","12",NA,NA,"Priscila Valente Lolata"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"EBA002 - HISTORIA DA ARTE II","010100","505","15","SEG","10:40 às 12:30","Priscila Valente Lolata"
NA,NA,"501","20",NA,NA,"Priscila Valente Lolata"
NA,NA,"505","15","QUA","10:40 às 12:30","Priscila Valente Lolata"
NA,NA,"501","20",NA,NA,"Priscila Valente Lolata"
NA,"020200","311","15","SEG","14:50 às 16:40","Luiz Alberto Ribeiro Freire"
NA,NA,"505","10",NA,NA,"Luiz Alberto Ribeiro Freire"
NA,NA,"501","10",NA,NA,"Luiz Alberto Ribeiro Freire"
NA,NA,NA,NA,"QUA","14:50 às 16:40","Luiz Alberto Ribeiro Freire"
NA,NA,"505","10",NA,NA,"Luiz Alberto Ribeiro Freire"
NA,NA,"311","15",NA,NA,"Luiz Alberto Ribeiro Freire"
NA,"030300","515","2","TER","07:00 às 08:50","Ines Karin Linke Ferreira"
NA,NA,"505","10",NA,NA,"Ines Karin Linke Ferreira"
NA,NA,"512","3",NA,NA,"Ines Karin Linke Ferreira"
NA,NA,"501","20",NA,NA,"Ines Karin Linke Ferreira"
NA,NA,"515","2","QUI","07:00 às 08:50","Ines Karin Linke Ferreira"
NA,NA,"512","3",NA,NA,"Ines Karin Linke Ferreira"
NA,NA,"501","20",NA,NA,"Ines Karin Linke Ferreira"
NA,NA,"505","10",NA,NA,"Ines Karin Linke Ferreira"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"EBA003 - HISTORIA DA ARTE III","010100","303","8","TER","09:45 às 12:30","Ludmila da Silva Ribeiro de Britto"
NA,NA,"513","15",NA,NA,"Ludmila da Silva Ribeiro de Britto"
NA,NA,"512","12",NA,NA,"Ludmila da Silva Ribeiro de Britto"
NA,NA,"303","8","QUI","09:45 às 12:30","Ludmila da Silva Ribeiro de Britto"
NA,NA,"513","15",NA,NA,"Ludmila da Silva Ribeiro de Britto"
NA,NA,"512","12",NA,NA,"Ludmila da Silva Ribeiro de Britto"
NA,"020200","512","3","TER","07:00 às 09:45","Ludmila da Silva Ribeiro de Britto"
NA,NA,"513","12",NA,NA,"Ludmila da Silva Ribeiro de Britto"
NA,NA,"303","20",NA,NA,"Ludmila da Silva Ribeiro de Britto"
NA,NA,NA,NA,"QUI","07:00 às 09:45","Ludmila da Silva Ribeiro de Britto"
NA,NA,"513","12",NA,NA,"Ludmila da Silva Ribeiro de Britto"
NA,NA,"512","3",NA,NA,"Ludmila da Silva Ribeiro de Britto"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"EBA004 - DESENHO I","010100","515","3","SEG","13:00 às 15:45","Pedro Fernandes Marighella"
NA,NA,"119","1",NA,NA,"Pedro Fernandes Marighella"
NA,NA,"505","25",NA,NA,"Pedro Fernandes Marighella"
NA,NA,"119","1","QUA","13:00 às 15:45","Pedro Fernandes Marighella"
NA,NA,"505","25",NA,NA,"Pedro Fernandes Marighella"
NA,NA,"515","3",NA,NA,"Pedro Fernandes Marighella"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"EBA010 - HISTORIA DA ARTE BRASILEIRA","010100","501","16","SEG","13:00 às 14:50","Luiz Alberto Ribeiro Freire"
NA,NA,"515","3",NA,NA,"Luiz Alberto Ribeiro Freire"
NA,NA,"513","5",NA,NA,"Luiz Alberto Ribeiro Freire"
NA,NA,"505","8",NA,NA,"Luiz Alberto Ribeiro Freire"
NA,NA,"311","6",NA,NA,"Luiz Alberto Ribeiro Freire"
NA,NA,NA,NA,"QUA","13:00 às 14:50","Luiz Alberto Ribeiro Freire"
NA,NA,"513","5",NA,NA,"Luiz Alberto Ribeiro Freire"
NA,NA,"501","16",NA,NA,"Luiz Alberto Ribeiro Freire"
NA,NA,"515","3",NA,NA,"Luiz Alberto Ribeiro Freire"
