"Disciplina","Turma","Coleg.","Vagas Ofe","Dia","Horário","Docente"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"ECO142 - ECONOMIA BRASILEIRA","010000","301","50","SEX","08:50 às 11:35","Alynson dos Santos Rocha"
NA,"020000","314","15","SEX","08:50 às 11:35","Luiz Gustavo Araujo da Cruz Casais e Sil"
NA,NA,"304","20",NA,NA,"Luiz Gustavo Araujo da Cruz Casais e Sil"
NA,NA,"380","10",NA,NA,"Luiz Gustavo Araujo da Cruz Casais e Sil"
NA,NA,"308","2",NA,NA,"Luiz Gustavo Araujo da Cruz Casais e Sil"
NA,NA,"382","2",NA,NA,"Luiz Gustavo Araujo da Cruz Casais e Sil"
NA,NA,"182","7",NA,NA,"Luiz Gustavo Araujo da Cruz Casais e Sil"
NA,"030000","304","20","SEX","18:30 às 21:15","Luiz Gustavo Araujo da Cruz Casais e Sil"
NA,NA,"387","5",NA,NA,"Luiz Gustavo Araujo da Cruz Casais e Sil"
NA,NA,"195","5",NA,NA,"Luiz Gustavo Araujo da Cruz Casais e Sil"
NA,NA,"380","25",NA,NA,"Luiz Gustavo Araujo da Cruz Casais e Sil"
NA,"040000","109","5","TER","07:00 às 09:45","Luiz Gustavo Araujo da Cruz Casais e Sil"
NA,NA,"380","5",NA,NA,"Luiz Gustavo Araujo da Cruz Casais e Sil"
NA,NA,"304","40",NA,NA,"Luiz Gustavo Araujo da Cruz Casais e Sil"
NA,"050000","188","5","QUA","08:50 às 11:35","Luiz Gustavo Araujo da Cruz Casais e Sil"
NA,NA,"382","2",NA,NA,"Luiz Gustavo Araujo da Cruz Casais e Sil"
NA,NA,"301","35",NA,NA,"Luiz Gustavo Araujo da Cruz Casais e Sil"
NA,NA,"308","2",NA,NA,"Luiz Gustavo Araujo da Cruz Casais e Sil"
NA,NA,"387","6",NA,NA,"Luiz Gustavo Araujo da Cruz Casais e Sil"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"ECO151 - ECONOMIA E FINANÇAS","010100","103","20","SEG","13:00 às 14:50","Carolina Silva Ribeiro"
NA,NA,NA,NA,"QUA","13:00 às 14:50","Carolina Silva Ribeiro"
NA,"020200","186","20","SEG","18:30 às 20:20","Bouzid Izerrougene"
NA,NA,NA,NA,"QUA","18:30 às 20:20","Bouzid Izerrougene"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"ECO170 - ORGANIZACAO INDUSTRIAL","010000","305","40","SEG","10:40 às 12:30","Hamilton de Moura Ferreira Junior"
NA,NA,NA,NA,"QUA","10:40 às 12:30","Hamilton de Moura Ferreira Junior"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"ECO173 - ECONOMIA  BRASILEIRA  CONTEMPORANEA","010000","327","3","TER","07:00 às 08:50","Vitor Araujo Filgueiras"
NA,NA,"190","5",NA,NA,"Vitor Araujo Filgueiras"
NA,NA,"305","45",NA,NA,"Vitor Araujo Filgueiras"
NA,NA,"327","3","QUI","07:00 às 08:50","Vitor Araujo Filgueiras"
NA,NA,"305","45",NA,NA,"Vitor Araujo Filgueiras"
NA,NA,"190","5",NA,NA,"Vitor Araujo Filgueiras"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"ECO175 - ECONOMIA DO SETOR PUBLICO","010000","305","35","SEG","08:50 às 10:40","Julyan Gleyvison Machado Gouveia Lins"
NA,NA,"309","2",NA,NA,"Julyan Gleyvison Machado Gouveia Lins"
NA,NA,NA,NA,"QUA","08:50 às 10:40","Julyan Gleyvison Machado Gouveia Lins"
NA,NA,"305","35",NA,NA,"Julyan Gleyvison Machado Gouveia Lins"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"ECO176 - ELABORACAO DE MONOGRAFIA I","000100","305","45","TER","13:00 às 14:50","Arismar Cerqueira Sodre"
NA,NA,NA,NA,"CMB","00:00 às 00:00","Arismar Cerqueira Sodre"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"ECO177 - ELABORACAO DE MONOGRAFIA II","000100","305","45","TER","14:50 às 16:40","Arismar Cerqueira Sodre"
NA,NA,NA,NA,"CMB","00:00 às 00:00","Arismar Cerqueira Sodre"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
