"Disciplina","Turma","Coleg.","Vagas Ofe","Dia","Horário","Docente"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"EDC515 - TRABALHO INDIVIDUAL ORIENTADO","010000","330","25","CMB","00:00 às 23:00","Jonei Cerqueira Barbosa"
NA,"020000","350","40","CMB","00:00 às 23:00","Felix Marcial Diaz Rodriguez"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"EDC556 - AVALIACAO EM EDUCACAO","010000","350","10","QUI","07:55 às 11:35","Robinson Moreira Tenorio"
NA,NA,"330","10",NA,NA,"Robinson Moreira Tenorio"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"EDC557 - ABORDAGENS E TECNICAS DE PESQUISA EM EDUCACAO","010000","350","15","TER","07:00 às 10:40","Jonei Cerqueira Barbosa"
NA,NA,"330","15",NA,NA,"Jonei Cerqueira Barbosa"
NA,"020000","330","15","QUI","07:55 às 11:35","Roberto Sidnei Alves Macedo"
NA,NA,"350","15",NA,NA,"Roberto Sidnei Alves Macedo"
NA,"030000","350","15","SEX","13:55 às 17:35","Robert Evan Verhine"
NA,NA,"330","15",NA,NA,"Robert Evan Verhine"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"EDC588 - ADMINISTRACAO  E EDUCACAO","010000","350","10","SEX","07:55 às 11:35","Jose Wellington Marinho de Aragao"
NA,NA,"330","10",NA,NA,"Jose Wellington Marinho de Aragao"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"EDC603 - EDUCACAO, SOCIEDADE E PRAXIS PEDAGOGICA","010000","350","15","QUA","08:50 às 12:30","Dinea Maria Sobral Muniz"
NA,NA,"330","25",NA,NA,"Dinea Maria Sobral Muniz"
NA,NA,NA,NA,"CMB","00:00 às 00:00","Dinea Maria Sobral Muniz"
NA,NA,"350","15",NA,NA,"Dinea Maria Sobral Muniz"
NA,"020000","350","15","QUA","13:55 às 17:35","Jose Albertino Carvalho Lordelo"
NA,NA,"330","25",NA,NA,"Jose Albertino Carvalho Lordelo"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"EDC790 - PESQUISA ORIENTADA","010000","330","70","CMB","00:00 às 23:00","Maria Helena Silveira Bonilla"
NA,"020000","350","110","CMB","00:00 às 23:00","Paulo Roberto Holanda Gurgel"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"EDC791 - TIROCINIO DOCENTE ORIENTADO","010000","330","10","CMB","00:00 às 23:00","Augusto Cesar Rios Leiro"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"EDC794 - EXAME DE QUALIFICACAO","010000","350","60","CMB","00:00 às 23:00","Dante Augusto Galeffi"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"EDC795 - PARTICIPACAO EM PESQUISA DO CURSO","010000","330","5","CMB","00:00 às 23:00","Maria Virginia Machado Dazzani"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"EDC939 - ESTAGIO DOCENTE ORIENTADO/MESTRADO","000001","330","15","CMB","00:00 às 23:00","Robinson Moreira Tenorio"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"EDC940 - ESTAGIO DOCENTE ORIENTADO/DOUTORADO","000001","350","10","CMB","00:00 às 23:00","Robinson Moreira Tenorio"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"EDCA33 - EDUCACAO, COMUNICACAO E TECNOLOGIAS","010000","350","10","QUA","13:55 às 17:35","Maria Helena Silveira Bonilla"
NA,NA,"330","10",NA,NA,"Maria Helena Silveira Bonilla"
