"Disciplina","Turma","Coleg.","Vagas Ofe","Dia","Horário","Docente"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"ENFA84 - VIGILÂNCIA EM SAÚDE","010100","203","9","TER","07:55 às 09:45","Tiago Parada Costa Silva"
NA,NA,NA,NA,NA,NA,"Melissa Almeida Silva"
NA,NA,NA,NA,NA,"09:45 às 12:30","Melissa Almeida Silva"
NA,NA,NA,NA,"CMB","00:00 às 00:00","Docente não informado pelo Departamento"
NA,"010200","203","9","TER","07:55 às 09:45","Tiago Parada Costa Silva"
NA,NA,NA,NA,NA,NA,"Melissa Almeida Silva"
NA,NA,NA,NA,NA,"09:45 às 12:30","Thiala Maria Carneiro de Almeida"
NA,NA,NA,NA,"CMB","00:00 às 00:00","Docente não informado pelo Departamento"
NA,"010300","203","9","TER","07:55 às 09:45","Tiago Parada Costa Silva"
NA,NA,NA,NA,NA,NA,"Melissa Almeida Silva"
NA,NA,NA,NA,NA,"09:45 às 12:30","Tiago Parada Costa Silva"
NA,NA,NA,NA,"CMB","00:00 às 00:00","Docente não informado pelo Departamento"
NA,"010400","203","9","TER","07:55 às 09:45","Tiago Parada Costa Silva"
NA,NA,NA,NA,NA,NA,"Melissa Almeida Silva"
NA,NA,NA,NA,NA,"09:45 às 12:30","Daniela Gomes dos Santos Biscarde"
NA,NA,NA,NA,"CMB","00:00 às 00:00","Docente não informado pelo Departamento"
NA,"010500","203","9","TER","07:55 às 09:45","Tiago Parada Costa Silva"
NA,NA,NA,NA,NA,NA,"Melissa Almeida Silva"
NA,NA,NA,NA,NA,"09:45 às 12:30","Marilia Santos Fontoura"
NA,NA,NA,NA,"CMB","00:00 às 00:00","Docente não informado pelo Departamento"
NA,"010600","203","9","TER","07:55 às 09:45","Tiago Parada Costa Silva"
NA,NA,NA,NA,NA,NA,"Melissa Almeida Silva"
NA,NA,NA,NA,NA,"09:45 às 12:30","Livia Angeli Silva"
NA,NA,NA,NA,"CMB","00:00 às 00:00","Docente não informado pelo Departamento"
NA,"010700","203","9","TER","07:55 às 09:45","Tiago Parada Costa Silva"
NA,NA,NA,NA,NA,NA,"Melissa Almeida Silva"
NA,NA,NA,NA,NA,"09:45 às 12:30","Docente não informado pelo Departamento"
NA,NA,NA,NA,"CMB","00:00 às 00:00","Melissa Almeida Silva"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"ENFA86 - ENFERMAGEM, SAÚDE E SOCIEDADE","010000","203","50","QUA","13:00 às 16:40","Silvia Lucia Ferreira"
NA,"020000","203","13","QUA","13:00 às 16:40","Maria Aladilce de Souza"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"ENFA91 - CUIDADO EM ENFERMAGEM À PESSOA NO CONTEXTO HOSPITALAR","010100","203","5","SEG","07:55 às 11:35","Anderson Reis de Sousa"
NA,NA,NA,NA,"TER","07:55 às 11:35","Anderson Reis de Sousa"
NA,NA,NA,NA,"QUA","07:00 às 12:30","Roberta Pereira Goes"
NA,NA,NA,NA,NA,NA,"Rafael Lima Rodrigues de Carvalho"
NA,NA,NA,NA,NA,NA,"Anderson Reis de Sousa"
NA,NA,NA,NA,NA,NA,"Carolina de Souza Machado"
NA,NA,NA,NA,NA,NA,"Ana Carla Carvalho Coelho"
NA,NA,NA,NA,NA,NA,"Ana Lucia Arcanjo Oliveira Cordeiro"
NA,NA,NA,NA,"CMB","00:00 às 00:00","Docente não informado pelo Departamento"
NA,"010200","203","5","SEG","07:55 às 11:35","Ana Carla Carvalho Coelho"
NA,NA,NA,NA,"TER","07:55 às 11:35","Ana Carla Carvalho Coelho"
NA,NA,NA,NA,"QUA","07:00 às 12:30","Roberta Pereira Goes"
NA,NA,NA,NA,NA,NA,"Rafael Lima Rodrigues de Carvalho"
NA,NA,NA,NA,NA,NA,"Anderson Reis de Sousa"
NA,NA,NA,NA,NA,NA,"Carolina de Souza Machado"
NA,NA,NA,NA,NA,NA,"Ana Carla Carvalho Coelho"
NA,NA,NA,NA,NA,NA,"Ana Lucia Arcanjo Oliveira Cordeiro"
NA,NA,NA,NA,"CMB","00:00 às 00:00","Docente não informado pelo Departamento"
NA,"010300","203","5","SEG","07:55 às 11:35","Ana Lucia Arcanjo Oliveira Cordeiro"
NA,NA,NA,NA,"TER","07:55 às 11:35","Ana Lucia Arcanjo Oliveira Cordeiro"
NA,NA,NA,NA,"QUA","07:00 às 12:30","Roberta Pereira Goes"
NA,NA,NA,NA,NA,NA,"Rafael Lima Rodrigues de Carvalho"
NA,NA,NA,NA,NA,NA,"Anderson Reis de Sousa"
NA,NA,NA,NA,NA,NA,"Carolina de Souza Machado"
NA,NA,NA,NA,NA,NA,"Ana Carla Carvalho Coelho"
NA,NA,NA,NA,NA,NA,"Ana Lucia Arcanjo Oliveira Cordeiro"
NA,NA,NA,NA,"CMB","00:00 às 00:00","Docente não informado pelo Departamento"
