"Disciplina","Turma","Coleg.","Vagas Ofe","Dia","Horário","Docente"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"ENG502 - Mecânica dos Fluidos e Reologia","010000","137","20","QUA","08:50 às 11:35","Luiz Mario Nelson de Gois"
NA,NA,"157","20",NA,NA,"Luiz Mario Nelson de Gois"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"ENG503 - Termodinâmica Quimica","010000","157","20","TER","09:45 às 12:30","Silvana Mattedi e Silva"
NA,NA,"137","30",NA,NA,"Silvana Mattedi e Silva"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"ENG504 - Cinética e Reatores","010000","137","30","TER","07:00 às 09:45","Carlos Augusto de Moraes Pires"
NA,NA,"157","20",NA,NA,"Carlos Augusto de Moraes Pires"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"ENG505 - METODOS QUANTITATIVOS EM ENGENHARIA QUIMICA","010000","137","15","QUI","08:50 às 10:40","Samuel Luporini"
NA,NA,"157","10",NA,NA,"Samuel Luporini"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"ENG535 - METODOLOGIA DA PESQUISA EM ENGENHARIA","010000","853","30","TER","16:40 às 18:30","Jardel Pereira Goncalves"
NA,NA,"864","7",NA,NA,"Jardel Pereira Goncalves"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"ENG573 - PROCESSOS ESTOCASTICOS","010000","139","30","TER","16:40 às 18:30","Eduardo Furtado de Simas Filho"
NA,NA,NA,NA,"QUI","16:40 às 18:30","Eduardo Furtado de Simas Filho"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"ENG577 - PROCESSAMENTO DIGITAL DE SINAIS","010000","186","5","SEG","16:40 às 18:30","Fabiano Fragoso Costa"
NA,NA,"139","20",NA,NA,"Fabiano Fragoso Costa"
NA,NA,"104","5",NA,NA,"Fabiano Fragoso Costa"
NA,NA,NA,NA,"QUA","16:40 às 18:30","Fabiano Fragoso Costa"
NA,NA,"139","20",NA,NA,"Fabiano Fragoso Costa"
NA,NA,"186","5",NA,NA,"Fabiano Fragoso Costa"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"ENG633 - SISTEMAS MECATRÔNICOS","010000","153","10","TER","13:00 às 14:50","Leizer Schnitman"
NA,NA,"145","20",NA,NA,"Leizer Schnitman"
NA,NA,NA,NA,"CMB","00:00 às 00:00","Marcio Fontana"
NA,NA,"153","10",NA,NA,"Marcio Fontana"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"ENG634 - METODOLOGIA DA PESQUISA","010000","153","10","QUI","08:50 às 11:35","Sergio Gorender"
NA,NA,"145","20",NA,NA,"Sergio Gorender"
NA,NA,NA,NA,NA,NA,"Flavio Morais de Assis Silva"
NA,NA,"153","10",NA,NA,"Flavio Morais de Assis Silva"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"ENG643 - PLANEJAMENTO E CONTROLE DA PRODUCAO","010000","145","20","QUA","08:50 às 11:35","Carlos Arthur Mattos Teixeira Cavalcante"
NA,NA,"153","10",NA,NA,"Carlos Arthur Mattos Teixeira Cavalcante"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"ENG658 - MICROELETRONICA EM RADIOFREQUENCIA","010000","139","20","SEG","14:50 às 16:40","Robson Nunes de Lima"
NA,NA,"104","10",NA,NA,"Robson Nunes de Lima"
NA,NA,NA,NA,"QUA","14:50 às 16:40","Robson Nunes de Lima"
NA,NA,"139","20",NA,NA,"Robson Nunes de Lima"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
