"Disciplina","Turma","Coleg.","Vagas Ofe","Dia","Horário","Docente"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"FARA06 - METODOLOGIA DA PESQUISA CIENTIFICA","010000","258","20","SEG","10:00 às 11:00","Alaise Gil Guimaraes"
NA,NA,NA,NA,NA,"11:00 às 12:00","Janice Izabel Druzian"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"FARA16 - PESQUISA ORIENTADA","010000","258","3","CMB","00:00 às 23:00","Alaise Gil Guimaraes"
NA,"020000","258","2","CMB","00:00 às 23:00","Cleber Alberto Schmidt"
NA,"030000","258","3","CMB","00:00 às 23:00","Eliete da Silva Bispo"
NA,"040000","258","3","CMB","00:00 às 23:00","Itaciara Larroza Nunes"
NA,"050000","258","4","CMB","00:00 às 23:00","Janice Izabel Druzian"
NA,"060000","258","2","CMB","00:00 às 23:00","Jose Antonio Menezes Filho"
NA,"070000","258","3","CMB","00:00 às 23:00","Marcelo Andres Umsza Guez"
NA,"080000","258","3","CMB","00:00 às 23:00","Maria Eugenia de Oliveira Mamede"
NA,"090000","258","4","CMB","00:00 às 23:00","Docente Convenio"
NA,"100000","258","2","CMB","00:00 às 23:00","Rogeria Comastri de Castro Almeida"
NA,"110000","258","3","CMB","00:00 às 23:00","Ryzia de Cassia Vieira Cardoso"
NA,"120000","258","3","CMB","00:00 às 23:00","Sergio Eduardo Soares"
NA,"130000","258","3","CMB","00:00 às 23:00","Maria da Pureza Spinola Miranda"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"FARA17 - TIROCINIO DOCENTE ORIENTADO","010000","258","1","CMB","00:00 às 23:00","Cleber Alberto Schmidt"
NA,"020000","258","1","CMB","00:00 às 23:00","Itaciara Larroza Nunes"
NA,"030000","258","1","CMB","00:00 às 23:00","Marcelo Andres Umsza Guez"
NA,"040000","258","1","CMB","00:00 às 23:00","Docente Convenio"
NA,"050000","258","1","CMB","00:00 às 23:00","Sergio Eduardo Soares"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"FARA18 - PROJETO DE DISSERTACAO","010000","258","2","CMB","00:00 às 23:00","Alaise Gil Guimaraes"
NA,"020000","258","2","CMB","00:00 às 23:00","Eliete da Silva Bispo"
NA,"030000","258","1","CMB","00:00 às 23:00","Itaciara Larroza Nunes"
NA,"040000","258","2","CMB","00:00 às 23:00","Janice Izabel Druzian"
NA,"050000","258","1","CMB","00:00 às 23:00","Jose Antonio Menezes Filho"
NA,"060000","258","2","CMB","00:00 às 23:00","Maria Eugenia de Oliveira Mamede"
NA,"070000","258","1","CMB","00:00 às 23:00","Docente Convenio"
NA,"080000","258","1","CMB","00:00 às 23:00","Rogeria Comastri de Castro Almeida"
NA,"090000","258","2","CMB","00:00 às 23:00","Ryzia de Cassia Vieira Cardoso"
NA,"100000","258","2","CMB","00:00 às 23:00","Maria da Pureza Spinola Miranda"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"FARA45 - BIOESTATISTICA","010000","266","27","QUA","08:00 às 09:00","Marcelo Santos Castilho"
NA,NA,NA,NA,NA,"09:00 às 10:00","Ricardo David Couto"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"FARA47 - GENOMA E PROTEOMA","010000","266","27","QUA","09:00 às 11:00","Marilda de Souza Goncalves"
NA,NA,NA,NA,NA,NA,"Tania Fraga Barros"
NA,NA,NA,NA,NA,NA,"Joice Neves Reis Pedreira"
NA,NA,NA,NA,NA,NA,"Marcelo Santos Castilho"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"FARA50 - TOPICOS ESPECIAIS EM CIÊNCIAS FARMACÊUTICAS","010000","266","27","QUI","11:00 às 12:00","Eudes da Silva Velozo"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"FARA54 - DIAGNÓSTICO MOLECULAR DE DOENÇAS HEMATOLÓGICAS","010000","266","20","QUI","10:00 às 11:00","Marilda de Souza Goncalves"
NA,NA,NA,NA,NA,NA,"Elisangela Vitoria Adorno"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
