"Disciplina","Turma","Coleg.","Vagas Ofe","Dia","Horário","Docente"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"FARA04 - TOPICOS EM CIENCIA DE ALIMENTOS","010000","258","30","CMB","00:00 às 23:00","Janice Izabel Druzian"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"FARA05 - SEMINARIOS","010000","258","30","QUA","07:55 às 09:45","Janice Izabel Druzian"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"FARA07 - ALIMENTOS FUNCIONAIS","010000","258","30","CMB","00:00 às 23:00","Sergio Eduardo Soares"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"FARA09 - BIOQUIMICA DE ALIMENTOS","010100","258","15","SEG","08:50 às 09:45","Ederlan de Souza Ferreira"
NA,NA,NA,NA,NA,"09:45 às 11:35","Ederlan de Souza Ferreira"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"FARA10 - METODOS FISICOS EM ANALISES DE ALIMENTOS","010100","258","30","SEG","13:55 às 16:40","Janice Izabel Druzian"
NA,NA,NA,NA,NA,"16:40 às 17:35","Janice Izabel Druzian"
NA,NA,NA,NA,NA,"17:35 às 18:30","Sergio Eduardo Soares"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"FARA11 - MICROBILOGIA DE ALIMENTOS","010100","258","30","QUA","13:55 às 14:50","Docente não informado pelo Departamento"
NA,NA,NA,NA,NA,"14:50 às 16:40","Docente não informado pelo Departamento"
NA,NA,NA,NA,NA,"16:40 às 18:30","Docente não informado pelo Departamento"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"FARA13 - TECNOLOGIA DE ALIMENTOS","010000","258","30","QUA","09:45 às 11:35","Eliete da Silva Bispo"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"FARA16 - PESQUISA ORIENTADA","010000","258","5","CMB","00:00 às 23:00","Docente não informado pelo Departamento"
NA,"020000","258","3","CMB","00:00 às 23:00","Docente Convênio"
NA,"030000","258","2","CMB","00:00 às 23:00","Docente não informado pelo Departamento"
NA,"040000","258","4","CMB","00:00 às 23:00","Carolina Oliveira de Souza"
NA,"050000","258","7","CMB","00:00 às 23:00","Ederlan de Souza Ferreira"
NA,"060000","258","5","CMB","00:00 às 23:00","Eliete da Silva Bispo"
NA,"070000","258","6","CMB","00:00 às 23:00","Janice Izabel Druzian"
NA,"080000","258","5","CMB","00:00 às 23:00","Jose Antonio Menezes Filho"
NA,"090000","258","6","CMB","00:00 às 23:00","Docente não informado pelo Departamento"
NA,"100000","258","5","CMB","00:00 às 23:00","Maria Eugenia de Oliveira Mamede"
NA,"110000","258","2","CMB","00:00 às 23:00","Docente não informado pelo Departamento"
NA,"120000","258","6","CMB","00:00 às 23:00","Docente Convênio"
NA,"130000","258","2","CMB","00:00 às 23:00","Ricardo David Couto"
NA,"140000","258","4","CMB","00:00 às 23:00","Docente não informado pelo Departamento"
NA,"150000","258","7","CMB","00:00 às 23:00","Docente não informado pelo Departamento"
NA,"160000","258","5","CMB","00:00 às 23:00","Sergio Eduardo Soares"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"FARA17 - TIROCINIO DOCENTE ORIENTADO","010000","258","1","CMB","00:00 às 23:00","Ederlan de Souza Ferreira"
NA,"020000","258","1","CMB","00:00 às 23:00","Eliete da Silva Bispo"
NA,"030000","258","1","CMB","00:00 às 23:00","Janice Izabel Druzian"
NA,"040000","258","1","CMB","00:00 às 23:00","Jose Antonio Menezes Filho"
NA,"050000","258","2","CMB","00:00 às 23:00","Docente não informado pelo Departamento"
NA,"060000","258","1","CMB","00:00 às 23:00","Maria Eugenia de Oliveira Mamede"
NA,"070000","258","2","CMB","00:00 às 23:00","Docente Convênio"
NA,"080000","258","1","CMB","00:00 às 23:00","Docente Convênio"
NA,"090000","258","2","CMB","00:00 às 23:00","Docente não informado pelo Departamento"
NA,"100000","258","1","CMB","00:00 às 23:00","Sergio Eduardo Soares"
