"Disciplina","Turma","Coleg.","Vagas Ofe","Dia","Horário","Docente"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"FCC001 - CONTABILIDADE GERAL I","010000","116","4","TER","08:50 às 10:40","Sonia Maria da Silva Gomes"
NA,NA,"112","15",NA,NA,"Sonia Maria da Silva Gomes"
NA,NA,"308","3",NA,NA,"Sonia Maria da Silva Gomes"
NA,NA,"327","5",NA,NA,"Sonia Maria da Silva Gomes"
NA,NA,"226","5",NA,NA,"Sonia Maria da Silva Gomes"
NA,NA,NA,NA,"QUI","08:50 às 10:40","Sonia Maria da Silva Gomes"
NA,NA,"116","4",NA,NA,"Sonia Maria da Silva Gomes"
NA,NA,"112","15",NA,NA,"Sonia Maria da Silva Gomes"
NA,NA,"308","3",NA,NA,"Sonia Maria da Silva Gomes"
NA,NA,"327","5",NA,NA,"Sonia Maria da Silva Gomes"
NA,"020000","189","5","TER","18:30 às 20:20","Docente Concursado"
NA,NA,"286","5",NA,NA,"Docente Concursado"
NA,NA,"382","5",NA,NA,"Docente Concursado"
NA,NA,"387","5",NA,NA,"Docente Concursado"
NA,NA,"116","5",NA,NA,"Docente Concursado"
NA,NA,NA,NA,"QUI","18:30 às 20:20","Docente Concursado"
NA,NA,"387","5",NA,NA,"Docente Concursado"
NA,NA,"189","5",NA,NA,"Docente Concursado"
NA,NA,"286","5",NA,NA,"Docente Concursado"
NA,NA,"382","5",NA,NA,"Docente Concursado"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"FCC009 - AUDITORIA I","010000","301","15","TER","07:00 às 08:50","Eduardo Tadeu Santana"
NA,NA,"304","35",NA,NA,"Eduardo Tadeu Santana"
NA,NA,"301","15","QUI","07:00 às 08:50","Eduardo Tadeu Santana"
NA,NA,"304","35",NA,NA,"Eduardo Tadeu Santana"
NA,"020000","304","35","SEG","08:50 às 10:40","Eduardo Tadeu Santana"
NA,NA,"301","15",NA,NA,"Eduardo Tadeu Santana"
NA,NA,"304","35","QUA","08:50 às 10:40","Eduardo Tadeu Santana"
NA,NA,"301","15",NA,NA,"Eduardo Tadeu Santana"
NA,"030000","380","40","TER","20:20 às 22:10","Henrique Fonseca de Cabirta"
NA,NA,"301","10",NA,NA,"Henrique Fonseca de Cabirta"
NA,NA,NA,NA,"QUI","20:20 às 22:10","Henrique Fonseca de Cabirta"
NA,NA,"380","40",NA,NA,"Henrique Fonseca de Cabirta"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"FCC010 - AUDITORIA II","010000","304","40","TER","08:50 às 10:40","Eduardo Tadeu Santana"
NA,NA,"305","5",NA,NA,"Eduardo Tadeu Santana"
NA,NA,"304","40","QUI","08:50 às 10:40","Eduardo Tadeu Santana"
NA,NA,"305","5",NA,NA,"Eduardo Tadeu Santana"
NA,"020000","380","15","TER","18:30 às 20:20","Henrique Fonseca de Cabirta"
NA,NA,"304","10",NA,NA,"Henrique Fonseca de Cabirta"
NA,NA,"380","15","QUI","18:30 às 20:20","Henrique Fonseca de Cabirta"
NA,NA,"304","10",NA,NA,"Henrique Fonseca de Cabirta"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"FCC017 - ESTAGIO EM CONTABILIDADE","000010","304","10","CMB","00:00 às 23:00","Audrey Jones de Souza"
NA,"000020","304","10","CMB","00:00 às 23:00","Josemar Oliveira Lopes de Jesus"
NA,"000030","304","10","CMB","00:00 às 23:00","Ubirata Batista Pereira"
NA,"000040","380","10","CMB","00:00 às 23:00","Franklin Carlos Cruz da Silva"
NA,"000050","380","10","CMB","00:00 às 23:00","Marineia Almeida dos Santos"
NA,"000060","380","10","CMB","00:00 às 23:00","Henrique Fonseca de Cabirta"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"FCC019 - CONTABILIDADE E ANALISE DE BALANCO I","010000","305","45","TER","10:40 às 12:30","Docente Concursado"
NA,NA,NA,NA,"QUA","10:40 às 12:30","Docente Concursado"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"FCC020 - CONTABILIDADE ANAL.BALANCO II","010000","305","45","TER","13:00 às 14:50","Docente Concursado"
NA,NA,NA,NA,"QUI","13:00 às 14:50","Docente Concursado"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
