"Disciplina","Turma","Coleg.","Vagas Ofe","Dia","Horário","Docente"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"FCC001 - CONTABILIDADE GERAL I","010000","382","3","TER","07:00 às 08:50","Joseilton Silveira da Rocha"
NA,NA,"219","2",NA,NA,"Joseilton Silveira da Rocha"
NA,NA,"112","10",NA,NA,"Joseilton Silveira da Rocha"
NA,NA,"387","2",NA,NA,"Joseilton Silveira da Rocha"
NA,NA,"308","5",NA,NA,"Joseilton Silveira da Rocha"
NA,NA,"189","2",NA,NA,"Joseilton Silveira da Rocha"
NA,NA,"112","10","QUI","07:00 às 08:50","Joseilton Silveira da Rocha"
NA,NA,"387","2",NA,NA,"Joseilton Silveira da Rocha"
NA,NA,"189","2",NA,NA,"Joseilton Silveira da Rocha"
NA,NA,"382","3",NA,NA,"Joseilton Silveira da Rocha"
NA,NA,"308","5",NA,NA,"Joseilton Silveira da Rocha"
NA,NA,"219","2",NA,NA,"Joseilton Silveira da Rocha"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"FCC009 - AUDITORIA I","010000","380","5","SEG","10:40 às 12:30","Jorge de Souza Bispo"
NA,NA,"301","10",NA,NA,"Jorge de Souza Bispo"
NA,NA,"304","40",NA,NA,"Jorge de Souza Bispo"
NA,NA,"301","10","QUA","10:40 às 12:30","Jorge de Souza Bispo"
NA,NA,"380","5",NA,NA,"Jorge de Souza Bispo"
NA,NA,"304","40",NA,NA,"Jorge de Souza Bispo"
NA,"020000","380","25","TER","18:30 às 20:20","Henrique Fonseca de Cabirta"
NA,NA,"301","5",NA,NA,"Henrique Fonseca de Cabirta"
NA,NA,"304","20",NA,NA,"Henrique Fonseca de Cabirta"
NA,NA,"301","5","QUI","18:30 às 20:20","Henrique Fonseca de Cabirta"
NA,NA,"380","25",NA,NA,"Henrique Fonseca de Cabirta"
NA,NA,"304","20",NA,NA,"Henrique Fonseca de Cabirta"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"FCC010 - AUDITORIA II","010000","304","40","TER","07:00 às 08:50","Celia Oliveira de Jesus Sacramento"
NA,NA,"380","5",NA,NA,"Celia Oliveira de Jesus Sacramento"
NA,NA,NA,NA,"QUI","07:00 às 08:50","Celia Oliveira de Jesus Sacramento"
NA,NA,"304","40",NA,NA,"Celia Oliveira de Jesus Sacramento"
NA,"020000","304","20","TER","18:30 às 20:20","Tania Regina Pinto Sousa"
NA,NA,"380","25",NA,NA,"Tania Regina Pinto Sousa"
NA,NA,NA,NA,"QUI","18:30 às 20:20","Tania Regina Pinto Sousa"
NA,NA,"304","20",NA,NA,"Tania Regina Pinto Sousa"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"FCC015 - CONTABILIDADE RURAL","010000","219","5","TER","10:40 às 12:30","Elcimar de Oliveira Lima"
NA,NA,"304","40",NA,NA,"Elcimar de Oliveira Lima"
NA,NA,"380","5",NA,NA,"Elcimar de Oliveira Lima"
NA,NA,"219","5","QUI","10:40 às 12:30","Elcimar de Oliveira Lima"
NA,NA,"304","40",NA,NA,"Elcimar de Oliveira Lima"
NA,NA,"380","5",NA,NA,"Elcimar de Oliveira Lima"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"FCC017 - ESTAGIO EM CONTABILIDADE","000001","304","10","CMB","00:00 às 23:00","Elcimar de Oliveira Lima"
NA,"000002","304","10","CMB","00:00 às 23:00","Josemar Oliveira Lopes de Jesus"
NA,"000003","304","10","CMB","00:00 às 23:00","Jose Maria Dias Filho"
NA,"000004","304","10","CMB","00:00 às 23:00","Auristela Felix de Oliveira Teodoro"
NA,"000005","304","10","CMB","00:00 às 23:00","Ronaldo Pesente"
NA,"000006","304","10","CMB","00:00 às 23:00","Docente Substituto a Contratar"
NA,"000007","380","7","CMB","00:00 às 23:00","Henrique Fonseca de Cabirta"
NA,"000008","380","7","CMB","00:00 às 23:00","Marineia Almeida dos Santos"
NA,"000009","380","7","CMB","00:00 às 23:00","Celso Tavares Ferreira"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"FCC019 - CONTABILIDADE E ANALISE DE BALANCO I","010000","190","1","TER","08:50 às 10:40","Elcimar de Oliveira Lima"
NA,NA,"305","45",NA,NA,"Elcimar de Oliveira Lima"
NA,NA,"190","1","QUI","08:50 às 10:40","Elcimar de Oliveira Lima"
NA,NA,"305","45",NA,NA,"Elcimar de Oliveira Lima"
