"Disciplina","Turma","Coleg.","Vagas Ofe","Dia","Horário","Docente"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"FCH001 - INTRODUÇÃO À FILOSOFIA","010000","387","20","QUA","10:40 às 12:30","Camila de Souza Ezidio"
NA,NA,"314","40",NA,NA,"Camila de Souza Ezidio"
NA,NA,NA,NA,"SEX","10:40 às 12:30","Camila de Souza Ezidio"
NA,NA,"387","20",NA,NA,"Camila de Souza Ezidio"
NA,"020000","226","2","QUI","07:00 às 08:50","Docente Substituto a Contratar"
NA,NA,"190","8",NA,NA,"Docente Substituto a Contratar"
NA,NA,"189","10",NA,NA,"Docente Substituto a Contratar"
NA,NA,"305","40",NA,NA,"Docente Substituto a Contratar"
NA,NA,"190","8","SEX","07:00 às 08:50","Docente Substituto a Contratar"
NA,NA,"305","40",NA,NA,"Docente Substituto a Contratar"
NA,NA,"226","2",NA,NA,"Docente Substituto a Contratar"
NA,NA,"189","10",NA,NA,"Docente Substituto a Contratar"
NA,"030000","308","60","SEG","07:00 às 08:50","Camila de Souza Ezidio"
NA,NA,"315","5",NA,NA,"Camila de Souza Ezidio"
NA,NA,NA,NA,"QUA","07:00 às 08:50","Camila de Souza Ezidio"
NA,NA,"308","60",NA,NA,"Camila de Souza Ezidio"
NA,"040000","310","8","SEG","08:50 às 10:40","Carlota Maria Ibertis de Lassalle Casana"
NA,NA,"313","45",NA,NA,"Carlota Maria Ibertis de Lassalle Casana"
NA,NA,"327","7",NA,NA,"Carlota Maria Ibertis de Lassalle Casana"
NA,NA,"310","8","QUA","08:50 às 10:40","Carlota Maria Ibertis de Lassalle Casana"
NA,NA,"313","45",NA,NA,"Carlota Maria Ibertis de Lassalle Casana"
NA,NA,"327","7",NA,NA,"Carlota Maria Ibertis de Lassalle Casana"
NA,"050000","308","60","SEG","08:50 às 10:40","Daniel Tourinho Peres"
NA,NA,"315","5",NA,NA,"Daniel Tourinho Peres"
NA,NA,"308","60","QUA","08:50 às 10:40","Daniel Tourinho Peres"
NA,NA,"315","5",NA,NA,"Daniel Tourinho Peres"
NA,"060000","306","50","SEG","08:50 às 10:40","Docente Substituto a Contratar"
NA,NA,"327","5",NA,NA,"Docente Substituto a Contratar"
NA,NA,NA,NA,"QUA","08:50 às 10:40","Docente Substituto a Contratar"
NA,NA,"306","50",NA,NA,"Docente Substituto a Contratar"
NA,"070000","327","5","SEG","18:30 às 20:20","Docente Substituto a Contratar"
NA,NA,"382","60",NA,NA,"Docente Substituto a Contratar"
NA,NA,NA,NA,"QUA","18:30 às 20:20","Docente Substituto a Contratar"
NA,NA,"327","5",NA,NA,"Docente Substituto a Contratar"
NA,"080000","382","60","SEG","20:20 às 22:10","Docente Substituto a Contratar"
NA,NA,"580","5",NA,NA,"Docente Substituto a Contratar"
NA,NA,"382","60","QUA","20:20 às 22:10","Docente Substituto a Contratar"
NA,NA,"580","5",NA,NA,"Docente Substituto a Contratar"
NA,"090000","387","15","SEX","07:55 às 09:45","Docente Substituto a Contratar"
NA,NA,"109","42",NA,NA,"Docente Substituto a Contratar"
NA,NA,"515","3",NA,NA,"Docente Substituto a Contratar"
NA,NA,NA,NA,NA,"09:45 às 11:35","Docente Substituto a Contratar"
NA,NA,"387","15",NA,NA,"Docente Substituto a Contratar"
NA,NA,"109","42",NA,NA,"Docente Substituto a Contratar"
NA,"100000","301","50","TER","07:00 às 08:50","Camila de Souza Ezidio"
NA,NA,NA,NA,"QUI","07:00 às 08:50","Camila de Souza Ezidio"
NA,"110000","311","3","TER","08:50 às 10:40","Ricardo Calheiros Pereira"
NA,NA,"306","50",NA,NA,"Ricardo Calheiros Pereira"
NA,NA,"311","3","QUI","08:50 às 10:40","Ricardo Calheiros Pereira"
NA,NA,"306","50",NA,NA,"Ricardo Calheiros Pereira"
NA,"120000","301","50","TER","08:50 às 10:40","Camila de Souza Ezidio"
NA,NA,NA,NA,"QUI","08:50 às 10:40","Camila de Souza Ezidio"
NA,"130000","305","40","TER","10:40 às 12:30","Docente Substituto a Contratar"
NA,NA,"304","5",NA,NA,"Docente Substituto a Contratar"
NA,NA,NA,NA,"QUI","10:40 às 12:30","Docente Substituto a Contratar"
NA,NA,"305","40",NA,NA,"Docente Substituto a Contratar"
NA,"140000","325","50","TER","13:00 às 14:50","Leonardo Jorge da Hora Pereira"
NA,NA,"304","2",NA,NA,"Leonardo Jorge da Hora Pereira"
NA,NA,"310","8",NA,NA,"Leonardo Jorge da Hora Pereira"
NA,NA,"304","2","QUI","13:00 às 14:50","Leonardo Jorge da Hora Pereira"
NA,NA,"310","8",NA,NA,"Leonardo Jorge da Hora Pereira"
NA,NA,"325","50",NA,NA,"Leonardo Jorge da Hora Pereira"
NA,"150000","304","10","SEG","18:30 às 20:20","Docente Substituto a Contratar"
NA,NA,"580","5",NA,NA,"Docente Substituto a Contratar"
NA,NA,"327","13",NA,NA,"Docente Substituto a Contratar"
NA,NA,"380","15",NA,NA,"Docente Substituto a Contratar"
NA,NA,"310","8",NA,NA,"Docente Substituto a Contratar"
NA,NA,"386","10",NA,NA,"Docente Substituto a Contratar"
NA,NA,"580","5","QUA","18:30 às 20:20","Docente Substituto a Contratar"
