"Disciplina","Turma","Coleg.","Vagas Ofe","Dia","Horário","Docente"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"FIS006 - MECANICA  GERAL TEORICA II","010100","181","3","SEG","13:00 às 14:50","Mario Cezar Ferreira Gomes Bertin"
NA,NA,"108","17",NA,NA,"Mario Cezar Ferreira Gomes Bertin"
NA,NA,NA,NA,"QUA","13:00 às 14:50","Mario Cezar Ferreira Gomes Bertin"
NA,NA,"181","3",NA,NA,"Mario Cezar Ferreira Gomes Bertin"
NA,NA,NA,NA,"SEX","13:00 às 14:50","Mario Cezar Ferreira Gomes Bertin"
NA,NA,"108","17",NA,NA,"Mario Cezar Ferreira Gomes Bertin"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"FIS007 - TERMODINAMICA","010100","108","17","TER","08:50 às 10:40","Julio Augusto Guedes"
NA,NA,"181","17",NA,NA,"Julio Augusto Guedes"
NA,NA,"108","17","QUI","08:50 às 10:40","Julio Augusto Guedes"
NA,NA,"181","17",NA,NA,"Julio Augusto Guedes"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"FIS100 - INTRODUCAO  A  MECANICA  ESTATISTICA","010100","108","17","TER","10:40 às 12:30","Frederico Vasconcelos Prudente"
NA,NA,"181","3",NA,NA,"Frederico Vasconcelos Prudente"
NA,NA,NA,NA,"QUI","09:45 às 12:30","Frederico Vasconcelos Prudente"
NA,NA,"108","17",NA,NA,"Frederico Vasconcelos Prudente"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"FIS101 - ESTRUTURA  DA MATERIA  I","010100","108","8","SEG","14:50 às 16:40","Marcus Vinicius Santos da Silva"
NA,NA,"181","4",NA,NA,"Marcus Vinicius Santos da Silva"
NA,NA,"108","8","QUA","14:50 às 16:40","Thierry Jacques Lemaire"
NA,NA,"181","4",NA,NA,"Thierry Jacques Lemaire"
NA,NA,"108","8","SEX","14:50 às 16:40","Thierry Jacques Lemaire"
NA,NA,"181","4",NA,NA,"Thierry Jacques Lemaire"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"FIS103 - INTRODUCAO MECANICA QUANTICA","010100","181","5","TER","07:55 às 10:40","Frederico Vasconcelos Prudente"
NA,NA,"226","1",NA,NA,"Frederico Vasconcelos Prudente"
NA,NA,"108","15",NA,NA,"Frederico Vasconcelos Prudente"
NA,NA,NA,NA,"QUI","07:55 às 09:45","Frederico Vasconcelos Prudente"
NA,NA,"226","1",NA,NA,"Frederico Vasconcelos Prudente"
NA,NA,"181","5",NA,NA,"Frederico Vasconcelos Prudente"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"FIS105 - RELATIVIDADE RESTRITA","010100","181","5","TER","08:50 às 10:40","Ricardo Carneiro de Miranda Filho"
NA,NA,"108","15",NA,NA,"Ricardo Carneiro de Miranda Filho"
NA,NA,"181","5","QUI","08:50 às 10:40","Ricardo Carneiro de Miranda Filho"
NA,NA,"108","15",NA,NA,"Ricardo Carneiro de Miranda Filho"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"FIS108 - ELETROMAGNETISMO II","010100","108","16","SEG","10:40 às 12:30","Newton Barros de Oliveira"
NA,NA,"181","4",NA,NA,"Newton Barros de Oliveira"
NA,NA,NA,NA,"QUA","10:40 às 12:30","Newton Barros de Oliveira"
NA,NA,"108","16",NA,NA,"Newton Barros de Oliveira"
NA,NA,"181","4","SEX","10:40 às 12:30","Newton Barros de Oliveira"
NA,NA,"108","16",NA,NA,"Newton Barros de Oliveira"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"FIS109 - ELETRONICA I","010100","181","4","SEG","14:50 às 16:40","Newton Barros de Oliveira"
NA,NA,"108","16",NA,NA,"Newton Barros de Oliveira"
NA,NA,"181","4","QUA","14:50 às 16:40","Newton Barros de Oliveira"
NA,NA,"108","16",NA,NA,"Newton Barros de Oliveira"
NA,NA,"181","4","SEX","14:50 às 16:40","Newton Barros de Oliveira"
NA,NA,"108","16",NA,NA,"Newton Barros de Oliveira"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
