"Disciplina","Turma","Coleg.","Vagas Ofe","Dia","Horário","Docente"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"FIS005 - MECANICA  GERAL TEORICA I","010100","108","20","SEG","13:00 às 14:50","Esdras Santana dos Santos"
NA,NA,"181","15",NA,NA,"Esdras Santana dos Santos"
NA,NA,NA,NA,"QUA","13:00 às 14:50","Esdras Santana dos Santos"
NA,NA,"108","20",NA,NA,"Esdras Santana dos Santos"
NA,NA,"181","15","SEX","13:00 às 14:50","Esdras Santana dos Santos"
NA,NA,"108","20",NA,NA,"Esdras Santana dos Santos"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"FIS100 - INTRODUCAO  A  MECANICA  ESTATISTICA","010100","181","10","TER","10:40 às 12:30","Frederico Vasconcelos Prudente"
NA,NA,"108","15",NA,NA,"Frederico Vasconcelos Prudente"
NA,NA,"181","10","QUI","09:45 às 12:30","Frederico Vasconcelos Prudente"
NA,NA,"108","15",NA,NA,"Frederico Vasconcelos Prudente"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"FIS101 - ESTRUTURA  DA MATERIA  I","010100","108","1","SEG","18:30 às 20:20","Ricardo dos Reis Teixeira Marinho"
NA,NA,"181","11",NA,NA,"Ricardo dos Reis Teixeira Marinho"
NA,NA,NA,NA,"QUA","18:30 às 20:20","Thierry Jacques Lemaire"
NA,NA,"108","1",NA,NA,"Thierry Jacques Lemaire"
NA,NA,NA,NA,"SEX","18:30 às 20:20","Thierry Jacques Lemaire"
NA,NA,"181","11",NA,NA,"Thierry Jacques Lemaire"
NA,"010200","108","10","SEG","14:50 às 16:40","Ricardo dos Reis Teixeira Marinho"
NA,NA,NA,NA,"QUA","18:30 às 20:20","Thierry Jacques Lemaire"
NA,NA,NA,NA,"SEX","18:30 às 20:20","Thierry Jacques Lemaire"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"FIS102 - ESTRUTURA DA MATERIA II","010100","181","5","SEG","14:50 às 16:40","Roberto Rivelino de Melo Moreno"
NA,NA,"108","15",NA,NA,"Roberto Rivelino de Melo Moreno"
NA,NA,"181","5","QUA","14:50 às 16:40","Roberto Rivelino de Melo Moreno"
NA,NA,"108","15",NA,NA,"Roberto Rivelino de Melo Moreno"
NA,NA,"181","5","SEX","14:50 às 16:40","Roberto Rivelino de Melo Moreno"
NA,NA,"108","15",NA,NA,"Roberto Rivelino de Melo Moreno"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"FIS103 - INTRODUCAO MECANICA QUANTICA","010100","181","7","TER","07:55 às 10:40","Raimundo Muniz Teixeira Filho"
NA,NA,"108","15",NA,NA,"Raimundo Muniz Teixeira Filho"
NA,NA,"181","7","QUI","07:55 às 09:45","Raimundo Muniz Teixeira Filho"
NA,NA,"108","15",NA,NA,"Raimundo Muniz Teixeira Filho"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"FIS107 - ELETROMAGNETISMO I","010100","181","10","SEG","10:40 às 12:30","Newton Barros de Oliveira"
NA,NA,"108","25",NA,NA,"Newton Barros de Oliveira"
NA,NA,NA,NA,"QUA","10:40 às 12:30","Newton Barros de Oliveira"
NA,NA,"181","10",NA,NA,"Newton Barros de Oliveira"
NA,NA,NA,NA,"SEX","10:40 às 12:30","Newton Barros de Oliveira"
NA,NA,"108","25",NA,NA,"Newton Barros de Oliveira"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"FIS110 - ELETRONICA II","010100","181","4","SEG","14:50 às 16:40","Newton Barros de Oliveira"
NA,NA,"108","8",NA,NA,"Newton Barros de Oliveira"
NA,NA,"181","4","QUA","14:50 às 16:40","Raimundo Muniz Teixeira Filho"
NA,NA,"108","8",NA,NA,"Raimundo Muniz Teixeira Filho"
NA,NA,"181","4","SEX","14:50 às 16:40","Raimundo Muniz Teixeira Filho"
NA,NA,"108","8",NA,NA,"Raimundo Muniz Teixeira Filho"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"FIS112 - EVOLUCAO DA FISICA","010000","209","5","SEG","18:30 às 20:20","Antonio Ferreira da Silva"
