"Disciplina","Turma","Coleg.","Vagas Ofe","Dia","Horário","Docente"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"FOF527 - BIOESTATISTICA","010000","800","30","CMB","00:00 às 23:00","Andreia Cristina Leal Figueiredo"
NA,NA,"290","25",NA,NA,"Andreia Cristina Leal Figueiredo"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"FOF528 - BIOETICA","010100","800","10","CMB","00:00 às 23:00","Maria Cristina Teixeira Cangussu"
NA,NA,"290","25",NA,NA,"Maria Cristina Teixeira Cangussu"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"FOF790 - PESQUISA ORIENTADA","010000","800","50","CMB","00:00 às 23:00","Maria Isabel Pereira Vianna"
NA,NA,"290","25",NA,NA,"Maria Isabel Pereira Vianna"
NA,NA,NA,NA,NA,NA,"Luciana Maria Pedreira Ramalho"
NA,NA,"800","50",NA,NA,"Luciana Maria Pedreira Ramalho"
NA,NA,NA,NA,NA,NA,"Viviane Almeida Sarmento"
NA,NA,"290","25",NA,NA,"Viviane Almeida Sarmento"
NA,NA,"800","50",NA,NA,"Maria Cristina Teixeira Cangussu"
NA,NA,"290","25",NA,NA,"Maria Cristina Teixeira Cangussu"
NA,NA,"800","50",NA,NA,"Jean Nunes dos Santos"
NA,NA,"290","25",NA,NA,"Jean Nunes dos Santos"
NA,NA,NA,NA,NA,NA,"Aguida Cristina Gomes Henriques Leitao"
NA,NA,"800","50",NA,NA,"Aguida Cristina Gomes Henriques Leitao"
NA,NA,"290","25",NA,NA,"Fabiola Bastos de Carvalho"
NA,NA,"800","50",NA,NA,"Fabiola Bastos de Carvalho"
NA,NA,NA,NA,NA,NA,"Patricia Ramos Cury"
NA,NA,"290","25",NA,NA,"Patricia Ramos Cury"
NA,NA,"800","50",NA,NA,"Flavia Calo de Aquino Xavier"
NA,NA,"290","25",NA,NA,"Flavia Calo de Aquino Xavier"
NA,NA,"800","50",NA,NA,"Johelle de Santana Passos Soares"
NA,NA,"290","25",NA,NA,"Johelle de Santana Passos Soares"
NA,NA,"800","50",NA,NA,"Andreia Cristina Leal Figueiredo"
NA,NA,"290","25",NA,NA,"Andreia Cristina Leal Figueiredo"
NA,NA,"800","50",NA,NA,"Marcos Alan Vieira Bittencourt"
NA,NA,"290","25",NA,NA,"Marcos Alan Vieira Bittencourt"
NA,NA,"800","50",NA,NA,"Ieda Margarida Crusoe Rocha Rebello"
NA,NA,"290","25",NA,NA,"Ieda Margarida Crusoe Rocha Rebello"
NA,NA,NA,NA,NA,NA,"Frederico Sampaio Neves"
NA,NA,"800","50",NA,NA,"Frederico Sampaio Neves"
NA,NA,NA,NA,NA,NA,"Clarissa Araujo Gurgel Rocha"
NA,NA,"290","25",NA,NA,"Clarissa Araujo Gurgel Rocha"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"FOFA54 - PLANEJAMENTO EXPERIMENTAL E METODOLOGIA","010100","800","30","CMB","00:00 às 23:00","Patricia Ramos Cury"
NA,NA,"290","25",NA,NA,"Patricia Ramos Cury"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"FOFA70 - DEFESA DE TESE","010000","800","5","CMB","00:00 às 23:00","Jean Nunes dos Santos"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"FOFB35 - PRINCÍPIOS DE BIOFOTÔNICA","010000","800","30","CMB","00:00 às 23:00","Fabiola Bastos de Carvalho"
NA,NA,"290","25",NA,NA,"Fabiola Bastos de Carvalho"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"FOFB37 - PUBLICAÇÃO CIENTIFICA","010000","800","5","CMB","00:00 às 23:00","Jean Nunes dos Santos"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"FOFB38 - TÓPICOS EM ESTOMATOPATOLOGIA","010000","290","25","CMB","00:00 às 23:00","Flavia Calo de Aquino Xavier"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
