"Disciplina","Turma","Coleg.","Vagas Ofe","Dia","Horário","Docente"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"FOF001 - PATOLOGIA I","010100","208","35","QUA","07:00 às 07:55","Jean Nunes dos Santos"
NA,NA,NA,NA,NA,NA,"Clarissa Araujo Gurgel Rocha"
NA,NA,NA,NA,"SEX","07:55 às 09:45","Jean Nunes dos Santos"
NA,NA,NA,NA,NA,NA,"Clarissa Araujo Gurgel Rocha"
NA,NA,NA,NA,NA,"09:45 às 11:35","Jean Nunes dos Santos"
NA,"010200","208","35","QUA","07:00 às 07:55","Jean Nunes dos Santos"
NA,NA,NA,NA,NA,NA,"Clarissa Araujo Gurgel Rocha"
NA,NA,NA,NA,"SEX","07:55 às 09:45","Jean Nunes dos Santos"
NA,NA,NA,NA,NA,NA,"Clarissa Araujo Gurgel Rocha"
NA,NA,NA,NA,NA,"09:45 às 11:35","Clarissa Araujo Gurgel Rocha"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"FOF002 - HISTOLOGIA BUCAL AVANCADA","010100","208","18","SEG","13:55 às 15:45","Aguida Cristina Gomes Henriques Leitao"
NA,NA,NA,NA,"QUA","10:40 às 11:35","Flavia Calo de Aquino Xavier"
NA,NA,NA,NA,"SEX","10:40 às 12:30","Aguida Cristina Gomes Henriques Leitao"
NA,"010200","208","16","SEG","15:45 às 17:35","Aguida Cristina Gomes Henriques Leitao"
NA,NA,NA,NA,"QUA","10:40 às 11:35","Flavia Calo de Aquino Xavier"
NA,NA,NA,NA,"SEX","10:40 às 12:30","Aguida Cristina Gomes Henriques Leitao"
NA,"010300","208","16","QUA","10:40 às 11:35","Flavia Calo de Aquino Xavier"
NA,NA,NA,NA,NA,"13:55 às 15:45","Flavia Calo de Aquino Xavier"
NA,NA,NA,NA,"SEX","10:40 às 12:30","Aguida Cristina Gomes Henriques Leitao"
NA,"010400","286","16","QUA","10:40 às 11:35","Flavia Calo de Aquino Xavier"
NA,NA,NA,NA,NA,"15:45 às 17:35","Flavia Calo de Aquino Xavier"
NA,NA,NA,NA,"SEX","10:40 às 12:30","Aguida Cristina Gomes Henriques Leitao"
NA,"010500","208","16","QUA","10:40 às 11:35","Flavia Calo de Aquino Xavier"
NA,NA,NA,NA,"QUI","13:55 às 15:45","Manoela Carrera Martinez Cavalcante Pere"
NA,NA,NA,NA,"SEX","10:40 às 12:30","Aguida Cristina Gomes Henriques Leitao"
NA,"010600","208","18","QUA","10:40 às 11:35","Flavia Calo de Aquino Xavier"
NA,NA,NA,NA,"QUI","15:45 às 17:35","Aguida Cristina Gomes Henriques Leitao"
NA,NA,NA,NA,"SEX","10:40 às 12:30","Aguida Cristina Gomes Henriques Leitao"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"FOF003 - PATOLOGIA II","010100","208","17","TER","07:00 às 08:50","Jean Nunes dos Santos"
NA,NA,NA,NA,NA,"13:00 às 14:50","Luciana Maria Pedreira Ramalho"
NA,NA,NA,NA,NA,NA,"Jean Nunes dos Santos"
NA,NA,NA,NA,NA,NA,"Flavia Calo de Aquino Xavier"
NA,NA,NA,NA,"QUI","13:00 às 13:55","Luciana Maria Pedreira Ramalho"
NA,NA,NA,NA,NA,NA,"Jean Nunes dos Santos"
NA,NA,NA,NA,NA,NA,"Flavia Calo de Aquino Xavier"
NA,"010200","208","17","TER","08:50 às 10:40","Jean Nunes dos Santos"
NA,NA,NA,NA,NA,"13:00 às 14:50","Luciana Maria Pedreira Ramalho"
NA,NA,NA,NA,NA,NA,"Jean Nunes dos Santos"
NA,NA,NA,NA,NA,NA,"Flavia Calo de Aquino Xavier"
NA,NA,NA,NA,"QUI","13:00 às 13:55","Luciana Maria Pedreira Ramalho"
NA,NA,NA,NA,NA,NA,"Jean Nunes dos Santos"
NA,NA,NA,NA,NA,NA,"Flavia Calo de Aquino Xavier"
NA,"010300","208","16","TER","13:00 às 14:50","Luciana Maria Pedreira Ramalho"
NA,NA,NA,NA,NA,NA,"Jean Nunes dos Santos"
NA,NA,NA,NA,NA,NA,"Flavia Calo de Aquino Xavier"
NA,NA,NA,NA,"QUI","07:00 às 08:50","Luciana Maria Pedreira Ramalho"
NA,NA,NA,NA,NA,"13:00 às 13:55","Luciana Maria Pedreira Ramalho"
NA,NA,NA,NA,NA,NA,"Jean Nunes dos Santos"
NA,NA,NA,NA,NA,NA,"Flavia Calo de Aquino Xavier"
NA,"010400","208","17","TER","13:00 às 14:50","Luciana Maria Pedreira Ramalho"
NA,NA,NA,NA,NA,NA,"Jean Nunes dos Santos"
NA,NA,NA,NA,NA,NA,"Flavia Calo de Aquino Xavier"
NA,NA,NA,NA,"QUI","08:50 às 10:40","Luciana Maria Pedreira Ramalho"
NA,NA,NA,NA,NA,"13:00 às 13:55","Luciana Maria Pedreira Ramalho"
NA,NA,NA,NA,NA,NA,"Jean Nunes dos Santos"
