"Disciplina","Turma","Coleg.","Vagas Ofe","Dia","Horário","Docente"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"GEO004 - GEOLOGIA GERAL I","010100","327","1","SEG","08:50 às 11:35","Tatiana Silva Ribeiro"
NA,NA,"107","16",NA,NA,"Tatiana Silva Ribeiro"
NA,NA,"189","1",NA,NA,"Tatiana Silva Ribeiro"
NA,NA,"190","1",NA,NA,"Tatiana Silva Ribeiro"
NA,NA,"189","1","QUA","08:50 às 11:35","Olga Maria Fragueiro Otero"
NA,NA,"327","1",NA,NA,"Olga Maria Fragueiro Otero"
NA,NA,"107","16",NA,NA,"Olga Maria Fragueiro Otero"
NA,NA,"190","1",NA,NA,"Olga Maria Fragueiro Otero"
NA,"020200","103","15","TER","13:00 às 15:45","Ronaldo Montenegro Barbosa"
NA,NA,NA,NA,"QUI","13:00 às 15:45","Ronaldo Montenegro Barbosa"
NA,"020300","286","5","TER","13:00 às 15:45","Ronaldo Montenegro Barbosa"
NA,NA,"190","7",NA,NA,"Ronaldo Montenegro Barbosa"
NA,NA,"189","8",NA,NA,"Ronaldo Montenegro Barbosa"
NA,NA,NA,NA,"SEX","13:00 às 15:45","Ronaldo Montenegro Barbosa"
NA,NA,"190","7",NA,NA,"Ronaldo Montenegro Barbosa"
NA,NA,"286","5",NA,NA,"Ronaldo Montenegro Barbosa"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"GEO005 - GEOLOGIA GERAL II","010100","103","15","SEG","13:00 às 15:45","Vilson Marques Dias"
NA,NA,"190","1",NA,NA,"Vilson Marques Dias"
NA,NA,NA,NA,"QUA","13:00 às 15:45","Tatiana Silva Ribeiro"
NA,NA,"103","15",NA,NA,"Tatiana Silva Ribeiro"
NA,"010200","103","15","SEG","13:00 às 15:45","Vilson Marques Dias"
NA,NA,"189","1",NA,NA,"Vilson Marques Dias"
NA,NA,NA,NA,"SEX","13:00 às 15:45","Tatiana Silva Ribeiro"
NA,NA,"103","15",NA,NA,"Tatiana Silva Ribeiro"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"GEO023 - GEOCIENCIAS","010100","327","5","TER","13:00 às 14:50","Junia Kacenelenbogen Guimaraes"
NA,NA,"209","45",NA,NA,"Junia Kacenelenbogen Guimaraes"
NA,NA,"189","1",NA,NA,"Junia Kacenelenbogen Guimaraes"
NA,NA,"327","5","QUI","14:50 às 17:35","Junia Kacenelenbogen Guimaraes"
NA,NA,"189","1",NA,NA,"Junia Kacenelenbogen Guimaraes"
NA,NA,"209","45",NA,NA,"Junia Kacenelenbogen Guimaraes"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"GEO024 - PALEONTOLOGIA","010100","280","15","TER","18:30 às 20:20","Alex Christian Rohrig Hubbe"
NA,NA,NA,NA,NA,"20:20 às 22:10","Alex Christian Rohrig Hubbe"
NA,"020200","202","15","QUA","07:00 às 08:50","Simone Souza de Moraes"
NA,NA,NA,NA,NA,"08:50 às 10:40","Simone Souza de Moraes"
NA,"020300","202","15","QUA","07:00 às 08:50","Simone Souza de Moraes"
NA,NA,"189","1",NA,NA,"Simone Souza de Moraes"
NA,NA,NA,NA,NA,"10:40 às 12:30","Alex Christian Rohrig Hubbe"
NA,NA,"202","15",NA,NA,"Alex Christian Rohrig Hubbe"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"GEO035 - TEORIA DA GEOGRAFIA","010000","109","40","QUI","07:55 às 09:45","Antonio Angelo Martins da Fonseca"
NA,NA,NA,NA,NA,"09:45 às 11:35","Antonio Angelo Martins da Fonseca"
NA,"020000","189","1","SEG","18:30 às 20:20","Claudemiro Ferreira da Cruz Neto"
NA,NA,"182","35",NA,NA,"Claudemiro Ferreira da Cruz Neto"
NA,NA,"387","5",NA,NA,"Claudemiro Ferreira da Cruz Neto"
NA,NA,"189","1",NA,"20:20 às 22:10","Claudemiro Ferreira da Cruz Neto"
NA,NA,"387","5",NA,NA,"Claudemiro Ferreira da Cruz Neto"
NA,NA,"182","35",NA,NA,"Claudemiro Ferreira da Cruz Neto"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"GEO037 - GEOGRAFIA  DA CIDADE DO SALVADOR","010000","226","5","QUA","13:55 às 15:45","Climaco Cesar Siqueira Dias"
NA,NA,"190","2",NA,NA,"Climaco Cesar Siqueira Dias"
NA,NA,"387","5",NA,NA,"Climaco Cesar Siqueira Dias"
