"Disciplina","Turma","Coleg.","Vagas Ofe","Dia","Horário","Docente"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"HACA01 - ESTUDOS SOBRE A CONTEMPORANEIDADE I","010000","282","50","SEX","18:30 às 22:10","Docente Substituto Mantido"
NA,"020000","190","8","SEX","13:00 às 16:40","Sheila Canevacci Ribeiro"
NA,NA,"515","29",NA,NA,"Sheila Canevacci Ribeiro"
NA,NA,"506","1",NA,NA,"Sheila Canevacci Ribeiro"
NA,NA,"226","8",NA,NA,"Sheila Canevacci Ribeiro"
NA,NA,"327","8",NA,NA,"Sheila Canevacci Ribeiro"
NA,"030000","580","38","SEX","18:30 às 22:10","Jaqueline Reis Vasconcellos"
NA,NA,"286","5",NA,NA,"Jaqueline Reis Vasconcellos"
NA,NA,"189","5",NA,NA,"Jaqueline Reis Vasconcellos"
NA,NA,"480","1",NA,NA,"Jaqueline Reis Vasconcellos"
NA,NA,"387","6",NA,NA,"Jaqueline Reis Vasconcellos"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"HACA02 - ELEMENTOS ACADÊMICOS E PROFISSIONAIS EM CIÊNCIA E TECNOLOGIA","010000","190","50","SEG","13:00 às 14:50","Beatriz Oliveira de Almeida Lima"
NA,NA,NA,NA,"QUA","13:00 às 14:50","Beatriz Oliveira de Almeida Lima"
NA,"020000","189","50","TER","18:30 às 20:20","Beatriz Oliveira de Almeida Lima"
NA,NA,NA,NA,"QUI","18:30 às 20:20","Beatriz Oliveira de Almeida Lima"
NA,"030000","189","50","TER","20:20 às 22:10","Beatriz Oliveira de Almeida Lima"
NA,NA,"286","2",NA,NA,"Beatriz Oliveira de Almeida Lima"
NA,NA,"226","1",NA,NA,"Beatriz Oliveira de Almeida Lima"
NA,NA,"189","50","QUI","20:20 às 22:10","Beatriz Oliveira de Almeida Lima"
NA,NA,"286","2",NA,NA,"Beatriz Oliveira de Almeida Lima"
NA,NA,"226","1",NA,NA,"Beatriz Oliveira de Almeida Lima"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"HACA03 - ESTUDOS DAS HUMANIDADES","010000","387","50","SEG","18:30 às 22:10","Leandro de Paula Santos"
NA,"020000","327","50","QUA","13:00 às 16:40","Francisco Antonio Zorzo"
NA,"030000","387","50","QUA","18:30 às 22:10","Andre Luis Mattedi Dias"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"HACA04 - AÇÃO ARTÍSTICA I","010100","515","25","QUA","13:00 às 14:50","Angelo Tavares Castro"
NA,NA,NA,NA,NA,"14:50 às 16:40","Angelo Tavares Castro"
NA,"020200","580","25","QUA","18:30 às 20:20","Ivan Maia de Mello"
NA,NA,NA,NA,NA,"20:20 às 22:10","Ivan Maia de Mello"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"HACA05 - POLÍTICAS CULTURAIS","010000","515","50","SEG","13:00 às 16:40","Jaqueline Reis Vasconcellos"
NA,"020000","580","50","SEG","18:30 às 22:10","Jaqueline Reis Vasconcellos"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"HACA07 - ARTES E MUNDO DIGITAL","010000","515","25","QUA","13:00 às 16:40","Karla Schuch Brunet"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"HACA09 - CIÊNCIA E TECNOLOGIA I","010000","190","50","QUA","16:40 às 18:30","Docente Substituto a Contratar"
NA,NA,NA,NA,"SEX","16:40 às 18:30","Docente Substituto a Contratar"
NA,"020000","189","50","SEG","18:30 às 20:20","Genaro Fernandes de Carvalho Costa"
NA,NA,"226","5",NA,NA,"Genaro Fernandes de Carvalho Costa"
NA,NA,"189","50","QUA","18:30 às 20:20","Genaro Fernandes de Carvalho Costa"
NA,NA,"226","5",NA,NA,"Genaro Fernandes de Carvalho Costa"
NA,"030000","189","50","SEG","18:30 às 20:20","Docente Substituto Mantido"
NA,NA,NA,NA,"QUA","18:30 às 20:20","Docente Substituto Mantido"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"HACA10 - INTRODUÇÃO AO CAMPO DA SAÚDE","010000","286","35","SEG","18:30 às 22:10","Vania Sampaio Alves"
