"Disciplina","Turma","Coleg.","Vagas Ofe","Dia","Horário","Docente"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"MAT045 - PROCESSAMENTO DE DADOS","010100","104","20","SEG","07:00 às 08:50","Gustavo Bittencourt Figueiredo"
NA,NA,"190","2",NA,NA,"Gustavo Bittencourt Figueiredo"
NA,NA,"102","25",NA,NA,"Gustavo Bittencourt Figueiredo"
NA,NA,"118","3",NA,NA,"Gustavo Bittencourt Figueiredo"
NA,NA,NA,NA,"QUA","07:00 às 08:50","Gustavo Bittencourt Figueiredo"
NA,NA,"104","20",NA,NA,"Gustavo Bittencourt Figueiredo"
NA,NA,"190","2",NA,NA,"Gustavo Bittencourt Figueiredo"
NA,NA,"102","25",NA,NA,"Gustavo Bittencourt Figueiredo"
NA,"020200","118","5","SEG","13:00 às 14:50","Gustavo Bittencourt Figueiredo"
NA,NA,"104","25",NA,NA,"Gustavo Bittencourt Figueiredo"
NA,NA,"116","1",NA,NA,"Gustavo Bittencourt Figueiredo"
NA,NA,"119","2",NA,NA,"Gustavo Bittencourt Figueiredo"
NA,NA,"102","2",NA,NA,"Gustavo Bittencourt Figueiredo"
NA,NA,"107","15",NA,NA,"Gustavo Bittencourt Figueiredo"
NA,NA,"104","25","QUA","13:00 às 14:50","Gustavo Bittencourt Figueiredo"
NA,NA,"102","2",NA,NA,"Gustavo Bittencourt Figueiredo"
NA,NA,"116","1",NA,NA,"Gustavo Bittencourt Figueiredo"
NA,NA,"119","2",NA,NA,"Gustavo Bittencourt Figueiredo"
NA,NA,"118","5",NA,NA,"Gustavo Bittencourt Figueiredo"
NA,NA,"107","15",NA,NA,"Gustavo Bittencourt Figueiredo"
NA,"030300","190","5","TER","14:50 às 16:40","Danilo Barbosa Coimbra"
NA,NA,"111","6",NA,NA,"Danilo Barbosa Coimbra"
NA,NA,"102","1",NA,NA,"Danilo Barbosa Coimbra"
NA,NA,"105","18",NA,NA,"Danilo Barbosa Coimbra"
NA,NA,"118","5",NA,NA,"Danilo Barbosa Coimbra"
NA,NA,"103","15",NA,NA,"Danilo Barbosa Coimbra"
NA,NA,"118","5","QUI","14:50 às 16:40","Danilo Barbosa Coimbra"
NA,NA,"105","18",NA,NA,"Danilo Barbosa Coimbra"
NA,NA,"102","1",NA,NA,"Danilo Barbosa Coimbra"
NA,NA,"190","5",NA,NA,"Danilo Barbosa Coimbra"
NA,NA,"111","6",NA,NA,"Danilo Barbosa Coimbra"
NA,NA,"103","15",NA,NA,"Danilo Barbosa Coimbra"
NA,"040400","881","4","TER","16:40 às 18:30","Eduardo Santana de Almeida"
NA,NA,"184","8",NA,NA,"Eduardo Santana de Almeida"
NA,NA,"118","5",NA,NA,"Eduardo Santana de Almeida"
NA,NA,"190","4",NA,NA,"Eduardo Santana de Almeida"
NA,NA,"102","15",NA,NA,"Eduardo Santana de Almeida"
NA,NA,"183","4",NA,NA,"Eduardo Santana de Almeida"
NA,NA,"105","10",NA,NA,"Eduardo Santana de Almeida"
NA,NA,"183","4","QUI","16:40 às 18:30","Eduardo Santana de Almeida"
NA,NA,"881","4",NA,NA,"Eduardo Santana de Almeida"
NA,NA,"184","8",NA,NA,"Eduardo Santana de Almeida"
NA,NA,"190","4",NA,NA,"Eduardo Santana de Almeida"
NA,NA,"118","5",NA,NA,"Eduardo Santana de Almeida"
NA,NA,"105","10",NA,NA,"Eduardo Santana de Almeida"
NA,NA,"102","15",NA,NA,"Eduardo Santana de Almeida"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"MAT115 - INTRODUCAO AO PROCESSAMENTO DE DADOS","010100","209","10","TER","16:40 às 18:30","Diego Zabot"
NA,NA,"190","4",NA,NA,"Diego Zabot"
NA,NA,"109","10",NA,NA,"Diego Zabot"
NA,NA,"116","1",NA,NA,"Diego Zabot"
NA,NA,NA,NA,"QUI","16:40 às 18:30","Diego Zabot"
NA,NA,"109","10",NA,NA,"Diego Zabot"
NA,NA,"190","4",NA,NA,"Diego Zabot"
NA,NA,"209","10",NA,NA,"Diego Zabot"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"MAT174 - CÁLCULO NUMÉRICO  I","010100","108","10","SEG","14:50 às 16:40","Paul Denis Etienne Regnier"
NA,NA,"112","10",NA,NA,"Paul Denis Etienne Regnier"
NA,NA,"102","30",NA,NA,"Paul Denis Etienne Regnier"
NA,NA,"194","10",NA,NA,"Paul Denis Etienne Regnier"
NA,NA,"112","10","QUA","14:50 às 16:40","Paul Denis Etienne Regnier"
NA,NA,"102","30",NA,NA,"Paul Denis Etienne Regnier"
NA,NA,"194","10",NA,NA,"Paul Denis Etienne Regnier"
NA,NA,"108","10",NA,NA,"Paul Denis Etienne Regnier"
NA,"020200","103","20","TER","07:00 às 08:50","Margarete Oliveira dos Santos de Sa"
NA,NA,"104","45",NA,NA,"Margarete Oliveira dos Santos de Sa"
