"Disciplina","Turma","Coleg.","Vagas Ofe","Dia","Horário","Docente"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"ICS001 - BIOFÍSICA I","010100","202","15","TER","14:50 às 16:40","Franciane Santos Marques"
NA,NA,NA,NA,"QUI","13:00 às 14:50","Franciane Santos Marques"
NA,"010200","209","8","TER","14:50 às 16:40","Franciane Santos Marques"
NA,NA,"202","8",NA,NA,"Franciane Santos Marques"
NA,NA,NA,NA,"QUI","14:50 às 16:40","Franciane Santos Marques"
NA,NA,"209","8",NA,NA,"Franciane Santos Marques"
NA,"010300","286","5","TER","14:50 às 16:40","Franciane Santos Marques"
NA,NA,"206","5",NA,NA,"Franciane Santos Marques"
NA,NA,"202","10",NA,NA,"Franciane Santos Marques"
NA,NA,"286","5","QUI","16:40 às 18:30","Franciane Santos Marques"
NA,NA,"202","10",NA,NA,"Franciane Santos Marques"
NA,NA,"206","5",NA,NA,"Franciane Santos Marques"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"ICS002 - BIOFISICA II","010100","206","5","SEG","08:50 às 10:40","Vilma Gomes Barreto de Melo"
NA,NA,NA,NA,"QUA","13:00 às 14:50","Vilma Gomes Barreto de Melo"
NA,"010200","206","25","SEG","08:50 às 10:40","Vilma Gomes Barreto de Melo"
NA,NA,NA,NA,"QUI","13:00 às 14:50","Vilma Gomes Barreto de Melo"
NA,"010300","206","25","SEG","08:50 às 10:40","Vilma Gomes Barreto de Melo"
NA,NA,NA,NA,"QUI","14:50 às 16:40","Vilma Gomes Barreto de Melo"
NA,"010400","206","25","SEG","08:50 às 10:40","Vilma Gomes Barreto de Melo"
NA,NA,NA,NA,"TER","13:00 às 14:50","Vilma Gomes Barreto de Melo"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"ICS007 - ANATOMIA I","010100","226","2","TER","07:00 às 08:50","Marion Alves do Nascimento"
NA,NA,"208","20",NA,NA,"Marion Alves do Nascimento"
NA,NA,NA,NA,NA,"08:50 às 10:40","Laise Monteiro Campos Moraes"
NA,NA,"226","2",NA,NA,"Laise Monteiro Campos Moraes"
NA,"010200","226","1","TER","07:00 às 08:50","Laise Monteiro Campos Moraes"
NA,NA,"208","20",NA,NA,"Laise Monteiro Campos Moraes"
NA,NA,"226","1",NA,"08:50 às 10:40","Laise Monteiro Campos Moraes"
NA,NA,"208","20",NA,NA,"Laise Monteiro Campos Moraes"
NA,"010300","208","21","TER","08:50 às 10:40","Laise Monteiro Campos Moraes"
NA,NA,"226","2",NA,NA,"Laise Monteiro Campos Moraes"
NA,NA,"208","21",NA,"10:40 às 12:30","Marion Alves do Nascimento"
NA,NA,"226","2",NA,NA,"Marion Alves do Nascimento"
NA,"010400","208","21","TER","08:50 às 10:40","Laise Monteiro Campos Moraes"
NA,NA,"226","1",NA,NA,"Laise Monteiro Campos Moraes"
NA,NA,NA,NA,NA,"10:40 às 12:30","Laise Monteiro Campos Moraes"
NA,NA,"208","21",NA,NA,"Laise Monteiro Campos Moraes"
NA,"030500","207","20","QUA","07:00 às 08:50","Maria Penha Oliveira Belem"
NA,NA,"226","2",NA,NA,"Maria Penha Oliveira Belem"
NA,NA,NA,NA,NA,"08:50 às 10:40","Maria Penha Oliveira Belem"
NA,NA,"207","20",NA,NA,"Maria Penha Oliveira Belem"
NA,"030600","207","20","QUA","07:00 às 08:50","Maria Penha Oliveira Belem"
NA,NA,"226","2",NA,NA,"Maria Penha Oliveira Belem"
NA,NA,NA,NA,NA,"08:50 às 10:40","Thais Silva Peleteiro"
NA,NA,"207","20",NA,NA,"Thais Silva Peleteiro"
NA,"030700","226","2","QUA","07:00 às 08:50","Maria Penha Oliveira Belem"
NA,NA,"207","20",NA,NA,"Maria Penha Oliveira Belem"
NA,NA,NA,NA,NA,"10:40 às 12:30","Thais Silva Peleteiro"
NA,NA,"226","2",NA,NA,"Thais Silva Peleteiro"
NA,"040800","226","2","QUI","13:00 às 14:50","Laise Monteiro Campos Moraes"
NA,NA,"210","17",NA,NA,"Laise Monteiro Campos Moraes"
NA,NA,"226","2",NA,"14:50 às 16:40","Laise Monteiro Campos Moraes"
NA,NA,"210","17",NA,NA,"Laise Monteiro Campos Moraes"
NA,"040900","210","18","QUI","13:00 às 14:50","Laise Monteiro Campos Moraes"
NA,NA,"226","2",NA,NA,"Laise Monteiro Campos Moraes"
NA,NA,"210","18",NA,"14:50 às 16:40","Samuel Barbosa Camargo"
NA,NA,"226","2",NA,NA,"Samuel Barbosa Camargo"
NA,"041000","210","18","QUI","13:00 às 14:50","Laise Monteiro Campos Moraes"
NA,NA,"226","2",NA,NA,"Laise Monteiro Campos Moraes"
NA,NA,"210","18",NA,"14:50 às 16:40","Thais Silva Peleteiro"
NA,NA,"226","2",NA,NA,"Thais Silva Peleteiro"
NA,"051100","315","15","SEX","07:00 às 08:50","Maria Penha Oliveira Belem"
