"Disciplina","Turma","Coleg.","Vagas Ofe","Dia","Horário","Docente"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"IMS001 - ANATOMIA HUMANA","010100","216","23","QUI","09:00 às 11:00","Maise Mendonca Amorim"
NA,NA,NA,NA,"SEX","09:00 às 11:00","Maise Mendonca Amorim"
NA,"010200","216","23","QUI","09:00 às 11:00","Maise Mendonca Amorim"
NA,NA,NA,NA,"SEX","11:00 às 13:00","Maise Mendonca Amorim"
NA,"020300","217","23","QUA","13:00 às 15:00","Luciano Pereira Rosa"
NA,NA,NA,NA,"QUI","17:00 às 19:00","Luciano Pereira Rosa"
NA,"020400","217","23","QUA","15:00 às 17:00","Luciano Pereira Rosa"
NA,NA,NA,NA,"QUI","17:00 às 19:00","Luciano Pereira Rosa"
NA,"030500","218","23","QUA","15:00 às 17:00","Maise Mendonca Amorim"
NA,NA,NA,NA,"QUI","13:00 às 15:00","Maise Mendonca Amorim"
NA,"030600","218","23","QUA","15:00 às 17:00","Maise Mendonca Amorim"
NA,NA,NA,NA,"QUI","15:00 às 17:00","Maise Mendonca Amorim"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"IMS002 - PATOLOGIA","020300","217","14","TER","13:00 às 15:00","Gilvaneia Silva Santos"
NA,NA,"221","8",NA,NA,"Gilvaneia Silva Santos"
NA,NA,"217","14","QUI","13:00 às 15:00","Gilvaneia Silva Santos"
NA,NA,"221","8",NA,NA,"Gilvaneia Silva Santos"
NA,"020400","216","23","TER","13:00 às 15:00","Gilvaneia Silva Santos"
NA,NA,NA,NA,"QUI","15:00 às 17:00","Gilvaneia Silva Santos"
NA,"020500","216","23","TER","13:00 às 15:00","Gilvaneia Silva Santos"
NA,NA,NA,NA,"QUI","17:00 às 19:00","Gilvaneia Silva Santos"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"IMS003 - FISIOLOGIA HUMANA","010100","217","45","TER","11:00 às 13:00","Telma de Jesus Soares"
NA,NA,NA,NA,"SEX","09:00 às 11:00","Telma de Jesus Soares"
NA,"020200","221","25","TER","09:00 às 11:00","Telma de Jesus Soares"
NA,NA,NA,NA,"QUI","09:00 às 11:00","Telma de Jesus Soares"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"IMS005 - EPIDEMIOLOGIA","010100","217","22","SEG","15:00 às 17:00","Danielle Souto de Medeiros"
NA,NA,NA,NA,"QUI","13:00 às 15:00","Danielle Souto de Medeiros"
NA,"010200","217","23","SEG","15:00 às 17:00","Danielle Souto de Medeiros"
NA,NA,NA,NA,"QUI","15:00 às 17:00","Danielle Souto de Medeiros"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"IMS006 - BIOESTATÍSTICA","010100","216","45","TER","17:00 às 19:00","Docente Substituto a Contratar"
NA,NA,NA,NA,"SEX","15:00 às 17:00","Antonio Carlos Ricardo Braga Junior"
NA,"020200","328","50","QUI","09:00 às 11:00","Antonio Carlos Ricardo Braga Junior"
NA,NA,NA,NA,"SEX","09:00 às 11:00","Docente Substituto a Contratar"
NA,"030300","218","45","SEG","11:00 às 13:00","Antonio Carlos Ricardo Braga Junior"
NA,NA,NA,NA,"QUA","11:00 às 13:00","Antonio Carlos Ricardo Braga Junior"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"IMS008 - FUNDAMENTOS EPISTEMOLOGICOS DA PSICOLOGIA","010000","328","47","QUI","07:00 às 09:00","Guilherme Chirinea"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"IMS010 - BIOLOGIA CELULAR E MOLECULAR","010000","216","50","SEG","07:00 às 09:00","Patricia Belini Nishiyama"
NA,NA,NA,NA,"TER","07:00 às 09:00","Patricia Belini Nishiyama"
NA,"020000","217","45","SEG","15:00 às 17:00","Patricia Belini Nishiyama"
NA,NA,NA,NA,"TER","15:00 às 17:00","Patricia Belini Nishiyama"
NA,"030000","218","45","SEG","15:00 às 17:00","Laize Tomazi"
NA,NA,NA,NA,"TER","13:00 às 15:00","Laize Tomazi"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
